id,type,value,condition_value,achievment_id,platform_type
1,9,0,0,all_achievement,1
2,1,1,7,scenario_1,1
3,1,1,21,scenario_2,1
4,1,1,23,scenario_3,1
5,1,1,34,scenario_4,1
6,1,1,35,scenario_5,1
7,1,1,46,scenario_6,1
8,1,1,42,scenario_7,1
9,1,1,48,scenario_8,1
10,7,1,0,pazzle_play,1
11,6,50,0,level_all,1
12,3,100,0,monster_hunt,1
13,3,300,0,monster_hunt,1
14,3,500,0,monster_hunt,1
15,4,12,0,picture_book,1
16,4,64,0,picture_book,1
17,4,128,0,picture_book,1
18,2,10000,0,total_gil,1
19,2,50000,0,total_gil,1
20,2,100000,0,total_gil,1
21,8,25,0,treasure_box,1
22,8,125,0,treasure_box,1
23,8,249,0,treasure_box,1
24,5,1,0,area_visit,1
25,9,0,0,CgkIsMnuwvoZEAIQHg,2
26,1,1,7,CgkIsMnuwvoZEAIQBw,2
27,1,1,21,CgkIsMnuwvoZEAIQCA,2
28,1,1,23,CgkIsMnuwvoZEAIQCQ,2
29,1,1,34,CgkIsMnuwvoZEAIQCg,2
30,1,1,35,CgkIsMnuwvoZEAIQCw,2
31,1,1,46,CgkIsMnuwvoZEAIQDA,2
32,1,1,42,CgkIsMnuwvoZEAIQDQ,2
33,1,1,48,CgkIsMnuwvoZEAIQDg,2
34,7,1,0,CgkIsMnuwvoZEAIQDw,2
35,6,50,0,CgkIsMnuwvoZEAIQHQ,2
36,3,100,0,CgkIsMnuwvoZEAIQEw,2
37,3,300,0,CgkIsMnuwvoZEAIQFA,2
38,3,500,0,CgkIsMnuwvoZEAIQFQ,2
39,4,12,0,CgkIsMnuwvoZEAIQFg,2
40,4,64,0,CgkIsMnuwvoZEAIQFw,2
41,4,128,0,CgkIsMnuwvoZEAIQGA,2
42,2,10000,0,CgkIsMnuwvoZEAIQEA,2
43,2,50000,0,CgkIsMnuwvoZEAIQEQ,2
44,2,100000,0,CgkIsMnuwvoZEAIQEg,2
45,8,25,0,CgkIsMnuwvoZEAIQGQ,2
46,8,125,0,CgkIsMnuwvoZEAIQGg,2
47,8,249,0,CgkIsMnuwvoZEAIQGw,2
48,5,1,0,CgkIsMnuwvoZEAIQHA,2
49,9,0,0,all_achievement_ff1,3
50,1,1,7,scenario_1_ff1,3
51,1,1,21,scenario_2_ff1,3
52,1,1,23,scenario_3_ff1,3
53,1,1,34,scenario_4_ff1,3
54,1,1,35,scenario_5_ff1,3
55,1,1,46,scenario_6_ff1,3
56,1,1,42,scenario_7_ff1,3
57,1,1,48,scenario_8_ff1,3
58,7,1,0,pazzle_play_ff1,3
59,6,50,0,level_all_ff1,3
60,3,100,0,monster_hunt_100_ff1,3
61,3,300,0,monster_hunt_300_ff1,3
62,3,500,0,monster_hunt_500_ff1,3
63,4,12,0,picture_book_12_ff1,3
64,4,64,0,picture_book_64_ff1,3
65,4,128,0,picture_book_128_ff1,3
66,2,10000,0,total_gil_10000_ff1,3
67,2,50000,0,total_gil_50000_ff1,3
68,2,100000,0,total_gil_100000_ff1,3
69,8,25,0,treasure_box_25_ff1,3
70,8,125,0,treasure_box_125_ff1,3
71,8,249,0,treasure_box_249_ff1,3
72,5,1,0,area_visit_ff1,3
73,9,0,0,CgkI8_3CiKIfEAIQLg,4
74,1,1,7,CgkI8_3CiKIfEAIQLw,4
75,1,1,21,CgkI8_3CiKIfEAIQMA,4
76,1,1,23,CgkI8_3CiKIfEAIQMQ,4
77,1,1,34,CgkI8_3CiKIfEAIQMg,4
78,1,1,35,CgkI8_3CiKIfEAIQMw,4
79,1,1,46,CgkI8_3CiKIfEAIQNA,4
80,1,1,42,CgkI8_3CiKIfEAIQNQ,4
81,1,1,48,CgkI8_3CiKIfEAIQNg,4
82,7,1,0,CgkI8_3CiKIfEAIQNw,4
83,6,50,0,CgkI8_3CiKIfEAIQOA,4
84,3,100,0,CgkI8_3CiKIfEAIQOQ,4
85,3,300,0,CgkI8_3CiKIfEAIQOg,4
