id,group_id,attribute_id,type_id,mes_id_name
1,1,1,1,None
2,2,1,1,None
3,2,2,2,None
4,3,1,1,None
5,3,2,2,None
6,3,4,2,None
7,4,1,1,None
8,4,2,2,None
9,4,3,2,None
10,4,4,2,None
169,4,5,2,None
11,4,8,2,None
12,5,1,1,None
13,5,2,1,None
14,5,3,2,None
15,5,4,2,None
170,5,5,2,None
16,5,8,2,None
17,6,1,1,None
18,6,3,1,None
19,6,2,2,None
20,6,4,2,None
21,7,1,1,None
22,7,9,1,None
23,7,2,2,None
171,7,5,2,None
24,7,8,2,None
25,8,1,1,None
26,8,9,1,None
27,8,2,2,None
28,8,4,2,None
172,8,5,2,None
29,8,8,2,None
30,9,2,1,None
31,9,1,2,None
32,10,2,1,None
33,10,4,2,None
34,11,2,1,None
35,11,1,2,None
36,11,4,2,None
37,12,2,1,None
38,12,1,2,None
39,12,4,2,None
173,12,5,2,None
40,12,8,2,None
41,13,3,1,None
174,13,5,2,None
42,13,8,2,None
43,14,3,1,None
44,14,4,2,None
45,15,3,1,None
46,15,1,2,None
47,15,4,2,None
48,16,3,1,None
49,16,1,2,None
50,16,2,2,None
51,16,4,2,None
175,16,5,2,None
52,16,8,2,None
53,17,9,1,None
54,17,2,2,None
55,17,4,2,None
176,17,5,2,None
56,17,6,2,None
57,17,7,2,None
58,17,8,2,None
59,18,1,1,None
60,18,9,1,None
61,18,2,2,None
62,18,4,2,None
177,18,5,2,None
63,18,6,2,None
64,18,7,2,None
65,18,8,2,None
66,19,3,1,None
67,19,1,2,None
68,19,4,2,None
69,19,6,2,None
70,19,7,2,None
71,19,8,2,None
72,101,4,2,None
178,102,5,2,None
73,102,8,2,None
74,103,1,2,None
75,103,2,2,None
179,103,5,2,None
76,104,1,2,None
77,104,3,2,None
78,104,4,2,None
79,104,6,2,None
80,104,7,2,None
81,104,8,2,None
82,105,1,2,None
83,105,4,2,None
84,105,6,2,None
85,105,7,2,None
86,105,8,2,None
87,106,1,2,None
88,106,2,2,None
89,106,3,2,None
90,106,4,2,None
91,106,6,2,None
92,106,7,2,None
93,106,8,2,None
94,107,1,2,None
95,107,2,2,None
96,107,4,2,None
97,108,1,2,None
98,108,2,2,None
99,108,3,2,None
180,108,5,2,None
100,108,8,2,None
101,109,1,2,None
102,109,2,2,None
103,109,4,2,None
181,109,5,2,None
104,109,8,2,None
105,110,1,2,None
106,110,2,2,None
107,110,3,2,None
108,110,4,2,None
109,110,6,2,None
110,110,7,2,None
111,110,8,2,None
112,111,1,2,None
113,111,2,2,None
114,111,3,2,None
115,111,4,2,None
182,111,5,2,None
116,111,8,2,None
117,112,1,2,None
118,112,2,2,None
119,112,3,2,None
120,112,4,2,None
183,112,5,2,None
168,112,6,2,None
121,112,7,2,None
122,112,8,2,None
123,113,3,2,None
124,113,4,2,None
125,114,4,2,None
184,114,5,2,None
126,114,8,2,None
127,115,4,2,None
128,115,5,2,None
129,115,6,2,None
130,115,7,2,None
131,115,8,2,None
132,116,1,2,None
133,116,2,2,None
134,116,3,2,None
135,116,4,2,None
136,116,5,2,None
137,116,6,2,None
138,116,7,2,None
139,116,8,2,None
140,117,1,2,None
141,118,2,2,None
142,119,3,2,None
143,120,1,2,None
144,120,8,2,None
145,121,2,2,None
146,121,7,2,None
147,122,1,2,None
148,122,2,2,None
149,122,3,2,None
185,123,8,2,None
186,124,6,2,None
150,201,1,5,None
151,202,2,5,None
152,203,1,5,None
153,203,2,5,None
154,203,3,5,None
155,203,4,5,None
156,203,5,5,None
157,203,6,5,None
158,203,7,5,None
159,203,8,5,None
160,301,1,0,None
161,301,2,0,None
162,301,3,0,None
163,301,4,0,None
164,301,5,0,None
165,301,6,0,None
166,301,7,0,None
167,301,8,0,None
