id,asset_name,position_type,display_type,se_asset_id,se_asset_id_2,critical_se_asset_id
1,ef_ff0_white,5,0,201,0,0
2,ef_ff0_black,5,0,202,0,0
3,ef_ff0_cure,5,0,203,0,0
4,ef_ff0_cureda,5,0,205,0,0
5,ef_ff0_curaga,5,0,206,0,0
6,ef_ff1_dia,5,0,348,0,0
7,ef_ff1_diara,5,0,349,0,0
8,ef_ff1_diaga,5,0,350,0,0
9,ef_ff1_diaja,5,0,351,0,0
10,ef_ff0_raise,5,0,207,0,0
11,ef_ff0_arise,5,0,208,0,0
12,ef_ff0_protect,5,0,209,0,0
13,ef_ff1_protera,5,0,352,0,0
14,ef_ff0_blink,5,0,210,0,0
15,ef_ff1_blindna,5,0,353,0,0
16,ef_ff0_silence,5,0,211,0,0
17,ef_ff1_nulblaze,5,0,354,0,0
18,ef_ff1_nulshock,5,0,355,0,0
19,ef_ff1_nulfrost,5,0,356,0,0
20,ef_ff1_nuldeath,5,0,357,0,0
21,ef_ff1_nulall,5,0,358,0,0
22,ef_ff1_invis,5,0,359,0,0
23,ef_ff1_invisira,5,0,360,0,0
24,ef_ff0_poisona,5,0,212,0,0
25,ef_ff0_fear,5,0,213,0,0
26,ef_ff1_vox,5,0,361,0,0
27,ef_ff0_stona,5,0,214,0,0
28,ef_ff0_holyall,5,0,215,0,0
29,ef_ff0_dispel,5,0,217,0,0
30,ef_ff0_fire,6,0,218,0,0
31,ef_ff0_fira,6,0,219,0,0
32,ef_ff0_firaga,6,0,220,0,0
33,ef_ff0_thunder,5,0,221,0,0
34,ef_ff0_thundara,5,0,222,0,0
35,ef_ff0_thunga,5,0,223,0,0
36,ef_ff0_blizzard,5,1,224,0,0
37,ef_ff0_blizzara,5,0,225,0,0
38,ef_ff0_blizzaga,5,0,226,0,0
39,ef_ff0_sleep,5,0,227,0,0
40,ef_ff1_sleepra,5,0,362,0,0
41,ef_ff1_focus,5,0,363,0,0
42,ef_ff1_focara,5,0,364,0,0
43,ef_ff1_temper,5,0,365,0,0
44,ef_ff0_slow,5,0,228,0,0
45,ef_ff1_slowra,5,0,366,0,0
46,ef_ff0_hold,5,2,229,0,0
47,ef_ff0_haste,5,0,230,0,0
48,ef_ff0_confuse,5,0,231,0,0
49,ef_ff0_scourge,5,0,232,0,0
50,ef_ff0_teleport,5,0,233,0,0
51,ef_ff0_quake,5,0,234,0,0
52,ef_ff0_stun,5,0,235,0,0
53,ef_ff0_break,5,0,236,0,0
54,ef_ff1_saber,5,0,367,0,0
55,ef_ff0_blind,5,0,237,0,0
56,ef_ff0_flareall,5,0,238,0,0
57,ef_ff0_stop,5,0,240,0,0
58,ef_ff0_banish,5,0,241,0,0
59,ef_ff0_death,5,0,242,0,0
60,ef_ff0_kill,5,0,243,0,0
61,ef_ff0_thunderbolt,5,0,244,0,0
62,ef_ff1_nuke,5,0,368,0,0
63,ef_ff0_earthquake,5,0,245,0,0
64,ef_ff1_ink,5,0,369,370,0
65,ef_ff0_cyclone,5,0,246,0,0
66,ef_ff0_tsunami,5,0,247,0,0
67,ef_ff1_stonegas,5,0,371,0,0
68,ef_ff1_deathgas,5,0,372,0,0
69,ef_ff1_poisondarts,5,0,373,0,0
70,ef_ff0_gazestone,5,0,248,249,0
71,ef_ff1_gazeparalyze,5,0,374,375,0
72,ef_ff1_gazedamage,5,0,376,377,0
73,ef_ff1_gazedeath,5,0,378,379,0
74,ef_ff1_snort,5,0,380,393,0
75,ef_ff1_icestorms,5,0,381,0,0
76,ef_ff1_icestorml,5,0,382,0,0
77,ef_ff0_flash,5,0,250,0,0
78,ef_ff1_blazes,5,0,383,0,0
79,ef_ff1_blazem,5,0,384,0,0
80,ef_ff1_blazel,5,0,385,0,0
81,ef_ff1_blazell,5,0,386,0,0
82,ef_ff0_mindblast,5,0,252,0,0
83,ef_ff0_statconfuse,5,0,253,0,0
84,ef_ff0_statparalyze,6,0,254,0,0
85,ef_ff0_statsilence,4,0,255,0,0
86,ef_ff0_statsleep,5,0,256,0,0
87,ef_ff0_statpoison,5,0,257,0,0
88,ef_ff0_statblind,5,0,259,0,0
89,ef_ff0_potion,5,0,274,0,0
90,ef_ff0_hipotion,5,0,275,0,0
91,ef_ff0_xpotion,5,0,276,0,0
92,ef_ff0_ether,5,0,277,0,0
93,ef_ff0_tripleether,5,0,278,0,0
94,ef_ff0_hitfireslash,5,0,317,0,31
95,ef_ff0_hiticeslash,5,0,318,0,31
96,ef_ff1_hitslashsgreen,5,0,387,0,31
97,ef_ff1_hitslashspurple,5,0,388,0,31
98,ef_ff1_hitslashsgray,5,0,389,0,31
99,ef_ff1_hitslashswhite,5,0,390,0,31
100,ef_ff1_hitslashsyellow,5,0,391,0,31
101,ef_ff0_hitslashlblue,5,0,319,0,31
102,ef_ff0_hitslashlwhite,5,0,320,0,31
103,ef_ff0_hitslashlorange,5,0,321,0,31
104,ef_ff0_hitslashlyellow,5,0,322,0,31
105,ef_ff0_hitslashlgreen,5,0,323,0,31
106,ef_ff1_hitslashlgray,5,0,392,0,31
107,ef_ff0_hitslashllemon,5,0,324,0,31
108,ef_ff0_hitslashllwhite,5,0,327,0,31
109,ef_ff1_hitslashllgray,5,0,394,0,31
110,ef_ff1_hitslashllyellow,5,0,395,0,31
111,ef_ff0_hitslashdownblue,5,0,328,0,31
112,ef_ff0_hitslashdownwhite,5,0,329,0,31
113,ef_ff0_hitsblue,5,0,330,0,30
114,ef_ff0_hitsgreen,5,0,331,0,30
115,ef_ff0_hitsred,5,0,332,0,30
116,ef_ff0_hitsyellow,5,0,333,0,30
117,ef_ff0_hitorange,5,0,334,0,30
118,ef_ff1_hitgreen,5,0,396,0,30
119,ef_ff0_hitwhite,5,0,335,0,30
120,ef_ff0_hitlblue,5,0,336,0,30
121,ef_ff0_hitlwhite,5,0,337,0,30
122,ef_ff1_nunchakuorange,5,0,397,0,30
123,ef_ff1_nunchakuwhite,5,0,398,0,30
124,ef_ff0_hitpunch,5,0,339,0,30
125,ef_ff1_hitthorhammer,5,0,399,0,30
126,ef_ff1_hitcrescentscyan,5,0,400,0,31
127,ef_ff0_hitcrescentsred,5,0,340,0,31
128,ef_ff0_hitcrescentsyellow,5,0,341,0,31
130,ef_ff0_hitcrescentsblue,5,0,342,0,31
131,ef_ff1_hitcrescentswhite,5,0,402,0,31
132,ef_ff0_hitcrescentlpurple,5,0,343,0,31
133,ef_ff0_hitcrescentlyellow,5,0,344,0,31
134,ef_ff1_hitsasuke,5,0,403,0,31
135,ef_ff1_hitsideslashlwhite,5,0,404,0,31
136,ef_ff0_hitsideslashlyellow,5,0,345,0,31
137,ef_ff1_hitwindslash,5,0,405,0,0
138,ef_ff1_hitbeam,5,0,406,407,0
139,ef_ff1_hitclawcyan,5,0,408,0,32
140,ef_ff1_hitclawlwhite,5,0,409,0,32
141,ef_ff1_hitfangl,5,0,410,0,32
142,ef_ff1_hitfang,5,0,411,0,32
143,ef_ff1_hitblow,5,0,412,0,32
144,ef_ff1_hitsting,5,0,413,0,32
145,ef_ff0_cura,5,0,204,0,0
146,ef_ff0_phoenixdown,5,0,414,0,0
147,ef_ff0_statmineralization,5,0,0,0,0
148,ef_ff0_statproteus,5,0,0,0,0
149,ef_ff0_statshell,5,0,0,0,0
150,ef_ff0_statstop,5,0,0,0,0
151,ef_ff0_stathaste,5,0,0,0,0
152,ef_ff0_statslow,5,0,0,0,0
153,ef_ff0_statinvisibility,5,0,0,0,0
