id,asset_name,type_id,motion_type,se_asset_id
1,wp_ff1_kn00_c00,1,1,0
2,wp_ff1_kn00_c01,1,1,0
3,wp_ff1_kn00_c02,1,1,0
8,wp_ff1_kn01_c00,1,1,0
9,wp_ff1_sw00_c00,1,1,0
10,wp_ff1_sw00_c01,1,1,0
11,wp_ff1_sw00_c02,1,1,0
13,wp_ff1_sw01_c00,1,1,0
14,wp_ff1_sw01_c01,1,1,0
16,wp_ff1_sw02_c00,1,1,0
17,wp_ff1_sw02_c01,1,1,0
18,wp_ff1_sw02_c02,1,1,0
21,wp_ff1_sw03_c00,1,1,0
22,wp_ff1_sw04_c00,1,1,0
23,wp_ff1_sw05_c00,1,1,0
24,wp_ff1_sw06_c00,1,1,0
25,wp_ff1_sw07_c00,1,1,0
26,wp_ff1_sw08_c00,1,1,0
27,wp_ff1_sw09_c00,1,1,0
31,wp_ff1_hm00_c00,1,1,0
32,wp_ff1_hm00_c01,1,1,0
33,wp_ff1_hm01_c00,1,1,0
35,wp_ff1_ax00_c00,1,1,0
36,wp_ff1_ax00_c01,1,1,0
37,wp_ff1_ax01_c00,1,1,0
40,wp_ff1_ax03_c00,1,1,0
43,wp_ff1_mo00_c00,2,1,0
44,wp_ff1_mo00_c01,2,1,0
45,wp_ff1_st00_c00,1,1,0
46,wp_ff1_st00_c01,1,1,0
47,wp_ff1_st01_c00,1,1,0
48,wp_ff1_st02_c00,1,1,0
49,wp_ff1_st02_c01,1,1,0
52,wp_ff1_st02_c04,1,1,0
54,wp_ff1_ka00_c00,1,1,0
58,wp_ff1_ka01_c00,1,1,0
60,wp_ff1_pu00_c00,3,1,0
62,wp_ff1_sh00_c00,4,1,34
73,wp_ff1_ma00_c00,5,1,33
