id,character_id,job_id,asset_type,asset_name,size_type,field_character_asset_id
1,1,1,1,bc_ff1_p001,2,1
2,1,2,1,bc_ff1_p002,2,2
3,1,3,1,bc_ff1_p003,2,3
4,1,4,1,bc_ff1_p004,2,4
5,1,7,1,bc_ff1_p007,1,5
6,1,8,1,bc_ff1_p008,1,6
7,1,9,1,bc_ff1_p009,1,7
8,1,10,1,bc_ff1_p010,1,8
9,1,5,1,bc_ff1_p005,2,9
10,1,6,1,bc_ff1_p006,3,10
11,1,11,1,bc_ff1_p011,1,11
12,1,12,1,bc_ff1_p012,1,12
13,2,1,1,bc_ff1_p001,2,1
14,2,2,1,bc_ff1_p002,2,2
15,2,3,1,bc_ff1_p003,2,3
16,2,4,1,bc_ff1_p004,2,4
17,2,7,1,bc_ff1_p007,1,5
18,2,8,1,bc_ff1_p008,1,6
19,2,9,1,bc_ff1_p009,1,7
20,2,10,1,bc_ff1_p010,1,8
21,2,5,1,bc_ff1_p005,2,9
22,2,6,1,bc_ff1_p006,3,10
23,2,11,1,bc_ff1_p011,1,11
24,2,12,1,bc_ff1_p012,1,12
25,3,1,1,bc_ff1_p001,2,1
26,3,2,1,bc_ff1_p002,2,2
27,3,3,1,bc_ff1_p003,2,3
28,3,4,1,bc_ff1_p004,2,4
29,3,7,1,bc_ff1_p007,1,5
30,3,8,1,bc_ff1_p008,1,6
31,3,9,1,bc_ff1_p009,1,7
32,3,10,1,bc_ff1_p010,1,8
33,3,5,1,bc_ff1_p005,2,9
34,3,6,1,bc_ff1_p006,3,10
35,3,11,1,bc_ff1_p011,1,11
36,3,12,1,bc_ff1_p012,1,12
37,4,1,1,bc_ff1_p001,2,1
38,4,2,1,bc_ff1_p002,2,2
39,4,3,1,bc_ff1_p003,2,3
40,4,4,1,bc_ff1_p004,2,4
41,4,7,1,bc_ff1_p007,1,5
42,4,8,1,bc_ff1_p008,1,6
43,4,9,1,bc_ff1_p009,1,7
44,4,10,1,bc_ff1_p010,1,8
45,4,5,1,bc_ff1_p005,2,9
46,4,6,1,bc_ff1_p006,3,10
47,4,11,1,bc_ff1_p011,1,11
48,4,12,1,bc_ff1_p012,1,12
49,5,1,1,bc_ff1_p001,2,1
50,5,2,1,bc_ff1_p002,2,2
51,5,3,1,bc_ff1_p003,2,3
52,5,4,1,bc_ff1_p004,2,4
53,5,7,1,bc_ff1_p007,1,5
54,5,8,1,bc_ff1_p008,1,6
55,5,9,1,bc_ff1_p009,1,7
56,5,10,1,bc_ff1_p010,1,8
57,5,5,1,bc_ff1_p005,2,9
58,5,6,1,bc_ff1_p006,3,10
59,5,11,1,bc_ff1_p011,1,11
60,5,12,1,bc_ff1_p012,1,12
61,6,1,1,bc_ff1_p001,2,1
62,6,2,1,bc_ff1_p002,2,2
63,6,3,1,bc_ff1_p003,2,3
64,6,4,1,bc_ff1_p004,2,4
65,6,7,1,bc_ff1_p007,1,5
66,6,8,1,bc_ff1_p008,1,6
67,6,9,1,bc_ff1_p009,1,7
68,6,10,1,bc_ff1_p010,1,8
69,6,5,1,bc_ff1_p005,2,9
70,6,6,1,bc_ff1_p006,3,10
71,6,11,1,bc_ff1_p011,1,11
72,6,12,1,bc_ff1_p012,1,12
73,7,1,1,bc_ff1_p001,2,1
74,7,2,1,bc_ff1_p002,2,2
75,7,3,1,bc_ff1_p003,2,3
76,7,4,1,bc_ff1_p004,2,4
77,7,7,1,bc_ff1_p007,1,5
78,7,8,1,bc_ff1_p008,1,6
79,7,9,1,bc_ff1_p009,1,7
80,7,10,1,bc_ff1_p010,1,8
81,7,5,1,bc_ff1_p005,2,9
82,7,6,1,bc_ff1_p006,3,10
83,7,11,1,bc_ff1_p011,1,11
84,7,12,1,bc_ff1_p012,1,12
85,8,1,1,bc_ff1_p001,2,1
86,8,2,1,bc_ff1_p002,2,2
87,8,3,1,bc_ff1_p003,2,3
88,8,4,1,bc_ff1_p004,2,4
89,8,7,1,bc_ff1_p007,1,5
90,8,8,1,bc_ff1_p008,1,6
91,8,9,1,bc_ff1_p009,1,7
92,8,10,1,bc_ff1_p010,1,8
93,8,5,1,bc_ff1_p005,2,9
94,8,6,1,bc_ff1_p006,3,10
