id,mes_id_name,mes_id_battle,mes_id_description,icon_id,type_id,type_value
1,MSG_SYSTEM_050,None,None,0,5,1
2,MSG_ITEM_NAME_01,None,MSG_ITEM_INF_01,0,1,1
3,MSG_ITEM_NAME_07,None,MSG_ITEM_INF_07,0,1,2
4,MSG_ITEM_NAME_08,None,MSG_ITEM_INF_08,0,1,3
5,MSG_ITEM_NAME_09,None,MSG_ITEM_INF_09,0,1,4
7,MSG_ITEM_NAME_11,None,MSG_ITEM_INF_11,0,1,6
8,MSG_ITEM_NAME_12,None,MSG_ITEM_INF_12,0,1,7
10,MSG_ITEM_NAME_14,None,MSG_ITEM_INF_14,0,1,9
11,MSG_ITEM_NAME_02,None,MSG_ITEM_INF_02,0,1,10
12,MSG_ITEM_NAME_16,None,MSG_ITEM_INF_16,0,1,11
13,MSG_ITEM_NAME_17,None,MSG_ITEM_INF_17,0,1,12
14,MSG_ITEM_NAME_03,None,MSG_ITEM_INF_03,0,1,13
15,MSG_ITEM_NAME_15,None,MSG_ITEM_INF_15,0,1,14
17,MSG_ITEM_NAME_04,None,MSG_ITEM_INF_04,0,1,16
18,MSG_ITEM_NAME_05,None,MSG_ITEM_INF_05,0,1,17
19,MSG_ITEM_NAME_06,None,MSG_ITEM_INF_06,0,1,18
32,MSG_ITEM_NAME_40,None,MSG_ITEM_INF_40,0,1,31
34,MSG_ITEM_NAME_39,None,MSG_ITEM_INF_39,0,1,33
35,MSG_ITEM_NAME_42,None,MSG_ITEM_INF_42,0,1,34
36,MSG_ITEM_NAME_43,None,MSG_ITEM_INF_43,0,1,35
45,MSG_KEY_NAME_01,None,MSG_KEY_INF_01,0,1,44
46,MSG_KEY_NAME_02,None,MSG_KEY_INF_02,0,1,45
47,MSG_KEY_NAME_03,None,MSG_KEY_INF_03,0,1,46
48,MSG_KEY_NAME_04,None,MSG_KEY_INF_04,0,1,47
49,MSG_KEY_NAME_05,None,MSG_KEY_INF_05,0,1,48
50,MSG_KEY_NAME_06,None,MSG_KEY_INF_06,0,1,49
51,MSG_KEY_NAME_07,None,MSG_KEY_INF_07,0,1,50
52,MSG_KEY_NAME_08,None,MSG_KEY_INF_08,0,1,51
53,MSG_KEY_NAME_09,None,MSG_KEY_INF_09,0,1,52
54,MSG_KEY_NAME_10,None,MSG_KEY_INF_10,0,1,53
55,MSG_KEY_NAME_11,None,MSG_KEY_INF_11,0,1,54
56,MSG_KEY_NAME_12,None,MSG_KEY_INF_12,0,1,55
57,MSG_KEY_NAME_13,None,MSG_KEY_INF_13,0,1,56
58,MSG_KEY_NAME_14,None,MSG_KEY_INF_14,0,1,57
59,MSG_KEY_NAME_15,None,MSG_KEY_INF_15,0,1,58
60,MSG_KEY_NAME_16,None,MSG_KEY_INF_16,0,1,59
61,MSG_KEY_NAME_17,None,MSG_KEY_INF_17,0,1,60
62,MSG_SYSTEM_069,None,None,0,2,1
63,MSG_WEAPON_NAME_01,None,MSG_WEAPON_INF_01,0,2,2
