id,encount_area_grid_number,foot01_monster_set,foot02_monster_set,foot03_monster_set,foot04_monster_set,foot05_monster_set,foot06_monster_set,foot07_monster_set,foot08_monster_set,foot09_monster_set,foot10_monster_set,foot11_monster_set,foot12_monster_set,foot13_monster_set,foot14_monster_set,foot15_monster_set,foot16_monster_set,foot17_monster_set,foot18_monster_set,foot19_monster_set,foot20_monster_set,foot21_monster_set,foot22_monster_set,foot23_monster_set,foot24_monster_set,foot25_monster_set,foot26_monster_set,foot27_monster_set,foot28_monster_set,foot29_monster_set,foot30_monster_set,foot31_monster_set,foot32_monster_set
1,100,0,0,45,45,45,45,45,45,45,44,45,45,45,45,45,43,45,0,45,45,45,0,0,0,0,0,0,0,0,0,0,0
2,101,0,0,45,45,45,45,45,45,45,44,45,45,45,45,45,43,45,0,45,45,45,0,0,0,0,0,0,0,0,0,0,0
3,102,0,0,46,46,46,46,46,46,46,44,46,46,46,46,46,43,46,0,46,46,46,0,0,0,0,0,0,0,0,0,0,0
4,103,0,0,47,47,47,47,47,47,47,44,47,47,47,47,47,43,47,0,47,47,47,0,0,0,0,0,0,0,0,0,0,0
5,104,0,0,47,47,47,47,47,47,47,44,47,47,47,47,47,43,47,0,47,47,47,0,0,0,0,0,0,0,0,0,0,0
6,105,0,0,46,46,46,46,46,46,46,44,46,46,46,46,46,43,46,0,46,46,46,0,0,0,0,0,0,0,0,0,0,0
7,106,0,0,45,45,45,45,45,45,45,44,45,45,45,45,45,43,45,0,45,45,45,0,0,0,0,0,0,0,0,0,0,0
8,107,0,0,45,45,45,45,45,45,45,44,45,45,45,45,45,43,45,0,45,45,45,0,0,0,0,0,0,0,0,0,0,0
9,108,0,0,48,48,48,48,48,48,48,44,48,48,48,48,48,43,48,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0
10,109,0,0,45,45,45,45,45,45,45,44,45,45,45,45,45,43,45,0,45,45,45,0,0,0,0,0,0,0,0,0,0,0
11,110,0,0,49,49,49,49,49,49,49,44,49,49,49,49,49,43,49,0,49,49,49,0,0,0,0,0,0,0,0,0,0,0
12,111,0,0,47,47,47,47,47,47,47,44,47,47,47,47,47,43,47,0,47,47,47,0,0,0,0,0,0,0,0,0,0,0
13,112,0,0,47,47,47,47,47,47,47,44,47,47,47,47,47,43,47,0,47,47,47,0,0,0,0,0,0,0,0,0,0,0
14,113,0,0,50,50,50,50,50,50,50,44,50,50,50,50,50,43,50,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0
15,114,0,0,50,50,50,50,50,50,50,44,50,50,50,50,50,43,50,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0
16,115,0,0,51,51,51,51,51,51,51,44,51,51,51,51,51,43,51,0,51,51,51,0,0,0,0,0,0,0,0,0,0,0
17,116,0,0,48,48,48,48,48,48,48,44,48,48,48,48,48,43,48,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0
18,117,0,0,48,48,48,48,48,48,48,44,48,48,48,48,48,43,48,0,48,48,48,0,0,0,0,0,0,0,0,0,0,0
19,118,0,0,52,52,52,52,52,52,52,44,52,52,52,52,52,43,52,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0
20,119,0,0,49,49,49,49,49,49,49,44,49,49,49,49,49,43,49,0,49,49,49,0,0,0,0,0,0,0,0,0,0,0
21,120,0,0,52,52,52,52,52,52,52,44,52,52,52,52,52,43,52,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0
22,121,0,0,50,50,50,50,50,50,50,44,50,50,50,50,50,43,50,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0
23,122,0,0,50,50,50,50,50,50,50,44,50,50,50,50,50,43,50,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0
24,123,0,0,51,51,51,51,51,51,51,44,51,51,51,51,51,43,51,0,51,51,51,0,0,0,0,0,0,0,0,0,0,0
25,124,0,0,52,52,52,52,52,52,52,44,52,52,52,52,52,43,52,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0
26,125,0,0,52,52,52,52,52,52,52,44,52,52,52,52,52,43,52,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0
27,126,0,0,52,52,52,52,52,52,52,44,52,52,52,52,52,43,52,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0
28,127,0,0,53,53,53,53,53,53,53,44,53,53,53,53,53,43,53,0,53,53,53,0,0,0,0,0,0,0,0,0,0,0
29,128,0,0,53,53,53,53,53,53,53,44,53,53,53,53,53,43,53,0,53,53,53,0,0,0,0,0,0,0,0,0,0,0
30,129,0,0,54,54,54,54,54,54,54,44,54,54,54,54,54,43,54,0,54,54,54,0,0,0,0,0,0,0,0,0,0,0
31,130,0,0,52,52,52,52,52,52,52,44,52,52,52,52,52,43,52,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0
32,131,0,0,51,51,51,51,51,51,51,44,51,51,51,51,51,43,51,0,51,51,51,0,0,0,0,0,0,0,0,0,0,0
33,132,0,0,52,52,52,52,52,52,52,44,52,52,52,52,52,43,52,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0
34,133,0,0,55,55,55,55,55,55,55,44,55,55,55,55,55,43,55,0,55,55,55,0,0,0,0,0,0,0,0,0,0,0
35,134,0,0,54,54,54,54,54,54,54,44,54,54,54,54,54,43,54,0,54,54,54,0,0,0,0,0,0,0,0,0,0,0
36,135,0,0,54,54,54,54,54,54,54,44,54,54,54,54,54,43,54,0,54,54,54,0,0,0,0,0,0,0,0,0,0,0
37,136,0,0,56,56,56,56,56,56,56,44,56,56,56,56,56,43,56,0,56,56,56,0,0,0,0,0,0,0,0,0,0,0
38,137,0,0,57,57,57,57,57,57,57,44,57,57,57,57,57,43,57,0,57,57,57,0,0,0,0,0,0,0,0,0,0,0
39,138,0,0,57,57,57,57,57,57,57,44,57,57,57,57,57,43,57,0,57,57,57,0,0,0,0,0,0,0,0,0,0,0
40,139,0,0,58,58,58,58,58,58,58,44,58,58,58,58,58,43,58,0,58,58,58,0,0,0,0,0,0,0,0,0,0,0
41,140,0,0,55,55,55,55,55,55,55,44,55,55,55,55,55,43,55,0,55,55,55,0,0,0,0,0,0,0,0,0,0,0
42,141,0,0,55,55,55,55,55,55,55,44,55,55,55,55,55,43,55,0,55,55,55,0,0,0,0,0,0,0,0,0,0,0
43,142,0,0,55,55,55,55,55,55,55,44,55,55,55,55,55,43,55,0,55,55,55,0,0,0,0,0,0,0,0,0,0,0
44,143,0,0,54,54,54,54,54,54,54,44,54,54,54,54,54,43,54,0,54,54,54,0,0,0,0,0,0,0,0,0,0,0
45,144,0,0,52,52,52,52,52,52,52,44,52,52,52,52,52,43,52,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0
46,145,0,0,59,59,59,59,59,59,59,44,59,59,59,59,59,43,59,0,59,59,59,0,0,0,0,0,0,0,0,0,0,0
47,146,0,0,58,58,58,58,58,58,58,44,58,58,58,58,58,43,58,0,58,58,58,0,0,0,0,0,0,0,0,0,0,0
48,147,0,0,58,58,58,58,58,58,58,44,58,58,58,58,58,43,58,0,58,58,58,0,0,0,0,0,0,0,0,0,0,0
49,148,0,0,52,52,52,52,52,52,52,44,52,52,52,52,52,43,52,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0
50,149,0,0,52,52,52,52,52,52,52,44,52,52,52,52,52,43,52,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0
51,150,0,0,58,58,58,58,58,58,58,44,58,58,58,58,58,43,58,0,58,58,58,0,0,0,0,0,0,0,0,0,0,0
52,151,0,0,54,54,54,54,54,54,54,44,54,54,54,54,54,43,54,0,54,54,54,0,0,0,0,0,0,0,0,0,0,0
53,152,0,0,54,54,54,54,54,54,54,44,54,54,54,54,54,43,54,0,54,54,54,0,0,0,0,0,0,0,0,0,0,0
54,153,0,0,58,58,58,58,58,58,58,44,58,58,58,58,58,43,58,0,58,58,58,0,0,0,0,0,0,0,0,0,0,0
55,154,0,0,60,60,60,60,60,60,60,44,60,60,60,60,60,43,60,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0
56,155,0,0,60,60,60,60,60,60,60,44,60,60,60,60,60,43,60,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0
57,156,0,0,52,52,52,52,52,52,52,44,52,52,52,52,52,43,52,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0
58,157,0,0,52,52,52,52,52,52,52,44,52,52,52,52,52,43,52,0,52,52,52,0,0,0,0,0,0,0,0,0,0,0
59,158,0,0,58,58,58,58,58,58,58,44,58,58,58,58,58,43,58,0,58,58,58,0,0,0,0,0,0,0,0,0,0,0
60,159,0,0,58,58,58,58,58,58,58,44,58,58,58,58,58,43,58,0,58,58,58,0,0,0,0,0,0,0,0,0,0,0
61,160,0,0,54,54,54,54,54,54,54,44,54,54,54,54,54,43,54,0,54,54,54,0,0,0,0,0,0,0,0,0,0,0
62,161,0,0,58,58,58,58,58,58,58,44,58,58,58,58,58,43,58,0,58,58,58,0,0,0,0,0,0,0,0,0,0,0
63,162,0,0,60,60,60,60,60,60,60,44,60,60,60,60,60,43,60,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0
64,163,0,0,60,60,60,60,60,60,60,44,60,60,60,60,60,43,60,0,60,60,60,0,0,0,0,0,0,0,0,0,0,0
65,200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,201,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
67,202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,203,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
69,204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,205,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
71,206,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,207,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
73,208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,209,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
75,210,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,211,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
77,212,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,213,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
79,214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,215,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
81,216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,217,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
83,218,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
84,219,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
85,220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,221,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
87,222,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,223,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
89,224,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,225,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
91,226,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,227,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
93,228,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,229,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
95,230,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,231,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
97,232,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,233,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
99,234,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,235,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
101,236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
