id,type_id,group_id,lv,total_exp
1,1,1,1,0
2,1,1,2,14
3,1,1,3,42
4,1,1,4,98
5,1,1,5,196
6,1,1,6,350
7,1,1,7,574
8,1,1,8,882
9,1,1,9,1288
10,1,1,10,1806
11,1,1,11,2675
12,1,1,12,3851
13,1,1,13,5258
14,1,1,14,6917
15,1,1,15,8849
16,1,1,16,11075
17,1,1,17,13616
18,1,1,18,16493
19,1,1,19,19727
20,1,1,20,23339
21,1,1,21,27350
22,1,1,22,31781
23,1,1,23,36653
24,1,1,24,41987
25,1,1,25,47804
26,1,1,26,54125
27,1,1,27,60971
28,1,1,28,68363
29,1,1,29,76322
30,1,1,30,84869
31,1,1,31,94025
32,1,1,32,103811
33,1,1,33,114248
34,1,1,34,125357
35,1,1,35,137159
36,1,1,36,149675
37,1,1,37,162926
38,1,1,38,176933
39,1,1,39,191717
40,1,1,40,207299
41,1,1,41,223700
42,1,1,42,240941
43,1,1,43,259043
44,1,1,44,278027
45,1,1,45,297914
46,1,1,46,318725
47,1,1,47,340475
48,1,1,48,362225
49,1,1,49,383975
50,1,1,50,405723
51,1,1,51,427473
52,1,1,52,449223
53,1,1,53,470973
54,1,1,54,492722
55,1,1,55,514472
56,1,1,56,536222
57,1,1,57,557972
58,1,1,58,579720
59,1,1,59,601470
60,1,1,60,623220
61,1,1,61,644970
62,1,1,62,666719
63,1,1,63,688469
64,1,1,64,710219
65,1,1,65,731969
66,1,1,66,753717
67,1,1,67,775467
68,1,1,68,797217
69,1,1,69,818967
70,1,1,70,840716
71,1,1,71,862466
72,1,1,72,884216
73,1,1,73,905966
74,1,1,74,927714
75,1,1,75,949464
76,1,1,76,971214
77,1,1,77,992964
78,1,1,78,1014713
79,1,1,79,1036463
80,1,1,80,1058213
81,1,1,81,1079963
82,1,1,82,1101711
83,1,1,83,1123461
84,1,1,84,1145211
85,1,1,85,1166961
86,1,1,86,1188710
87,1,1,87,1210460
88,1,1,88,1232210
89,1,1,89,1253960
90,1,1,90,1275708
91,1,1,91,1297458
92,1,1,92,1319208
93,1,1,93,1340958
94,1,1,94,1362707
95,1,1,95,1384457
96,1,1,96,1406207
97,1,1,97,1427957
98,1,1,98,1449705
99,1,1,99,1471455
