id,function1_id,function1_value1,function1_value2,function1_value3,function2_id,function2_value1,function2_value2,function2_value3,function3_id,function3_value1,function3_value2,function3_value3
1,1,1,2,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0
3,15,0,0,0,0,0,0,0,0,0,0,0
4,16,1,0,0,0,0,0,0,0,0,0,0
5,17,0,0,0,0,0,0,0,0,0,0,0
6,9,8,0,0,0,0,0,0,0,0,0,0
7,18,0,0,0,0,0,0,0,0,0,0,0
8,19,0,0,0,0,0,0,0,0,0,0,0
9,1,2,2,1,0,0,0,0,0,0,0,0
10,3,0,0,0,0,0,0,0,0,0,0,0
11,11,8,0,0,0,0,0,0,0,0,0,0
12,11,4,0,0,1,1,2,0,0,0,0,0
13,1,1,20,0,0,0,0,0,0,0,0,0
14,9,7,0,0,0,0,0,0,0,0,0,0
15,9,4,0,0,0,0,0,0,0,0,0,0
17,11,7,0,0,0,0,0,0,0,0,0,0
18,9,9,0,0,0,0,0,0,0,0,0,0
19,9,24,0,0,0,0,0,0,0,0,0,0
24,23,0,0,0,0,0,0,0,0,0,0,0
26,11,9,0,0,0,0,0,0,0,0,0,0
27,11,5,0,0,0,0,0,0,0,0,0,0
28,11,10,0,0,0,0,0,0,0,0,0,0
29,9,14,0,0,0,0,0,0,0,0,0,0
30,9,12,0,0,0,0,0,0,0,0,0,0
31,8,0,0,0,0,0,0,0,0,0,0,0
32,9,5,0,0,0,0,0,0,0,0,0,0
33,22,301,0,0,26,7,0,0,0,0,0,0
34,27,40,0,0,0,0,0,0,0,0,0,0
35,9,25,0,0,0,0,0,0,0,0,0,0
36,9,23,0,0,0,0,0,0,0,0,0,0
37,9,26,0,0,0,0,0,0,0,0,0,0
38,9,27,0,0,0,0,0,0,0,0,0,0
39,9,21,0,0,0,0,0,0,0,0,0,0
40,9,22,0,0,0,0,0,0,0,0,0,0
41,9,19,0,0,0,0,0,0,0,0,0,0
42,9,15,0,0,0,0,0,0,0,0,0,0
43,9,20,0,0,0,0,0,0,0,0,0,0
44,9,10,0,0,0,0,0,0,0,0,0,0
45,9,6,0,0,0,0,0,0,0,0,0,0
46,9,11,0,0,0,0,0,0,0,0,0,0
47,9,16,0,0,0,0,0,0,0,0,0,0
48,6,9,0,0,0,0,0,0,0,0,0,0
50,1,1,2,0,1,1,20,0,0,0,0,0
51,28,800,0,0,0,0,0,0,0,0,0,0
52,28,801,0,0,0,0,0,0,0,0,0,0
53,28,802,0,0,0,0,0,0,0,0,0,0
54,12,3,0,0,0,0,0,0,0,0,0,0
55,1,1,2,0,12,3,0,0,0,0,0,0
56,9,30,0,0,0,0,0,0,0,0,0,0
57,9,31,0,0,0,0,0,0,0,0,0,0
58,9,32,0,0,0,0,0,0,0,0,0,0
59,9,33,0,0,0,0,0,0,0,0,0,0
63,28,850,0,0,0,0,0,0,0,0,0,0
64,28,851,0,0,0,0,0,0,0,0,0,0
65,1,2,2,2,0,0,0,0,0,0,0,0
66,1,2,2,3,0,0,0,0,0,0,0,0
67,9,13,0,0,0,0,0,0,0,0,0,0
68,9,17,0,0,0,0,0,0,0,0,0,0
