id,key_name,value1,value2
100,MAX_GIL,999999,0
101,MAX_ITEM,99,0
110,MAX_LV,99,0
111,MAX_EXP,9999999,0
112,MAX_HP,999,0
114,MAX_MAGICAL_TIMES,9,0
115,MAX_STRNGTH,99,0
116,MAX_VITALITY,99,0
117,MAX_AGILITY,99,0
118,MAX_INTELIGENCE,99,0
119,MAX_SPRIT,99,0
121,MAX_LUCK,99,0
122,MAX_ATTACK,255,0
123,MAX_ABILITY_ATTACK,255,0
124,MAX_DEFENSE,255,0
125,MAX_ABILITY_DEFENSE,255,0
126,MAX_ACCURACY_RATE,255,0
127,MAX_ACCURACY_RATE_PERCENTAGE,100,0
128,MAX_EVASION_RATE,255,0
129,MAX_EVASION_RATE_PERCENTAGE,100,0
130,MAX_ABILITY_EVASION_RATE,255,0
131,MAX_ABILITY_EVASION_RATE_PERCENTAGE,100,0
134,MAX_CRITICAL_RATE,100,0
135,MAX_CRITICAL_RATE_PERCENTAGE,100,0
136,MAX_ATTACK_SPEED,2,0
137,MAX_HIT_VALUE,99999,0
138,MAX_GETAWAY_PROBABILITY_RATE,100,0
200,MONSTER_DROP_RATE_1,100,0
201,MONSTER_DROP_RATE_2,0,0
202,MONSTER_DROP_RATE_3,0,0
203,MONSTER_DROP_RATE_4,0,0
204,MONSTER_DROP_RATE_5,0,0
205,MONSTER_DROP_RATE_6,0,0
206,MONSTER_DROP_RATE_7,0,0
207,MONSTER_DROP_RATE_8,0,0
210,BGM_BATTLE_WIN,78,0
211,BGM_BATTLE_LOSE,79,0
212,BGM_MENU_OPEN,75,0
213,SE_ATTACK_MISS,33,0
214,SE_ATTACK_GUARD,34,0
215,SE_ATTACK_DISABLING,35,0
216,SE_GETAWAY_SUCCESSFUL,17,0
220,GROWTH_CURVE_HP_RATE,8,0
230,HIGH_GETAWAY_PROBABILISTIC,50,0
231,GETAWAY_PROBABILITY_IS_LOW,30,0
232,RATE_HAVE_NEAR_DEATH,4,0
240,FORWARD_X_COORDINATE,92,0
241,REAR_GUARD_X_COORDINATE,92,0
242,X_COORDINATE_INTERVAL,8,0
243,AS_BASE_Y_COORDINATE,36,0
244,Y_COORDINATE__INTERVAL,24,0
250,FIGHT_DEFAULT_EFFECT_ASSET,124,0
260,LOW_DASH_NORMAL,90,0
264,LOW_DASH_PREEMPTIVE_ATTACK,5,0
265,LOW_DASH_ENEMY_PREEMPTIVE_ATTACK,5,0
266,LOW_WALKING_NORMAL,90,0
270,LOW_WALKING_PREEMPTIVE_ATTACK,5,0
271,LOW_WALKING_ENEMY_PREEMPTIVE_ATTACK,5,0
272,HIGH_DASH_NORMAL,85,0
276,HIGH_DASH_PREEMPTIVE_ATTACK,10,0
277,HIGH_DASH_ENEMY_PREEMPTIVE_ATTACK,5,0
278,HIGH_WALKING_NORMAL,75,0
282,HIGH_WALKING_PREEMPTIVE_ATTACK,20,0
283,HIGH_WALKING_ENEMY_PREEMPTIVE_ATTACK,5,0
290,ENEMY_CONTINUOUS_ACT_TIMES_LIMIT_9,6,0
291,ENEMY_CONTINUOUS_ACT_TIMES_LIMIT_8,6,0
292,ENEMY_CONTINUOUS_ACT_TIMES_LIMIT_7,5,0
293,ENEMY_CONTINUOUS_ACT_TIMES_LIMIT_6,5,0
294,ENEMY_CONTINUOUS_ACT_TIMES_LIMIT_5,4,0
295,ENEMY_CONTINUOUS_ACT_TIMES_LIMIT_4,4,0
296,ENEMY_CONTINUOUS_ACT_TIMES_LIMIT_3,3,0
297,ENEMY_CONTINUOUS_ACT_TIMES_LIMIT_2,2,0
298,ENEMY_CONTINUOUS_ACT_TIMES_LIMIT_1,1,0
310,FOR_SLEEPING_CONTENTS_DECISION_1,17,0
311,FOR_SLEEPING_CONTENTS_DECISION_2,18,0
312,FOR_SLEEPING_CONTENTS_DECISION_3,19,0
315,FOR_MOVING_CONTENTS_DECISION_1,250,0
316,FOR_MOVING_CONTENTS_DECISION_2,255,0
320,SOUND_WHEN_DISAPPEAR_1,15,0
321,SOUND_WHEN_DISAPPEAR_2,16,0
322,ENEMY_TARGET_RATE_1,100,0
323,ENEMY_TARGET_RATE_2,50,0
324,ENEMY_TARGET_RATE_3,25,0
325,ENEMY_TARGET_RATE_4,25,0
340,BATTLE_COMMAND_RETURN,6,0
341,AFTER_ENDING_START_MAP_ID,1,0
342,AFTER_ENDING_MAP_POINTIN,3,0
343,ENDING_FLAG,43,0
344,BATTLE_DIA_ATTRIBUTE_ID,9,0
345,BATTLE_ATTACK_SPEED_BASIC_VALUE,1,0
346,TOTAL_CHEST_COUNT_3,249,0
347,AR_BATTLE_ERASE_CONDITION_GROUP,9,0
348,ALL_AREA_VISIT,27,0
349,TOTAL_CHEST_COUNT_1,25,0
350,TOTAL_CHEST_COUNT_2,125,0
