id,area_id,parent_area_id,pos_x,pos_y,icon_type,map_flag,display_flag
1,0,23,227,133,1,918,1
2,0,23,267,130,1,918,1
3,0,23,308,165,1,918,1
4,0,23,267,161,1,918,1
5,0,23,342,186,1,918,1
6,0,12,74,527,1,907,1
7,16,0,455,477,1,911,1
8,17,0,455,486,1,912,1
9,11,0,383,364,1,906,1
10,28,0,505,346,1,923,1
11,29,0,636,444,1,924,1
12,8,0,404,672,1,904,1
13,9,0,404,676,1,905,1
14,25,0,299,561,1,920,1
15,26,0,299,718,1,921,1
16,24,0,292,464,1,919,1
17,30,0,233,477,1,925,1
18,14,0,661,658,1,909,1
19,7,0,183,561,1,903,1
20,12,0,114,521,1,907,1
21,15,0,74,573,1,910,1
22,13,0,570,617,1,908,1
23,18,0,601,552,1,913,1
24,19,0,671,67,1,914,1
25,32,0,58,139,1,927,1
26,5,0,171,153,1,901,1
27,6,0,182,153,1,902,1
28,31,0,721,286,1,926,1
29,22,0,148,67,1,917,1
30,23,0,280,139,1,918,1
31,20,0,383,120,1,915,1
32,21,0,577,177,1,916,1
33,27,0,592,177,1,922,1
