id,area_id,group_id,pos_x,pos_y
1,0,1,2324,2560
2,0,1,2888,2181
3,0,1,430,2924
4,11,1,1959,1853
5,0,2,2130,2289
6,0,2,2340,1992
7,0,2,3482,2493
8,0,2,3292,2903
9,0,2,1485,3389
10,0,2,2980,3236
11,7,2,936,2876
12,11,2,1959,1853
13,0,3,2181,2437
14,0,3,1500,2125
15,0,3,3185,2089
16,0,3,1741,3261
17,0,3,3717,2570
18,11,3,1959,1853
19,0,4,2058,2068
20,0,4,2642,2156
21,0,5,1884,1843
22,11,5,1959,1853
23,26,5,1529,3675
24,0,6,2022,1869
25,0,6,635,2611
26,11,6,1959,1853
27,7,6,936,2876
28,26,6,1529,3675
29,0,7,2924,2099
30,0,7,1403,2130
31,0,7,1444,2780
32,0,7,2168,3384
33,11,7,1959,1853
34,0,8,1019,2386
35,0,8,1516,2463
36,0,8,2714,2263
37,0,8,3625,2790
38,0,8,2007,3538
39,0,8,2790,3615
40,11,8,1959,1853
41,7,8,936,2876
42,26,8,1529,3675
43,12,8,584,2668
44,0,9,1531,3630
45,0,9,2867,3594
46,0,9,2985,2693
47,0,9,3855,2806
48,11,9,1959,1853
49,7,9,936,2876
50,26,9,1529,3675
51,11,10,1959,1853
52,26,10,1529,3675
53,0,11,840,2534
54,11,11,1959,1853
55,26,11,1529,3675
56,11,12,1959,1853
57,0,13,1495,2918
58,0,13,1316,2253
59,0,13,2488,1889
60,0,13,2278,3338
61,7,13,936,2876
62,0,14,773,2545
63,0,14,1403,3497
64,0,14,3302,2330
65,0,14,3820,2719
66,0,14,2668,3528
67,0,14,420,2831
68,7,14,936,2876
69,12,14,584,2668
70,0,15,2540,1848
71,0,15,1562,2084
72,0,15,778,2836
73,0,15,1398,3057
74,0,15,2391,3272
75,0,15,2826,3492
76,0,15,3656,2903
77,7,15,936,2876
78,12,15,584,2668
79,13,15,2919,3149
80,0,16,691,635
81,0,16,2570,241
82,0,16,3036,2150
83,7,16,936,2876
84,13,16,2919,3149
85,29,17,3255,2298
86,0,18,2094,2749
87,0,18,374,1869
88,0,18,3855,1920
89,0,18,389,3395
90,0,18,2161,1326
91,0,19,2621,2673
92,0,19,246,2355
93,0,19,3881,3768
94,0,19,952,3866
95,0,19,1326,1239
96,6,19,888,790
97,0,20,1848,2294
98,0,20,2284,768
99,0,20,886,1311
100,0,20,1249,2836
101,0,20,2278,3692
102,0,21,2990,338
103,0,21,2335,2995
104,0,21,973,1905
105,0,21,2990,1792
106,0,21,1347,420
107,6,21,888,790
108,0,22,1864,2898
109,0,22,1659,1664
110,0,22,3758,625
111,0,22,1024,3436
112,0,22,1633,676
113,0,23,799,2478
114,0,23,1357,3302
115,0,23,2801,3159
116,0,23,3533,2079
117,7,23,936,2876
118,26,23,1529,3675
119,12,23,584,2668
120,0,24,625,2427
121,0,24,1418,3584
122,0,24,2642,3379
123,0,24,3103,2570
124,7,24,936,2876
125,18,24,3080,2827
126,0,25,1613,3615
127,0,25,3297,3313
128,0,25,3635,2237
129,26,25,1529,3675
130,13,25,2919,3149
131,0,26,1014,2939
132,26,26,1529,3675
133,26,27,1529,3675
134,26,28,1529,3675
135,26,29,1529,3675
136,13,29,2919,3149
137,26,30,1529,3675
138,7,30,936,2876
139,26,31,1529,3675
140,18,31,3080,2827
141,26,32,1529,3675
142,18,32,3080,2827
143,7,32,936,2876
144,25,33,1531,2852
145,7,34,936,2876
146,18,34,3080,2827
147,20,34,1960,618
148,22,34,759,347
149,21,34,2951,907
150,25,34,1531,2852
151,7,35,936,2876
152,18,35,3080,2827
153,25,35,1531,2852
154,0,36,3487,3528
155,0,36,3108,3584
156,7,36,936,2876
157,26,36,1529,3675
158,0,37,998,2811
159,13,37,2919,3149
160,0,38,722,1039
161,0,38,2012,640
162,0,38,783,2678
163,12,38,584,2668
164,0,39,3395,3692
165,7,39,936,2876
166,13,39,2919,3149
167,0,40,645,584
168,0,40,3599,1306
169,0,40,3640,3405
170,7,40,936,2876
171,13,40,2919,3149
172,7,41,936,2876
173,11,41,1959,1853
174,0,42,302,271
175,0,42,3738,1132
176,0,42,3226,3666
177,7,42,936,2876
178,7,43,936,2876
179,18,43,3080,2827
180,7,44,936,2876
181,7,45,936,2876
182,18,45,3080,2827
183,21,45,2951,907
184,21,46,2951,907
185,11,46,1959,1853
186,7,46,936,2876
187,0,47,369,1004
188,13,47,2919,3149
189,0,48,2191,492
190,13,48,2919,3149
191,7,49,936,2876
192,0,50,3323,3502
193,13,50,2919,3149
194,0,51,1582,2719
195,0,51,3164,3200
196,0,51,563,1044
197,0,52,3185,2770
198,0,52,829,640
199,0,52,1505,2708
200,0,53,3077,3348
201,0,53,732,399
202,0,53,1628,2949
203,0,54,701,829
204,0,54,1536,3139
205,0,54,3410,3446
206,0,55,2616,3256
207,0,55,1638,3108
208,0,55,655,891
209,0,55,502,399
210,0,55,2340,297
211,0,55,3615,271
212,27,56,3000,906
213,0,57,2893,2903
214,0,57,466,1085
215,0,57,1649,2893
216,0,57,348,338
217,0,57,1894,563
218,0,57,3405,374
219,13,58,2919,3149
220,20,58,1960,618
221,13,59,2919,3149
222,22,59,759,347
223,21,59,2951,907
224,13,60,2919,3149
225,11,60,1959,1853
226,13,61,2919,3149
227,27,61,3000,906
228,13,62,2919,3149
229,11,62,1959,1853
230,0,63,492,1172
231,13,63,2919,3149
232,21,63,2951,907
233,13,64,2919,3149
234,11,64,1959,1853
235,13,65,2919,3149
236,11,65,1959,1853
237,13,66,2919,3149
238,11,66,1959,1853
239,13,67,2919,3149
240,18,68,3080,2827
241,11,68,1959,1853
242,0,69,154,348
243,0,69,3645,865
244,18,69,3080,2827
245,11,69,1959,1853
246,18,70,3080,2827
247,20,70,1960,618
248,27,70,3000,906
249,11,70,1959,1853
250,0,71,732,727
251,0,71,3712,215
252,18,71,3080,2827
253,11,71,1959,1853
254,18,72,3080,2827
255,0,73,379,1213
256,0,73,2232,379
257,18,73,3080,2827
258,18,74,3080,2827
259,11,74,1959,1853
260,27,75,3000,906
261,18,75,3080,2827
262,0,76,236,773
263,0,76,2806,876
264,0,77,461,835
265,0,77,1997,338
266,21,77,2951,907
267,0,78,558,548
268,0,78,2550,369
269,0,78,2995,1152
270,0,78,3553,1690
271,21,78,2951,907
272,0,79,323,840
273,0,79,1659,968
274,0,79,2299,364
275,21,79,2951,907
276,0,80,517,753
277,0,80,3328,430
278,27,80,3000,906
279,0,81,2755,1085
280,0,81,1475,876
281,0,82,891,164
282,0,82,2115,410
283,11,82,1959,1853
284,0,83,3180,1254
285,0,83,3763,1603
286,0,84,1889,374
287,0,84,1224,164
288,21,84,2951,907
289,0,85,3052,799
290,0,85,2652,399
291,0,85,1044,154
292,27,85,3000,906
293,0,86,3656,1551
294,20,86,1960,618
295,20,87,1960,618
296,22,87,759,347
297,21,87,2951,907
298,20,88,1960,618
299,21,88,2951,907
300,27,88,3000,906
301,20,89,1960,618
302,27,89,3000,906
303,22,90,759,347
304,20,90,1960,618
305,27,90,3000,906
306,11,90,1959,1853
307,22,91,759,347
308,20,91,1960,618
309,21,91,2951,907
310,27,91,3000,906
311,11,91,1959,1853
312,20,92,1960,618
313,11,92,1959,1853
314,11,93,1959,1853
315,6,93,888,790
316,11,94,1959,1853
317,6,94,888,790
318,11,95,1959,1853
319,6,95,888,790
320,11,96,1959,1853
321,6,96,888,790
322,11,97,1959,1853
323,6,97,888,790
324,11,98,1959,1853
325,6,98,888,790
326,6,99,888,790
327,11,100,1959,1853
328,6,100,888,790
329,11,101,1959,1853
330,6,101,888,790
331,6,102,888,790
332,0,103,3144,978
333,21,104,2951,907
334,27,104,3000,906
335,11,104,1959,1853
336,21,105,2951,907
337,27,105,3000,906
338,11,105,1959,1853
339,21,106,2951,907
340,27,106,3000,906
341,21,107,2951,907
342,22,108,759,347
343,11,108,1959,1853
344,27,109,3000,906
345,11,109,1959,1853
346,27,110,3000,906
347,11,110,1959,1853
348,27,111,3000,906
349,27,112,3000,906
350,11,112,1959,1853
351,27,113,3000,906
352,11,113,1959,1853
353,27,114,3000,906
354,11,114,1959,1853
355,27,115,3000,906
356,27,116,3000,906
357,11,116,1959,1853
358,27,117,3000,906
359,11,117,1959,1853
360,27,118,3000,906
361,27,119,3000,906
362,11,120,1959,1853
363,11,121,1959,1853
364,11,122,1959,1853
365,11,123,1959,1853
366,11,124,1959,1853
367,11,125,1959,1853
368,11,126,1959,1853
369,11,127,1959,1853
370,11,128,1959,1853
