id,mes_id_name,cursor_x_position,cursor_y_position,in_type_id,disappear_type_id,species,resistance_attribute,resistance_condition,initial_condition,lv,hp,mp,exp,gill,attack_count,attack_plus,attack_plus_group,attack_attribute,strength,vitality,agility,intelligence,spirit,magic,attack,ability_attack,defense,ability_defense,ability_defense_reat,accuracy_rate,dodge_times,evasion_rate,magic_evasion_rate,ability_disturbed_rate,critical_rate,luck,weight,boss,monster_flag_group_id,drop_rate,drop_content_id1,drop_content_id1_value,drop_content_id2,drop_content_id2_value,drop_content_id3,drop_content_id3_value,drop_content_id4,drop_content_id4_value,drop_content_id5,drop_content_id5_value,drop_content_id6,drop_content_id6_value,drop_content_id7,drop_content_id7_value,drop_content_id8,drop_content_id8_value,steal_content_id1,steal_content_id2,steal_content_id3,steal_content_id4,script_id,monster_asset_id,battle_effect_asset_id,p_use_ability_random_group_id,command_group_type,release_ability_random_group_id,rage_ability_random_group_id
1,MSG_MON_NAME_01,23,0,2,1,0,0,0,0,1,8,0,6,6,1,0,0,0,0,0,3,1,0,0,4,0,4,0,0,2,0,6,16,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,131,0,0,0,0
2,MSG_MON_NAME_02,23,0,2,1,0,0,0,0,1,16,0,18,18,1,0,0,0,0,0,5,3,0,0,8,0,6,0,0,4,0,9,23,0,1,2,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,131,0,0,0,0
3,MSG_MON_NAME_03,0,0,2,1,21,0,0,0,1,20,0,24,6,1,0,0,0,0,0,18,1,0,0,8,0,0,0,0,5,0,36,28,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,141,0,0,0,0
4,MSG_MON_NAME_04,0,0,2,1,21,0,0,0,1,72,0,93,22,1,0,0,0,0,0,27,3,0,0,14,0,0,0,0,18,0,54,46,0,1,2,0,0,0,4,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,141,0,0,0,0
5,MSG_MON_NAME_05,0,0,2,1,9,0,0,29,1,68,0,135,67,1,9,0,1,0,0,21,8,0,0,14,0,6,0,0,17,0,42,45,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,5,141,0,0,0,0
6,MSG_MON_NAME_06,0,0,2,1,21,2,0,0,1,92,0,402,200,1,0,0,0,0,0,27,12,0,0,25,0,0,0,0,23,0,54,55,0,1,2,0,0,0,2,165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,141,0,0,0,0
7,MSG_MON_NAME_07,0,0,2,1,6,0,0,0,1,92,0,153,50,1,0,0,0,0,0,12,3,0,0,18,0,12,0,0,23,0,24,55,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,7,141,0,0,0,0
8,MSG_MON_NAME_08,0,0,2,1,6,9,0,0,1,296,0,2472,1200,2,0,0,0,0,0,18,8,0,0,31,0,18,0,0,74,0,36,143,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,141,0,0,0,0
9,MSG_MON_NAME_09,0,0,2,1,6,0,0,0,1,196,0,1977,658,1,0,0,0,0,0,12,12,0,0,30,0,20,0,0,54,0,24,91,0,1,2,0,0,0,7,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,141,0,0,0,0
10,MSG_MON_NAME_10,0,20,2,1,5,0,0,0,1,240,0,879,879,1,0,0,0,0,0,24,5,0,0,38,0,12,0,0,60,0,48,120,0,1,2,0,0,0,3,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10,121,0,0,0,0
11,MSG_MON_NAME_11,0,20,2,1,5,2,0,0,1,336,0,1752,1752,1,0,0,0,0,0,24,10,0,0,60,0,16,0,0,78,0,48,150,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,11,121,0,0,0,0
12,MSG_MON_NAME_12,0,20,2,1,5,9,0,0,1,300,0,1506,1506,1,0,0,0,0,0,24,12,0,0,73,0,20,0,0,83,0,48,135,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,12,121,0,0,0,0
