id,group,picture_book_id,group_type
1,1,1,1
2,2,2,1
3,3,3,1
4,4,4,1
5,5,5,1
6,6,6,1
7,7,7,1
8,8,8,1
9,9,9,1
10,10,10,1
11,11,11,1
12,12,12,1
13,13,13,1
14,14,14,1
15,15,15,1
16,16,16,1
17,17,17,1
18,18,18,1
19,19,19,1
20,20,20,1
21,21,21,1
22,22,22,1
23,23,23,1
24,24,24,1
25,25,25,1
26,26,26,1
27,27,27,1
28,28,28,1
29,29,29,1
30,30,30,1
31,31,31,1
32,32,32,1
33,33,33,1
34,34,34,1
35,35,35,1
36,36,36,1
37,37,37,1
38,38,38,1
39,39,39,1
40,40,40,1
41,41,41,1
42,42,42,1
43,43,43,1
44,44,44,1
45,45,45,1
46,46,46,3
47,46,47,3
48,47,48,1
49,48,49,1
50,49,50,1
51,50,51,1
52,51,52,1
53,52,53,1
54,53,54,1
55,54,55,1
56,55,56,1
57,56,57,1
58,57,58,1
59,58,59,1
60,59,60,1
61,60,61,3
62,61,62,3
63,62,63,1
64,63,64,1
65,64,65,1
66,65,66,1
67,66,67,1
68,67,68,1
69,68,69,1
70,69,70,1
71,70,71,1
72,71,72,1
73,72,73,1
74,73,74,1
75,74,75,1
76,75,76,1
77,76,77,1
78,77,78,1
79,78,79,1
80,79,80,1
81,80,81,1
82,81,82,1
83,82,83,1
84,83,84,1
85,84,85,1
86,85,86,1
87,86,87,1
88,87,88,1
89,88,89,1
90,89,90,1
91,90,91,1
92,91,92,1
93,92,93,1
94,93,94,1
95,94,95,1
96,95,96,1
97,96,97,1
98,97,98,1
99,98,99,1
100,99,100,1
101,100,101,1
102,101,102,1
103,102,103,1
104,103,104,1
105,104,105,1
106,105,106,1
107,106,107,1
108,107,108,1
109,108,109,1
110,109,110,1
111,110,111,1
112,111,112,1
113,112,113,1
114,113,114,1
115,114,115,1
116,115,116,1
117,116,117,1
118,117,118,1
119,118,119,1
120,119,120,1
121,120,121,1
122,121,122,1
123,122,123,1
124,123,124,1
125,124,125,1
126,125,126,1
127,126,127,1
128,127,128,1
129,128,129,1
