id,content_id,group_id,coefficient,purchase_limit
1,104,1,0,0
2,63,1,0,0
3,118,1,0,0
4,71,1,0,0
5,114,1,0,0
6,134,2,0,0
7,145,2,0,0
8,146,2,0,0
9,2,3,0,0
10,3,3,0,0
11,5,3,0,0
12,10,3,0,0
147,11,3,0,0
148,12,3,0,0
149,13,3,0,0
150,14,3,0,0
151,15,3,0,0
152,17,3,0,0
153,18,3,0,0
154,19,3,0,0
13,213,4,0,0
14,215,4,0,0
15,214,4,0,0
16,216,4,0,0
17,217,5,0,0
18,219,5,0,0
19,218,5,0,0
20,220,5,0,0
21,114,6,0,0
22,73,6,0,0
23,106,6,0,0
24,96,6,0,0
25,145,7,0,0
26,146,7,0,0
27,148,7,0,0
28,161,7,0,0
29,191,7,0,0
30,2,8,0,0
31,3,8,0,0
32,5,8,0,0
33,10,8,0,0
34,11,8,0,0
155,12,8,0,0
156,13,8,0,0
157,14,8,0,0
158,15,8,0,0
159,17,8,0,0
160,18,8,0,0
161,19,8,0,0
35,223,9,0,0
36,222,9,0,0
37,224,9,0,0
38,221,9,0,0
39,225,10,0,0
40,227,10,0,0
41,226,10,0,0
42,228,10,0,0
43,105,11,0,0
44,64,11,0,0
45,122,11,0,0
46,72,11,0,0
47,148,12,0,0
48,156,12,0,0
49,163,12,0,0
50,175,12,0,0
51,184,12,0,0
52,2,13,0,0
53,3,13,0,0
54,5,13,0,0
55,10,13,0,0
56,11,13,0,0
162,12,13,0,0
163,13,13,0,0
164,14,13,0,0
165,15,13,0,0
166,17,13,0,0
167,18,13,0,0
168,19,13,0,0
57,229,14,0,0
58,231,14,0,0
59,230,14,0,0
60,232,14,0,0
61,237,15,0,0
62,239,15,0,0
63,238,15,0,0
64,240,15,0,0
65,233,16,0,0
66,235,16,0,0
67,234,16,0,0
68,236,16,0,0
69,241,17,0,0
70,243,17,0,0
71,242,17,0,0
72,244,17,0,0
73,122,18,0,0
74,72,18,0,0
75,78,18,0,0
76,97,18,0,0
77,151,19,0,0
78,157,19,0,0
79,185,19,0,0
80,192,19,0,0
81,193,19,0,0
82,245,20,0,0
83,247,20,0,0
84,246,20,0,0
85,248,20,0,0
86,249,21,0,0
87,251,21,0,0
88,250,21,0,0
89,252,21,0,0
90,65,22,0,0
91,81,22,0,0
92,115,22,0,0
93,109,22,0,0
94,147,23,0,0
95,164,23,0,0
96,162,23,0,0
97,187,23,0,0
98,197,23,0,0
99,2,24,0,0
100,3,24,0,0
101,5,24,0,0
102,10,24,0,0
103,11,24,0,0
169,12,24,0,0
170,13,24,0,0
171,14,24,0,0
172,15,24,0,0
173,17,24,0,0
174,18,24,0,0
175,19,24,0,0
104,253,25,0,0
105,255,25,0,0
106,254,25,0,0
107,256,25,0,0
108,257,26,0,0
109,259,26,0,0
110,258,26,0,0
111,260,26,0,0
112,2,27,0,0
113,3,27,0,0
114,5,27,0,0
115,10,27,0,0
116,11,27,0,0
176,12,27,0,0
177,13,27,0,0
178,14,27,0,0
179,15,27,0,0
180,17,27,0,0
181,18,27,0,0
182,19,27,0,0
117,262,28,0,0
118,264,28,0,0
119,266,29,0,0
120,268,29,0,0
121,67,30,0,0
122,158,31,0,0
123,202,31,0,0
124,2,32,0,0
125,3,32,0,0
126,5,32,0,0
127,10,32,0,0
128,11,32,0,0
183,12,32,0,0
184,13,32,0,0
185,14,32,0,0
186,15,32,0,0
187,17,32,0,0
188,18,32,0,0
189,19,32,0,0
129,261,33,0,0
130,263,33,0,0
131,271,39,0,0
132,270,39,0,0
133,272,39,0,0
134,265,34,0,0
135,267,34,0,0
136,275,40,0,0
137,274,40,0,0
138,276,40,0,0
139,269,35,0,0
140,273,36,0,0
141,59,37,0,1
142,34,38,0,0
143,32,38,0,0
145,35,38,0,0
146,36,38,0,0
201,0,101,30,0
202,0,102,50,0
203,0,103,100,0
204,0,104,100,0
205,0,105,200,0
206,0,106,300,0
207,0,107,500,0
208,0,201,40,0
209,0,202,80,0
210,0,203,200,0
211,0,204,400,0
212,0,205,750,0
213,0,206,750,0
