id,gps_area_id,sign_type,display_start,display_end
1,17,1,0,0
2,17,2,0,0
3,17,3,0,0
4,17,4,0,0
5,17,5,0,0
6,17,6,0,0
7,29,1,0,0
8,29,2,0,0
9,29,3,0,0
10,29,4,0,0
11,29,5,0,0
12,29,6,0,0
13,9,1,0,0
14,9,2,0,0
15,9,3,0,0
16,9,4,0,0
17,9,5,0,0
18,9,6,0,0
19,30,1,0,0
20,30,2,0,0
21,30,4,0,0
22,30,5,0,0
23,30,6,0,0
24,14,1,0,0
25,14,2,0,0
26,14,3,0,0
27,14,4,0,0
28,14,5,0,0
29,14,6,0,0
30,5,3,0,0
31,5,4,0,0
32,5,5,0,0
33,5,6,0,0
34,19,1,0,0
35,19,2,0,0
36,19,3,0,0
37,19,4,0,0
38,19,5,0,0
39,19,6,0,0
40,31,4,0,0
41,31,5,0,0
42,32,3,0,0
