id,flag,gps_area_id,treasure_type,count
1,0,16,1,1
2,1,16,1,1
3,2,16,1,1
4,3,16,1,1
5,4,16,1,1
6,5,11,1,1
7,6,11,1,1
8,7,11,1,1
9,8,11,1,1
10,9,11,1,1
11,10,11,1,1
12,11,28,1,1
13,12,28,1,1
14,13,28,1,1
15,14,8,1,1
16,15,8,1,1
17,16,8,1,1
18,17,8,1,1
19,18,25,1,1
20,19,25,1,1
21,20,25,1,1
22,21,26,1,1
23,22,26,1,1
24,23,26,1,1
25,24,26,1,1
26,25,26,1,1
27,26,26,1,1
28,27,26,1,1
29,28,26,1,1
30,29,26,1,1
31,30,26,1,1
32,31,26,1,1
33,32,26,1,1
34,33,24,1,1
35,34,24,1,1
36,35,24,1,1
37,36,24,1,1
38,37,24,1,1
39,38,24,1,1
40,39,24,1,1
41,40,24,1,1
42,41,24,1,1
43,42,24,1,1
44,43,7,1,1
45,44,7,1,1
46,45,7,1,1
47,46,7,1,1
48,47,7,1,1
49,48,7,1,1
50,49,7,1,1
51,50,7,1,1
52,51,7,1,1
53,52,7,1,1
54,53,7,1,1
55,54,7,1,1
56,55,7,1,1
57,56,7,1,1
58,57,7,1,1
59,58,7,1,1
60,59,7,1,1
61,60,7,1,1
62,61,7,1,1
63,62,7,1,1
64,63,7,1,1
65,64,7,1,1
66,65,7,1,1
67,66,13,1,1
68,67,13,1,1
69,68,13,1,1
70,69,13,1,1
71,70,13,1,1
72,71,13,1,1
73,72,13,1,1
74,73,13,1,1
75,74,13,1,1
76,75,13,1,1
77,76,13,1,1
78,77,13,1,1
79,78,13,1,1
80,79,13,1,1
81,80,13,1,1
82,81,13,1,1
83,82,13,1,1
84,83,13,1,1
85,84,13,1,1
86,85,13,1,1
87,86,13,1,1
88,87,13,1,1
89,88,13,1,1
90,89,13,1,1
91,90,13,1,1
92,91,13,1,1
93,92,13,1,1
94,93,13,1,1
95,94,13,1,1
96,95,13,1,1
97,96,13,1,1
98,97,13,1,1
99,98,13,1,1
100,99,18,1,1
101,100,18,1,1
102,101,18,1,1
103,102,18,1,1
104,103,18,1,1
105,104,18,1,1
106,105,18,1,1
107,106,18,1,1
108,107,18,1,1
109,108,18,1,1
110,109,18,1,1
111,110,18,1,1
112,111,18,1,1
113,112,18,1,1
114,113,18,1,1
115,114,22,1,1
116,115,22,1,1
117,116,22,1,1
118,117,22,1,1
119,118,22,1,1
120,119,22,1,1
121,120,6,1,1
122,121,6,1,1
123,122,6,1,1
124,123,6,1,1
125,124,6,1,1
126,125,6,1,1
127,126,6,1,1
128,127,6,1,1
129,128,6,1,1
130,129,6,1,1
131,130,6,1,1
132,131,6,1,1
133,132,6,1,1
134,133,6,1,1
135,134,6,1,1
136,135,6,1,1
137,136,6,1,1
138,137,6,1,1
139,138,6,1,1
140,139,6,1,1
141,140,6,1,1
142,141,6,1,1
143,142,6,1,1
144,143,6,1,1
145,144,6,1,1
146,145,6,1,1
147,146,6,1,1
148,147,6,1,1
149,148,6,1,1
150,149,6,1,1
151,150,6,1,1
152,151,21,1,1
153,152,21,1,1
154,153,21,1,1
155,154,21,1,1
156,155,21,1,1
157,156,21,1,1
158,157,21,1,1
159,158,21,1,1
160,159,21,1,1
161,160,21,1,1
162,161,21,1,1
163,162,21,1,1
164,163,21,1,1
165,164,21,1,1
166,165,21,1,1
167,166,21,1,1
168,167,21,1,1
169,168,21,1,1
170,169,27,1,1
171,170,27,1,1
172,171,27,1,1
173,172,27,1,1
174,173,27,1,1
175,174,27,1,1
176,175,27,1,1
177,176,27,1,1
178,177,27,1,1
179,178,27,1,1
180,179,27,1,1
181,180,27,1,1
182,181,27,1,1
183,182,27,1,1
184,183,27,1,1
185,184,27,1,1
186,185,27,1,1
187,186,27,1,1
188,187,27,1,1
189,188,27,1,1
190,189,27,1,1
191,190,27,1,1
192,191,27,1,1
193,192,27,1,1
194,193,27,1,1
195,194,27,1,1
196,195,27,1,1
197,196,27,1,1
198,197,27,1,1
199,198,27,1,1
200,199,27,1,1
201,200,27,1,1
202,201,27,1,1
203,202,11,1,1
204,203,11,1,1
205,204,11,1,1
206,205,11,1,1
207,206,11,1,1
208,207,11,1,1
209,208,11,1,1
211,210,20,1,1
212,211,20,1,1
213,212,20,1,1
214,213,20,1,1
215,214,20,1,1
216,215,20,1,1
217,216,20,1,1
218,217,20,1,1
219,218,23,1,1
220,219,23,1,1
221,220,23,1,1
222,221,23,1,1
223,222,23,1,1
224,223,23,1,1
225,224,23,1,1
226,225,23,1,1
227,226,23,1,1
228,227,23,1,1
229,228,23,1,1
230,229,23,1,1
231,230,23,1,1
232,500,16,2,1
233,501,26,1,1
234,502,25,2,1
235,503,28,2,1
236,504,8,2,1
237,505,16,1,1
238,506,27,2,1
239,507,6,1,1
240,508,7,1,1
241,509,15,2,1
242,510,18,2,1
243,511,31,2,1
244,512,20,1,1
245,513,22,2,1
246,514,32,2,1
247,515,19,2,1
248,516,14,2,1
249,517,29,2,1
251,231,26,1,1
252,232,26,1,1
253,233,26,1,1
254,234,26,1,1
255,235,26,1,1
256,236,13,1,1
257,237,13,1,1
258,238,13,1,1
259,239,13,1,1
260,240,20,1,1
261,520,24,2,1
262,241,12,1,1
263,242,12,1,1
264,243,12,1,1
265,244,12,1,1
