SPEAKER_01	???
SPEAKER_02	Astos
SPEAKER_03	Une
SPEAKER_04	Garland
SPEAKER_05	Kope
SPEAKER_06	Sada
SPEAKER_07	Königin Jane
SPEAKER_08	Smyth
SPEAKER_09	Sela
SPEAKER_10	Elfenarzt
SPEAKER_11	Nerik
SPEAKER_12	Bahamut
SPEAKER_13	Vampir
SPEAKER_14	Käpt’n Vik
SPEAKER_15	Matoya
SPEAKER_16	Lukan
SPEAKER_17	Watts
SPEAKER_18	Elfenprinz
SPEAKER_19	König
SPEAKER_20	Minister
MSG_OP_01	Die Welt war von Finsternis umhüllt.
MSG_OP_02	Die Winde erstarben ...
MSG_OP_07	Die Meere tobten ...
MSG_OP_08	Die Erde war faul und verdorben.
MSG_OP_03	Doch aus einer Prophezeiung schöpfte man Hoffnung ...
MSG_OP_04	»Vier Kämpfer mit vier Kristallen werden erscheinen, wenn die Welt von dichter Dunkelheit überschattet ist. Sie werden das Licht der Kristalle wieder entfachen, um die Welt vor dem Unheil zu retten.«
MSG_OP_05	Am Ende einer langen Reise haben vier Gefährten diese Welt erreicht.
MSG_OP_06	In ihren Händen die vier Kristalle, die sie fest umschlossen halten.
MSG_KON_CTY_01	Willkommen in der Stadt der Träume, Cornelia.
MSG_KON_CTY_02	Ich bin eine süße Tänzerin. Bitte? Ihr wollt mit mir tanzen? Nicht so stürmisch, Freunde, hihi.
MSG_KON_CTY_03	Hallöchen, ihr seid ja immer noch hier. Ich dachte, ihr überquert die Brücke, um eure Reise fortzusetzen?<P>\nOder wollt ihr doch lieber mit mir tanzen? Hihihi ...
MSG_KON_CTY_04	Pravoca ist eine Hafenstadt! Und ich weiß auch, dass Piraten Schiffe benutzen ...
MSG_KON_CTY_05	Seid ihr schon Matoya begegnet? Ich hab gehört, sie hat ihr Augenlicht verloren und ist völlig verzweifelt.<P>\nIch glaube, sie wohnt in einer Höhle ziemlich weit nördlich von hier.
MSG_KON_CTY_06	Seid ihr schon im Westschloss gewesen? Mit der Krone aus der Sumpfgrotte soll man das Schloss angeblich wieder aufbauen können.
MSG_KON_CTY_07	Na los, der König aus dem Westschloss wartet bestimmt schon sehnsüchtig auf seine Krone. Worauf wartet ihr noch? Obwohl mir irgendetwas an der Sache nicht gefällt ...
MSG_KON_CTY_08	Matoyas Kristallauge ist immer noch unauffindbar. Wer es wohl gestohlen hat?
MSG_KON_CTY_09	Mit dem Wecktrunk kann man den Elfenprinzen bestimmt aus seinem Schlaf holen.
MSG_KON_CTY_10	Angeblich öffnet der Zauberschlüssel sämtliche Türen. Auch die versiegelten Türen innerhalb der Schlossgemäuer.
MSG_KON_CTY_11	Ein gewisser Nerik, angeblich ein Zwerg, benötigt dringend Schwarzpulver. Was will er bloß damit?
MSG_KON_CTY_12	Ich weiß gar nichts. Lasst uns deswegen einfach das Tanzbein schwingen. Hihihi ...
MSG_KON_CTY_13	Gesegnet seien die Kristalle.
MSG_KON_CTY_14	Ich bitte Euch. Rettet die Prinzessin.
MSG_KON_CTY_15	Weit im Norden lebt eine Hexe. Matoya war ihr Name, wenn ich mich recht entsinne ...
MSG_KON_CTY_16	Unser ehrenwerter Weise, Lukan, brach auf, um einen Halbmond zu finden ...
MSG_KON_CTY_17	Früher oder später werdet ihr ein Schiff brauchen, um die Weltmeere zu besegeln.<P>\nSolltet ihr kein Schiff finden, holt es euch von den Piraten!
MSG_KON_CTY_18	Mit einem Kanu kann man auf Flüssen fahren. <P>\nZumindest behaupten das die Weisen aus der Stadt Crescent.
MSG_KON_CTY_19	Sagt, habt ihr schon von den fliegenden Schiffen gehört?<P>\nDer Elfenprophet soll etwas darüber wissen ... Vom Levitanith ist die Rede ...
MSG_KON_CTY_20	Nichts für ungut, aber für die Kämpfer des Lichtes seht ihr mir doch etwas ... nun ... unansehnlich aus.<P>\nEs wäre eine Überlegung, einen Rang aufzusteigen. Ich bin mir sicher, dass es euch den nötigen Respekt verschaffen wird. Befragt doch mal den Drachen aus Onlak ...
MSG_KON_CTY_21	So, ihr seid also im Palais der Probe gewesen. Aber einen Beweis eures Mutes habt ihr wohl nicht gefunden ...
MSG_KON_CTY_22	Pfui, was wollt ihr denn mit diesem stinkenden Rattenschwanz?<P>\nBringt ihn lieber dem Drachenkönig. Der weiß etwas damit anzufangen.
MSG_KON_CTY_23	Ich bezweifle im Übrigen, dass Lukan einen echten Halbmond sucht.<P>\nIch vermute, dass er auf der Suche nach etwas Halbmondförmigem ist, wie der Verlauf des Flusses von Crescent ...
MSG_KON_CTY_24	Nun, ich habe euch alles gesagt, was ich weiß. Vielleicht passiert etwas Außergewöhnliches, wenn die Kristalle ihren lichten Schimmer wieder gefunden haben ...
MSG_KON_CTY_25	Seine Majestät glaubt fest daran, dass die Kämpfer des Lichtes die entführte Prinzessin retten werden.<P>\nSo, wie es Meister Lukan geweissagt hat.
MSG_KON_CTY_27	Ich bitte Euch gnädigst, rettet Prinzessin Sela. Bitte!
MSG_KON_CTY_28	Matoya soll ganz schlechte Augen haben. Ohne Kristallauge ist sie blind wie ein Lavawurm.
MSG_KON_CTY_29	Ich wohnte früher in der östlichen Hafenstadt Pravoca.<P>\nZum Glück bin ich weggezogen. Es sollen sich nämlich Piraten dort niedergelassen haben.
MSG_KON_CTY_30	Ein Brunnen ...
MSG_KON_CTY_31	Lasst Euer anmutiges Antlitz im Wasser spiegeln.<P>\nBäh! Ihr seht ja unglaublich schmutzig aus. Los, wascht Euch mit meinem Wasser den Dreck aus dem Gesicht.
MSG_MAP0A01_10	Seine Majestät ist verzweifelt auf der Suche nach den legendären Kämpfern des Lichtes.<P>\nHaltet ein, sind das Kristalle in Euren Händen?! Bitte folgt mir zum König!
MSG_KON_INN_01	Soll ich euch etwas zur »Ausrüstung« erzählen?
MSG_KON_INN_02	Unter »Ausrüstung« können Waffen und Rüstungen angelegt werden.<P>\nDas Ausrüsten mit einer Waffe steigert zum Beispiel die Angriffskraft, auch »Attacke« genannt.<P>\nRüstung, Schild, Helm oder Handschuhe sind Defensivwaffen und dienen der »Abwehr«.<P>\nReife und Ringe zählen ebenfalls zum Rüstzeug. Der Schild wird in die Hand genommen, Helme auf dem Kopf getragen und Handschuhe über die Hand gestülpt.<P>Die ergatterten Ausrüstungsgegenstände müssen unter »Ausrüstung« angelegt werden, damit sie zum Einsatz kommen.<P>\nMit »Optimieren« wird automatisch die effektivste Ausrüstungskombination aus Rüstzeug und Waffen angelegt.
MSG_KON_INN_03	Wollt ihr bei mir etwas über die »Magie« lernen?
MSG_KON_INN_04	Es gibt zwei Arten von Magie: Schwarzmagie und Weißmagie.<P>\nDie Weißmagie kann heilen oder unterstützt im Kampf mit defensiven Zaubersprüchen. Die Schwarzmagie besteht meist aus Zaubersprüchen, die großen Schaden anrichten können.<P>\nFür jede Magiestufe existieren vier Zaubersprüche. Es können allerdings nur drei auf einmal gelernt und getragen werden.<P>\nGelernte Sprüche können auch vergessen werden, wenn man sie nicht mehr braucht oder gegen andere Sprüche tauschen möchte.<P>\nVergessene Zaubersprüche können natürlich wieder erlernt werden.
MSG_KON_INN_05	Falls ihr Grünschnäbel Fragen zu euren »Items« habt, dann seid ihr bei mir richtig. Ich kann euch aufklären.
MSG_KON_INN_06	»Items« sind Gegenstände, die euch auf eurer Reise in die Hände fallen und die ihr benutzen könnt und solltet.<P>\nPotions und Antidots kann man gar nicht genug bei sich tragen. Oft helfen solche Gegenstände auch, um Magiekosten zu sparen.<P>Schlafsack, Zelt und Hütte werden im Weltmodus benutzt und regenerieren sowohl die LP als auch die MP.<P>\nMeine müden Knochen sind auch nicht mehr das, was sie mal waren. Mindestens ein Zelt trage ich deswegen immer bei mir ...<P>\nBestimmte Waffen können ebenso als »Items« verwendet werden. Oft erzielen sie dabei eine spezielle Wirkung.<P>\nBesonders wertvolle Items sind unter »Wertvolles« gelistet. Diese müssen am richtigen Ort zur richtigen Zeit benutzt werden!
MSG_KON_INN_07	Hossa! Ich kann euch Geschichten über Monster und Unwesen erzählen, auf die ihr zweifelsohne treffen werdet.
