SPEAKER_01	???
SPEAKER_02	Astos
SPEAKER_03	Unne
SPEAKER_04	Garland
SPEAKER_05	Koppe
SPEAKER_06	Sadda
SPEAKER_07	Jayne
SPEAKER_08	Smyth
SPEAKER_09	Sarah
SPEAKER_10	Healer
SPEAKER_11	Nerrick
SPEAKER_12	Bahamut
SPEAKER_13	Vampire
SPEAKER_14	Bikke
SPEAKER_15	Matoya
SPEAKER_16	Lukahn
SPEAKER_17	Watts
SPEAKER_18	The Prince
SPEAKER_19	The King
SPEAKER_20	Chancellor
MSG_OP_01	The world lies shrouded in darkness.
MSG_OP_02	The winds die...
MSG_OP_07	The seas rage...
MSG_OP_08	The earth decays...
MSG_OP_03	But the people believe in a prophecy, patiently awaiting its fulfillment.
MSG_OP_04	"When darkness veils the world, four Warriors of Light shall come."
MSG_OP_05	After a long journey, four young travelers did at last appear...
MSG_OP_06	...and in the hand of each was clutched a crystal.
MSG_KON_CTY_01	This is Cornelia, the city of dreams.
MSG_KON_CTY_02	Hi there! I'm a dancer! What's that? You wanna dance with me? Hee hee!
MSG_KON_CTY_03	So why are you still here?<P>\nWeren't you supposed to be crossing that bridge to the north? You must really wanna dance with me. Hee hee!
MSG_KON_CTY_04	Pravoka is a port town. The pirates there just might have a ship.
MSG_KON_CTY_05	Have you met Matoya yet? She's been having a lot of trouble ever since she lost her eyesight.<P>\nThey say she lives across the bridge, far, far to the north.
MSG_KON_CTY_06	Have you been to the Western Keep?<P>\nThey say the crown from the Marsh Cave can restore the fallen keep...
MSG_KON_CTY_07	Hey! Shouldn't you be taking that crown to the king of the Western Keep?<P>\nThough, come to mention it, there does seem to be something strange going on there...
MSG_KON_CTY_08	Matoya's crystal eye was stolen and she STILL hasn't gotten it back.
MSG_KON_CTY_09	I bet you could use the jolt tonic to awaken the elf prince.
MSG_KON_CTY_10	Rumor has it you can get into the locked rooms in Castle Cornelia if you have the mystic key.
MSG_KON_CTY_11	Nerrick the dwarf has been looking for powerful explosives. I wonder what he's gonna use them for?
MSG_KON_CTY_12	I don't know what else to tell ya... How 'bout we have that dance? Whaddaya say?
MSG_KON_CTY_13	Restore the Crystals to grace...
MSG_KON_CTY_14	Oh, please... You must rescue the princess.
MSG_KON_CTY_15	A witch named Matoya lives to the north of Cornelia.
MSG_KON_CTY_16	Sage Lukahn said something about finding the crescent moon, then he just up and left town...
MSG_KON_CTY_17	You'll be needing a ship if you want to be able to move about more freely.<P>\nIf you have trouble obtaining one through normal means, you could always "borrow" a pirate ship...
MSG_KON_CTY_18	You could cross rivers if you had something like a canoe.<P>\nYes, I believe I heard the sages of Crescent Lake say something about that.
MSG_KON_CTY_19	By the by, have you ever heard of a ship that can sail through the air?<P>\nThe levistone, spoken of by the elven sages, has something to do with that...
MSG_KON_CTY_20	There's just one thing holding you back from being truly exalted Warriors of Light...<P>\nYou need more dignified titles. Have you given any thought to that? There's a dragon in Onrac who's very up on his titles.
MSG_KON_CTY_21	So you've been to the Citadel of Trials, but you still don't have your token of courage?
MSG_KON_CTY_22	Carrying around a rat's tail, are we? Well, I suppose it's better than nothing.<P>\nMaybe it's time to go pay a visit to the Dragon King.
MSG_KON_CTY_23	By the by, I've been thinking that "crescent" may not be referring to the moon after all.<P>\nI have a hunch that it might be describing the body of water around the town of Crescent Lake... Just a hunch, mind you.
MSG_KON_CTY_24	I'm afraid there's nothing more I can tell you at the moment.<P>\nRestoring light to one of the Crystals just might make something happen—but who knows?
MSG_KON_CTY_25	The king truly believes in Lukahn's prophecy...<P>\n...that the Warriors of Light will come to save the princess.
MSG_KON_CTY_27	Please rescue Lady Sarah!
MSG_KON_CTY_28	They say Matoya's peepers aren't too sharp. She can't see a thing without her crystal eye.
MSG_KON_CTY_29	I once lived far to the east of here in the harbor city of Pravoka.<P>\nThese days I hear it's turned into a pirates' den.
MSG_KON_CTY_30	It's a well. It looks like you could climb inside, but you can't. Really.
MSG_KON_CTY_31	Let's take a peek at your reflection in the water...<P>\nUgh! You're filthy! Use this to wash up!
MSG_MAP0A01_10	The king is searching for the prophesied Warriors of Light.<P>\nTh-those crystals! You must see the king at once!
MSG_KON_INN_01	I would be most happy to teach you about equipment. Would you care to listen?
MSG_KON_INN_02	Equipment can be split into two categories: weapons and armor.<P>\nEquipping a weapon will increase your Attack rating.<P>\nThere are four types of armor: shields, helms, gloves, and body armor.<P>\nAny armor you wear on your body, including armlets, is classified as body armor.<P>\nShields are held in one hand, while helms are worn on the head.<P>\nRemember that the weapons and armor you find won't do you any good unless you equip them from the main menu.<P>\nSelecting "Optimal" will automatically equip the strongest weapons and armor in your inventory.
MSG_KON_INN_03	I've been known to give quite the lecture on the use of magic. Interested?
MSG_KON_INN_04	There are two schools of magic: black and white.<P>\nWhite magic is comprised of healing and defensive spells, while black magic spells are of the offensive variety.<P>\nEach level of black and white magic contains four distinct spells.<P>\nHowever, any given character can only learn three of the four spells of a particular magic level.<P>\nYou can use the "Forget" command to wipe your memory of any spell you've previously learned.<P>\nIf you want to relearn a spell you've previously forgotten, you can do that, too.<P>\nTry to choose a combination of spells that works well with your fighting style.
MSG_KON_INN_05	If you need to know about items, you've certainly come to the right person! As long as you're here, why not hear, eh?
MSG_KON_INN_06	It never hurts to carry a lot of potions, antidotes, and the like with you.<P>\nStocking up on items in advance will help you conserve your magic for the times you need it most.<P>\nNow let's move on to sleeping bags, tents, and cottages, shall we?<P>\nThese three splendid items allow you to restore your HP and MP. You can only use them outdoors, though.<P>\nIn addition to these traditional items, certain pieces of equipment may be used as items as well.<P>\nThe only way to know if a given piece of equipment has a use is to try it out, so experimentation is key.<P>\nIn the course of your travels, you will come across unique items that are known as "key items."<P>\nSome key items have an effect when used in a specific location.
MSG_KON_INN_07	Would you like to tarry for just a moment to hear about monsters?
MSG_KON_INN_08	There are many types of monsters, and different types have different weaknesses.<P>\nFinding a monster's weakness will help you gain the upper hand in battle.<P>\nFor example, aquatic monsters are susceptible to lightning.<P>\nCasting Thunder on these monsters will deal particularly heavy damage.<P>\nSome weapons are also more effective against certain monsters.
MSG_KON_CAS_01	I am Jayne, Queen of Cornelia. Please...please bring my daughter...my Sarah...back to me safely.
MSG_KON_CAS_02	I don't know how I could ever thank you for rescuing Sarah.
MSG_KON_CAS_03	My s-s-sister... I w-want my s-sister!
MSG_KON_CAS_04	My sister's back! And it's thanks to you all! I could just kiss you!<P>\nMwah!
MSG_KON_CAS_05	The king is searching for the prophesied Warriors of Light.<P>\nTh-those crystals! Could it be...?
MSG_KON_CAS_06	I've been assigned the important task of defending Castle Cornelia!<P>\nTo be honest, I'm a little nervous.
MSG_KON_CAS_07	Her Majesty's overcome with grief—she's shut herself inside her chambers. Please try not to upset her.
MSG_KON_CAS_08	Th-the Warriors of Light! I can't thank you enough for saving Lady Sarah!
MSG_KON_CAS_09	Please, please save Lady Sarah!
MSG_KON_CAS_10	Are you the...Warriors of Light? The ones from Lukahn's prophecy?
MSG_KON_CAS_11	Garland was once the greatest knight in the kingdom.<P>\nBut power consumed him, and he lost sight of who he really was.
