SPEAKER_01	¿?
SPEAKER_02	Astos
SPEAKER_03	Une
SPEAKER_04	Garland
SPEAKER_05	Kope
SPEAKER_06	Sada
SPEAKER_07	Jayne
SPEAKER_08	Ferreiro
SPEAKER_09	Sara
SPEAKER_10	Curandero
SPEAKER_11	Nérico
SPEAKER_12	Bahamut
SPEAKER_13	Vampiro
SPEAKER_14	Bike
SPEAKER_15	Matoya
SPEAKER_16	Luka
SPEAKER_17	Walter
SPEAKER_18	Príncipe
SPEAKER_19	Rey
SPEAKER_20	Ministro
MSG_OP_01	Un manto de oscuridad cubre el mundo...
MSG_OP_02	Los vientos cesan...
MSG_OP_07	Los mares se agitan...
MSG_OP_08	La tierra se pudre...
MSG_OP_03	Pero la gente espera que se cumpla una profecía.
MSG_OP_04	"Cuando reine la oscuridad en el mundo, llegarán los cuatro Guerreros de la Luz".
MSG_OP_05	Tras una larga travesía, finalmente aparecieron cuatro jóvenes viajeros...
MSG_OP_06	En sus manos, cada uno traía un cristal.
MSG_KON_CTY_01	Esta es Cornelia, la ciudad de los sueños.
MSG_KON_CTY_02	¡Hola! ¡Soy bailarina! ¿Eh? ¿Queréis bailar conmigo? ¡Ji, ji, ji!
MSG_KON_CTY_03	¿Qué hacéis aquí todavía?<P>\n¿No ibais a cruzar aquel puente hacia el norte? Pues sí que tienes ganas de bailar conmigo. ¡Ji, ji, ji!
MSG_KON_CTY_04	Pravoca es un pueblo portuario. Los piratas de allí deben de tener un barco.
MSG_KON_CTY_05	¿Ya habéis conocido a Matoya? Ha tenido muchos problemas desde que perdió la vista.<P>\nDicen que vive lejos, al norte, cruzando el puente.
MSG_KON_CTY_06	¿Habéis ido a la Fortaleza Oeste?<P>\nDicen que la corona que hay en la Caverna Pantanosa es capaz de reconstruir el castillo.
MSG_KON_CTY_07	¡Eh! ¿No deberíais llevarle esa corona al rey de la Fortaleza Oeste?<P>\nPero ahora que lo pienso, hay algo que me da mala espina...
MSG_KON_CTY_08	Han robado el ojo de cristal de Matoya y aún no lo ha podido recuperar.
MSG_KON_CTY_09	Seguro que podéis usar el brebaje tónico para despertar al príncipe elfo.
MSG_KON_CTY_10	Dicen que con la llave mística es posible entrar a las habitaciones del Castillo de Cornelia.
MSG_KON_CTY_11	El enano Nérico ha estado buscando explosivos potentes. Me pregunto para qué querrá usarlos.
MSG_KON_CTY_12	No sé qué más contaros. ¿Y si bailamos un poco? ¿Os apetece?
MSG_KON_CTY_13	¡Devolved la armonía a los Cristales, valiosos guerreros!
MSG_KON_CTY_14	Ay, por favor... Rescatadme a la princesa.
MSG_KON_CTY_15	Una bruja llamada Matoya vive en el norte de Cornelia.
MSG_KON_CTY_16	El sabio Luka mencionó algo sobre la luna creciente y luego abandonó el pueblo.
MSG_KON_CTY_17	Si queréis viajar libremente, necesitaréis un barco.<P>\nSi no conseguís uno por medios convencionales, siempre podéis "tomar prestado" un barco pirata...
MSG_KON_CTY_18	Me parece que es posible cruzar los ríos con una canoa o algo parecido.<P>\nSí, creo que oí a los profetas del Lago Creciente decir algo al respecto.
MSG_KON_CTY_19	Por cierto, ¿habéis oído hablar de un barco capaz de volar por el cielo?<P>\nLa levicita de la que hablan los profetas tiene algo que ver con ese barco...
MSG_KON_CTY_20	Para ser los Guerreros de la Luz, tenéis un aura muy tenue...<P>\nNecesitáis títulos más dignos. ¿Habéis pensando en ello?<P>\nHay un dragón en Onlak que está bien informado al respecto.
MSG_KON_CTY_21	¿Habéis ido a la Ciudad del Reto pero aún no tenéis vuestra prueba de valor?
MSG_KON_CTY_22	Veo que lleváis una cola de rata. Bueno, menos da una piedra.<P>\nTal vez sea hora de visitar al rey dragón.
MSG_KON_CTY_23	Por cierto, he estado pensándolo y creo que la palabra "creciente" no se refiere a la luna.<P>\nTengo el presentimiento de que se refiere al agua que rodea al pueblo de "Lago Creciente".<P>\nPero es solo un presentimiento...
MSG_KON_CTY_24	Ahora no tengo nada que contar.<P>\nSi alguno de los Cristales recupera su Luz, algo ha de ocurrir. Pero quién sabe...
MSG_KON_CTY_25	El rey cree firmemente en lo que dice la profecía de Luka...<P>\nLos Guerreros de la Luz vendrán a salvar a la princesa.
MSG_KON_CTY_27	¡Rescatad a nuestra Sara, por favor!
MSG_KON_CTY_28	Dicen que la vista de Matoya no es muy aguda.<P>\nSin su ojo de cristal, no ve nada.
MSG_KON_CTY_29	Una vez viví muy al este de aquí, en la ciudad portuaria de Pravoca.<P>\nParece que hoy en día es una guarida de piratas.
MSG_KON_CTY_30	Es un aljibe. Da la impresión de que podéis saltar dentro, pero no es así.
MSG_KON_CTY_31	Miráis vuestro reflejo en el agua...<P>\n¡Hala! ¡Estáis muy sucios! ¡Ya va tocando lavarse la cara!
MSG_MAP0A01_10	El rey está buscando a los Guerreros de la Luz que menciona la profecía.<P>\n¡Pero si eso son... cristales! ¡Debéis ir a ver al rey de inmediato!
MSG_KON_INN_01	Me encantaría enseñaros a usar vuestro equipo. ¿Os interesa?
MSG_KON_INN_02	Existen dos tipos de piezas de equipo: armas y armaduras.<P>\nCuando un personaje usa armas, su capacidad de ataque aumenta.<P>\nExisten cuatro clases de armaduras: escudos, yelmos, guantes y corazas.<P>\nCualquier protección que os coloquéis en torso y brazos se considera pieza de armadura.<P>\nLos escudos se usan en una mano, y los cascos en la cabeza.<P>\nRecordad que las armas y armaduras que encontréis solo servirán si las equipáis desde el menú principal.<P>\nSi elegís "Óptimo", se asignarán automáticamente las mejores piezas de equipo de vuestro inventario.
MSG_KON_INN_03	Dicen que soy muy bueno enseñando a dominar los hechizos. ¿Os interesa?
MSG_KON_INN_04	Existen dos escuelas de magia: la de magia blanca y la de magia negra.<P>\nLa magia blanca sirve para curar y proteger, y la negra para lanzar hechizos ofensivos.<P>\nCada nivel de magia blanca o negra consta de cuatro hechizos diferentes.<P>\nPero un mago solo puede aprender tres de los cuatro hechizos de cada nivel.<P>\nPodéis utilizar el comando "Olvidar" para desprenderos de cualquier hechizo que hayáis aprendido.<P>\nY si queréis volver a aprender un hechizo ya olvidado, también es posible.<P>\nIntentad elegir una combinación de hechizos que favorezca vuestro estilo de combate.
MSG_KON_INN_05	Si queréis aprender sobre objetos, ¡habéis dado con la persona acertada! No perdéis nada por preguntar.
MSG_KON_INN_06	Nunca está de más llevar con vosotros pociones y antídotos varios.<P>\nSi utilizáis estos objetos, os ayudarán a reservar vuestra magia para cuando más la necesitéis.<P>\nAlgunos de ellos son los sacos de dormir, las tiendas de lona y las cabañas.<P>\nEstos maravillosos objetos os permitirán recuperar vuestra VIT y PM.<P>\nEso sí, solo podréis usarlos cuando estéis al aire libre.<P>\nAdemás, hay ciertas piezas de equipo que también se pueden usar como objetos.<P>\nLa única forma de saber cuáles son es probándolas. Aquí la clave es experimentar.<P>\nEn vuestros viajes, también encontraréis una clase de objetos denominados "Objetos clave".<P>\nAlgunos de estos os resultarán útiles si se emplean en sitios importantes.
MSG_KON_INN_07	¿Os quedáis unos minutos a aprender sobre monstruos?
MSG_KON_INN_08	Cada clase de monstruo tiene su punto débil.<P>\nIdentificar los puntos débiles de los monstruos os ayudará a vencerlos en batalla.<P>\nPor ejemplo, los monstruos de agua son vulnerables al Rayo.<P>\nSi lanzáis Electro contra ellos, les causaréis grandes daños.<P>\nY recordad que algunas armas son más eficaces contra determinado tipo de monstruos.
MSG_KON_CAS_01	Soy Jayne, reina de Cornelia. Os lo ruego... devolvedme a mi hija, mi querida Sara, sana y salva.
MSG_KON_CAS_02	No sé cómo daros las gracias por haber rescatado a Sara.
MSG_KON_CAS_03	¡Mi hermanaaaa! ¡Quiero que vuelva mi... hermana...!
MSG_KON_CAS_04	¡Mi hermana ha regresado! Todo gracias a vosotros, ¿verdad? ¡Dejad que os dé un beso! ¡¡¡Muá!!!
MSG_KON_CAS_05	El rey está buscando a los Guerreros de la Luz que menciona la profecía.<P>\n¡Esos... cristales! ¿No serán...?
MSG_KON_CAS_06	¡Me han encomendado la importante tarea de defender Cornelia!<P>\nPara ser sincero, estoy un poco nervioso.
MSG_KON_CAS_07	Su majestad sufre una pena profunda. Se ha encerrado en sus aposentos. Por favor, procurad que no se altere.
MSG_KON_CAS_08	¡Los Gue... Guerreros de la Luz! ¡Muchísimas gracias por rescatar a la princesa Sara!
MSG_KON_CAS_09	¡Por favor, rescatad a la princesa Sara! ¡Os lo ruego!
