SPEAKER_01	???
SPEAKER_02	Astos
SPEAKER_03	Unne
SPEAKER_04	Garland
SPEAKER_05	Koppe
SPEAKER_06	Sadda
SPEAKER_07	Jayne
SPEAKER_08	Smyth
SPEAKER_09	Sarah
SPEAKER_10	Guaritore
SPEAKER_11	Nerrick
SPEAKER_12	Bahamut
SPEAKER_13	Vampiro
SPEAKER_14	Bikke
SPEAKER_15	Matoya
SPEAKER_16	Lukahn
SPEAKER_17	Watts
SPEAKER_18	Principe
SPEAKER_19	Re
SPEAKER_20	Cancelliere
MSG_OP_01	Il mondo è avvolto dall'oscurità.
MSG_OP_02	Il vento cala...
MSG_OP_07	Il mare infuria...
MSG_OP_08	La terra imputridisce...
MSG_OP_03	Ma la gente crede in una profezia, attendendone pazientemente l'avverarsi.
MSG_OP_04	"Quando il mondo sarà avvolto dall'oscurità, giungeranno quattro Guerrieri della luce."
MSG_OP_05	Dopo un lungo viaggio, quattro giovani viandanti appaiono alfine...
MSG_OP_06	...ognuno con un cristallo in mano.
MSG_KON_CTY_01	Questa è Cornelia, la città dei sogni.
MSG_KON_CTY_02	Ehilà! Sono una ballerina!\nCome? Volete ballare con me? Eh eh eh!
MSG_KON_CTY_03	Che ci fate ancora qui?<P>\nNon dovevate attraversare quel ponte a nord? Allora morite proprio dalla voglia di ballare con me. Eh eh eh!
MSG_KON_CTY_04	Pravoka è una città portuale. I pirati laggiù potrebbero avere una nave.
MSG_KON_CTY_05	Avete già conosciuto Matoya? Ha avuto un sacco di problemi da quando ha perso la vista.<P>\nPare che viva oltre il ponte, in una caverna alla estremità settentrionale del continente.
MSG_KON_CTY_06	Avete visitato la Rocca di ponente?<P>\nPare che nella Grotta paludosa ci sia una corona in grado di restaurare il castello...
MSG_KON_CTY_07	Ehi! Non dovreste portare quella corona al Re della Rocca di ponente? Anche se, ora che ci penso, c'è qualcosa che non mi quadra in questa storia...
MSG_KON_CTY_08	L'occhio di cristallo di Matoya è stato rubato e non è ancora stato recuperato.
MSG_KON_CTY_09	Scommetto che potreste usare il filtro del risveglio per aiutare il Principe degli elfi.
MSG_KON_CTY_10	Ho sentito dire che serve la chiave arcana per entrare nelle camere chiuse a chiave del Castello di Cornelia.
MSG_KON_CTY_11	Nerrick il nano sta cercando un potente esplosivo. Chissà che cosa vuole farne...
MSG_KON_CTY_12	Non so che altro dirvi... Però vi devo ancora un ballo! Che ne dite?
MSG_KON_CTY_13	Riportate i Cristalli al loro antico splendore...
MSG_KON_CTY_14	Oh, vi prego... Dovete salvare la Principessa.
MSG_KON_CTY_15	Una strega di nome Matoya vive a nord di Cornelia.
MSG_KON_CTY_16	Prima di partire, il profeta Lukahn ha detto di voler trovare la falce di luna.
MSG_KON_CTY_17	Se volete viaggiare liberamente, vi serve una nave.<P>\nSe non riuscite a procurarvela, potreste sempre provare a chiederne una "in prestito" ai pirati...
MSG_KON_CTY_18	Con una canoa dovreste riuscire a navigare lungo il corso dei fiumi.<P>\nAlmeno, così ho sentito dire dai saggi della Città crescente.
MSG_KON_CTY_19	A proposito, avete sentito parlare di quella nave che solca i cieli?<P>\nSono sicuro che la levipietra di cui parlano i profeti elfici c'entra qualcosa...
MSG_KON_CTY_20	Vi manca solo una cosa per essere davvero i mitici Guerrieri della luce... Dei titoli più appropriati. Ci avete mai pensato?<P>\nA Onrac c'è un dragone che è molto esperto in materia.
MSG_KON_CTY_21	E così siete stati al Tempio dei Cimenti, ma non avete ancora una prova di coraggio...
MSG_KON_CTY_22	Vedo che avete con voi una coda di topo.<P>\nBeh, immagino che sia sempre meglio di niente. Forse è il momento di andare a fare visita al Re dragone.
MSG_KON_CTY_23	Sapete, stavo pensando alla falce di luna di cui parlava Lukahn. Io dico che era una metafora.<P>\nÈ solo un presentimento, ma forse intendeva quel lago intorno alla Città crescente.
MSG_KON_CTY_24	Non ho nulla da dirvi al momento.<P>\nForse se ridonate la luce a uno dei Cristalli succederà qualcosa...
MSG_KON_CTY_25	Il Re crede davvero che i Guerrieri della luce verranno a salvare la Principessa.<P>\nCosì almeno ha predetto Lukahn...
MSG_KON_CTY_27	Vi prego, salvate la principessa Sarah.
MSG_KON_CTY_28	Pare che Matoya sia cieca come una talpa. Non vede niente senza il suo occhio di cristallo.
MSG_KON_CTY_29	Un tempo vivevo nel lontano porto di Pravoka, a est di qui.<P>\nPare che ora sia diventato un covo di pirati.
MSG_KON_CTY_30	È un pozzo. Sembra quasi che ci si possa entrare, ma è impossibile.
MSG_KON_CTY_31	Diamo un'occhiata alla vostra immagine riflessa nell'acqua...<P>\nUgh, siete luridi! Datevi una lavata!
MSG_MAP0A01_10	Il Re sta cercando i Guerrieri della luce della profezia.<P>\nQ-Quei cristalli! Dovete far visita al Re immediatamente!
MSG_KON_INN_01	Posso insegnarvi molto sull'equipaggiamento. Perché non mi ascoltate un momento?
MSG_KON_INN_02	L'equipaggiamento può essere diviso in due categorie: armi e armature.<P>\nImpugnare un'arma aumenta la potenza d'attacco.<P>\nCi sono quattro tipi di armature: scudi, elmi, guanti e armature per il corpo.<P>\nQualsiasi protezione che si indossa, bracciali inclusi, è considerata un'armatura per il corpo.<P>\nGli scudi si tengono in mano mentre gli elmi si portano sulla testa.<P>\nRicorda che le armi e le armature trovate non ti serviranno a nulla se non le indosserai usando il menu principale.<P>\nSelezionando "Ottimizza", ti equipaggerai automaticamente delle armi e delle armature più potenti a tua disposizione.
MSG_KON_INN_03	Sono piuttosto famoso per la mia conoscenza della magia. Volete che vi spieghi qualcosa?
MSG_KON_INN_04	Esistono due scuole di magia: nera e bianca.<P>\nLa magia bianca è specializzata in incantesimi difensivi e curativi, mentre la magia nera è specializzata in incantesimi offensivi.<P>\nOgni livello di magia nera e bianca ha quattro incantesimi differenti.<P>\nTuttavia, ogni personaggio può imparare solo fino a tre incantesimi per livello.<P>\nPuoi usare il comando "Dimentica" per cancellare dalla tua memoria un incantesimo imparato in precedenza.<P>\nPuoi comunque imparare nuovamente un incantesimo dimenticato.<P>\nCerca di scegliere la combinazione di incantesimi che si adatta meglio al tuo stile di combattimento.
MSG_KON_INN_05	Se volete sapere qualcosa sugli oggetti, sono la persona che fa per voi! Vi va di ascoltare quello che ho da dire?
MSG_KON_INN_06	È consigliabile avere sempre con sé una grossa scorta di pozioni, antidoti e oggetti del genere.<P>\nAvere una riserva di oggetti vi permette di conservare la magia per le situazioni di emergenza.<P>\nE ora parliamo di sacchi a pelo, tende e padiglioni.<P>\nQuesti oggetti favolosi vi permettono di ripristinare i vostri PV e PM, ma è possibile usarli solo all'aperto.<P>\nOltre a questi oggetti tradizionali, anche alcuni pezzi di equipaggiamento possono essere usati come oggetti.<P>\nL'unico modo di sapere se un'arma o un'armatura possono essere usate come oggetti è provarci.<P>\nNel corso dei vostri viaggi vi imbatterete in oggetti particolari chiamati "rarità".<P>\nAlcune rarità hanno effetti particolari se usate in determinati luoghi.
MSG_KON_INN_07	Volete saperne di più sui mostri che vi sbarreranno la strada?
