SPEAKER_01	？？？
SPEAKER_02	アストス
SPEAKER_03	ウネ
SPEAKER_04	ガーランド
SPEAKER_05	コペ
SPEAKER_06	サーダ
SPEAKER_07	ジェーン
SPEAKER_08	スミス
SPEAKER_09	セーラ
SPEAKER_10	ドクター
SPEAKER_11	ネリク
SPEAKER_12	バハムート
SPEAKER_13	バンパイア
SPEAKER_14	ビッケ
SPEAKER_15	マトーヤ
SPEAKER_16	ルカーン
SPEAKER_17	ワッツ
SPEAKER_18	王子
SPEAKER_19	国王
SPEAKER_20	大臣
MSG_OP_01	この世は暗黒に包まれている
MSG_OP_02	風はやみ
MSG_OP_07	海は荒れ…
MSG_OP_08	大地は腐ってゆく
MSG_OP_03	しかし…\n人々は　ひとつの予言を信じ\nそれを待っていた
MSG_OP_04	『この世　暗黒に染まりし時\n４人の光の戦士現れん…』
MSG_OP_05	長い冒険の末\n４人の若者が\nこの地にたどり着いた
MSG_OP_06	そして　その手には　それぞれ\nクリスタルが握られていた…
MSG_KON_CTY_01	ここは夢の都コーネリアよ。
MSG_KON_CTY_02	私は踊り子！\nえ？私と一緒に踊りたいって？\nウフフッ…。
MSG_KON_CTY_03	あれ、まだいたの？\n橋を渡って大陸に行くんでしょう？\nそんなに私と踊りたいのね、ウフフッ…。
MSG_KON_CTY_04	プラボカは港町よ。\n海賊なら『船』を持ってるかもね。
MSG_KON_CTY_05	もうマトーヤには会った？\n目が見えなくなって困っているらしいの…。<P>\n橋を渡って、ずっと北にある洞窟に\n住んでいるって話よ。
MSG_KON_CTY_06	もう西の城へは行った？<P>\nなんでも沼の洞窟にある\n『クラウン』があれば、\n城が再建できるって話よ。
MSG_KON_CTY_07	ほら、西の城の王様に\n『クラウン』を届けてあげなくちゃ。\nでも…何かおかしな気がするのよね。
MSG_KON_CTY_08	マトーヤの『水晶の目』は盗まれたままで、\nまだ見つかっていないらしいわよ。
MSG_KON_CTY_09	『目覚めの薬』を使えば、エルフの王子も\n目を覚ますんじゃないかしら。
MSG_KON_CTY_10	コーネリア城のとざされた部屋は、\n『神秘の鍵』があれば\n入れるらしいってウワサよ。
MSG_KON_CTY_11	ドワーフ族のネリクって人が\n強力な火薬を探してるらしいの。\n何に使うのかしらね？
MSG_KON_CTY_12	私、もう何も知らないわ。\nいいから踊りましょ！
MSG_KON_CTY_13	戦士たちよ、クリスタルに祝福を…。
MSG_KON_CTY_14	お願いです。\n王女様を助け出してください。
MSG_KON_CTY_15	コーネリアを出て北に行ったところに、\nマトーヤという魔女が住んでいるらしいね。
MSG_KON_CTY_16	予言者のルカーン様は\n三日月を目指すと言って、\nこの町を出ていってしまわれた…。
MSG_KON_CTY_17	行動範囲を広げるためには\n『船』が必要不可欠じゃな。<P>\n『船』が手に入らないのなら、\n海賊からかっぱらうというのはどうじゃ？
MSG_KON_CTY_18	『カヌー』とかいうものがあれば、\n川を渡ることができるらしいな。<P>\nクレセントレイクの予言者たちが\nそんなことを言っておった…。
MSG_KON_CTY_19	ところで、『空を飛ぶ船』というのを\n知っとるか？<P>\nエルフの予言者のいう\n『浮遊石』と関係があるらしいぞ。
MSG_KON_CTY_20	おぬしたち、光の戦士にしては\nいまひとつ貫禄がないのう…。\n称号とやらをもらってみてはどうじゃ？<P>\nオンラクの町にいるドラゴンが、\n称号について詳しいらしいぞ。
MSG_KON_CTY_21	試練の城へは行ったようじゃな。\nでも、勇者の証とやらは\nまだ持っていないようじゃな。
MSG_KON_CTY_22	なんじゃ？\n『ネズミのしっぽ』なんぞ持って…。<P>\nまあ、何もないよりましじゃろうから、\n竜の王に会ってみてはどうじゃ？
MSG_KON_CTY_23	ところで、三日月とは\n本当の月ではないと思うんじゃが…。<P>\nわしのカンでは、\nクレセントレイクの周りにある\n湖の形じゃないかと思うんじゃが…。
MSG_KON_CTY_24	教えてやれることは何もないわ。<P>\nクリスタルの輝きが戻ったら、\n何か新しいことが\n起こるかもしれんがな…。
MSG_KON_CTY_25	王は、光の戦士が現れ、\nさらわれた王女を救ってくれると\nかたく信じています。<P>\n予言者ルカーンの言葉のように…。
MSG_KON_CTY_27	お願いです。\nセーラ様を助け出してください！
MSG_KON_CTY_28	マトーヤは、目が悪いんだって。\n『水晶の目』がないと\n何も見えないらしいわ。
MSG_KON_CTY_29	私は昔、はるか東にある\n港町プラボカに住んでいました。\n今では、海賊のアジトという話ですが…。
MSG_KON_CTY_30	井戸です。\n入れそうで入れない井戸です。
MSG_KON_CTY_31	すんだ水に顔を映してみましょう…。<P>\nまあ汚い！\nさあ、この水で顔を洗って、洗って！
MSG_MAP0A01_10	王は、伝説の光の戦士を探しておいでだ。<P>\nムッ、そのクリスタルは…！\nぜひ王にお会いください！
MSG_KON_INN_01	「装備」についてワシが教えてしんぜよう。\n聞きたいか？
MSG_KON_INN_02	装備は「武器」と「防具」に\n分かれているのじゃ。<P>\n「武器」を装備すると、\n攻撃力を上げることができるぞ。<P>\n「防具」には、\n「鎧」「盾」「兜」「小手」の\n４種類がある。<P>\n体に着るものや腕輪が\n「鎧」にあたるのじゃ。<P>\n「盾」は手に持つもの、\n「兜」は頭にかぶるものだ。<P>\n手に入れた「武器」や「防具」は、\nメニューで装備しないと\n意味がないから気をつけるのじゃぞ。<P>\nメニューで「最強」を選ぶと、\n持っている装備の中から\n自動的にいちばん強いものを装備できるぞ。
MSG_KON_INN_03	「魔法」については私が説明してやろう。\n聞いてゆくか？
MSG_KON_INN_04	魔法は「白魔法」と「黒魔法」に\n分けられておる。<P>\n「白魔法」は回復や防御、\n「黒魔法」は攻撃の効果を\n持つものが多い。<P>\n「白魔法」と「黒魔法」は、\nそれぞれのＬＶに対して４つずつ存在する。<P>\nただし、覚えることができるのは\nその中の３つまでだ。<P>\n覚えた魔法は、\n「わすれる」コマンドを使って\n忘れることもできる。<P>\n忘れてしまった魔法は\n覚えなおすこともできるぞ。<P>\n自分の戦い方を考えて\n組みあわせを考えるといいだろう。
MSG_KON_INN_05	「アイテム」のことなら私におまかせじゃ！\nせっかくだから、聞いていきな。
MSG_KON_INN_06	「ポーション」や「毒消し」は、\nたくさん持っていてそんはないぞ。<P>\nいつも多めに買っておいたほうが\n魔法の節約にもなる。<P>\n次は、「寝袋」「テント」\n「コテージ」じゃ！<P>\nこの３つはフィールドで使うと\nＨＰ回復とＭＰ回復ができる\nすぐれものじゃ。<P>\nまた「装備」にも、アイテムとして\n使うことができるものもあるのじゃ。<P>\n効果があるかどうかは、\nいろいろ試してみることじゃな。<P>\nアイテムには、この他に旅の途中でもらう\n『大事なもの』がある。<P>\n『大事なもの』の中には、\n重要な場所で使うと\n効果が出るものもあるぞ。
MSG_KON_INN_07	行く手をはばむ魔物について\n聞きたいのか…？
MSG_KON_INN_08	魔物にはいろいろな種類がいて、\nそれぞれに弱点がある…。<P>\n弱点を見つけることで\n有利な戦いができるだろう…。<P>\nたとえば、水辺の魔物は雷に弱い…。\n「サンダー」の魔法ならば、\n大きなダメージを与えられるだろう…。<P>\n「武器」の中にも\n特定の魔物に強いものがあるらしい…。
MSG_KON_CAS_01	私が王妃のジェーンです。\nどうか娘を…\nセーラを無事助け出してください…。
MSG_KON_CAS_02	セーラを助けていただいて…\nなんとお礼を言ってよいか…！
MSG_KON_CAS_03	エーン、エーン…！\n姉…様が…。
MSG_KON_CAS_04	姉様が帰ってきたの！\nお兄ちゃんたちのおかげね！\nありがとう！<P>\nチュッ…！
MSG_KON_CAS_05	王は、伝説の光の戦士を探しておいでだ。<P>\nムッ、そのクリスタルは…！
MSG_KON_CAS_06	私は、コーネリア城の警備という大役を\nおおせつかっています！<P>\n…少し不安ですけどね。
MSG_KON_CAS_07	お妃様は、悲しみのあまり\n部屋に閉じこもったままです…。\nおいたわしや…。
MSG_KON_CAS_08	おお、光の戦士…！\nセーラ様を助け出してくださり、\nありがとうございます！
MSG_KON_CAS_09	お願い！\nセーラ様を助けてあげて！
MSG_KON_CAS_10	光の戦士…なの？\nあのルカーンの予言の？
