SPEAKER_01	???
SPEAKER_02	아스토스
SPEAKER_03	우네
SPEAKER_04	갈란드
SPEAKER_05	코페
SPEAKER_06	사더
SPEAKER_07	제인
SPEAKER_08	스미스
SPEAKER_09	세라
SPEAKER_10	의사
SPEAKER_11	네릭
SPEAKER_12	바하무트
SPEAKER_13	뱀파이어
SPEAKER_14	비케
SPEAKER_15	마토야
SPEAKER_16	루칸
SPEAKER_17	와츠
SPEAKER_18	왕자
SPEAKER_19	국왕
SPEAKER_20	대신
MSG_OP_01	세상은 암흑에 뒤덮여 있다.
MSG_OP_02	바람이 그치고
MSG_OP_07	바다가 거칠어지며
MSG_OP_08	대지는 썩어 간다.
MSG_OP_03	그러나…\n사람들은 하나의 예언을 믿으며\n그것이 이루어지기를 기다리고 있다.
MSG_OP_04	'세상이 암흑으로 물들 때,\n네 명의 빛의 전사가 나타날지니….'
MSG_OP_05	긴 모험 끝에\n네 명의 젊은이가\n이곳에 도달했다.
MSG_OP_06	각자의 손에\n크리스탈을 쥐고….
MSG_KON_CTY_01	여기는 꿈의 도시 '코넬리아'야.
MSG_KON_CTY_02	나는 무희야.\n뭐? 나랑 춤추고 싶다고?\n우후후….
MSG_KON_CTY_03	아직도 있었네?\n다리를 건너서 대륙으로 간다더니.\n그렇게까지 나랑 춤추고 싶었어?\n우후후….
MSG_KON_CTY_04	프라보카는 항구 도시야.\n해적은 '배'를 갖고 있지 않을까?
MSG_KON_CTY_05	마토야는 만나 봤어?\n눈이 안 보이게 돼서 고생인 것 같던데.<P>\n다리를 건너서 북쪽으로 쭉 가면 있는\n동굴에 살고 있다고 하더라.
MSG_KON_CTY_06	서쪽 성에는 가 봤어?<P>\n늪 동굴에 있는 '왕관'으로\n성을 재건할 수 있다는 모양이야.
MSG_KON_CTY_07	서쪽 성의 임금님께\n'왕관'을 갖다 드려.\n그런데, 뭔가 좀 이상하단 말이야.
MSG_KON_CTY_08	마토야는 도둑맞은 '수정의 눈'을\n아직 못 찾았다는 모양이야.
MSG_KON_CTY_09	'각성약'을 사용하면\n엘프 왕자도 눈을 뜨지 않을까?
MSG_KON_CTY_10	'신비한 열쇠'가 있으면\n코넬리아성의 잠긴 방에\n들어갈 수 있다는 소문이 있어.
MSG_KON_CTY_11	네릭이라는 드워프가\n강력한 화약을 찾고 있다고 하던데….\n뭐에 쓰려는 걸까?
MSG_KON_CTY_12	나도 이 이상은 몰라.\n춤이나 추자!
MSG_KON_CTY_13	전사들이여,\n크리스탈에 축복을….
MSG_KON_CTY_14	부탁이야.\n공주님을 구출해 주렴.
MSG_KON_CTY_15	코넬리아를 벗어나서 북쪽으로 가면\n마토야라는 마녀가 있다고 하더구나.
MSG_KON_CTY_16	예언자 루칸 님은\n초승달을 향해 간다며\n이곳을 떠나셨다네.
MSG_KON_CTY_17	행동 범위를 넓히려면\n'배'가 꼭 있어야 하지.<P>\n손에 넣고 싶다면\n해적에게서 빼앗지 그러나?
MSG_KON_CTY_18	'카누'라는 게 있으면\n강을 건널 수 있다고 하더구먼.<P>\n크레센트 레이크의 예언자들이\n그러더라고.
MSG_KON_CTY_19	'하늘을 나는 배'라는 것을\n알고 있나?<P>\n엘프 예언자가 말하는\n'부유석'과 관계가 있는 모양이야.
MSG_KON_CTY_20	자네들, 빛의 전사 치고는\n관록이 좀 부족해 보이는데….\n칭호를 받아 보는 건 어떤가?<P>\n온라크에 있는 드래곤이\n칭호에 대해 잘 안다더군.
MSG_KON_CTY_21	시련의 성에 다녀오긴 한 모양이구먼.\n그런데 용자의 증표는\n아직 손에 넣지 못한 모양이군?
MSG_KON_CTY_22	왜 '쥐 꼬리'를 들고 있나?<P>\n그래도 빈손보다는 나을 테니\n용의 왕을 만나 보는 건 어떤가?
MSG_KON_CTY_23	그런데 이 초승달이라는 게\n진짜 달이 아닐지도 모르겠어.<P>\n크레센트 레이크 주변에 있는\n호수의 모양이 아닐까 싶단 말이네.
MSG_KON_CTY_24	더 알려 줄 수 있는 건 없네.<P>\n크리스탈에 빛이 돌아오면\n새로운 일이 생길지도 모르지.
MSG_KON_CTY_25	전하께서는 빛의 전사가 나타나서\n납치된 공주님을 구출해 올 거라고\n굳게 믿고 계십니다.<P>\n루칸의 예언처럼 말입니다.
MSG_KON_CTY_27	부탁이야.\n세라 공주님을 구해 줘!
MSG_KON_CTY_28	마토야는 눈이 나쁘대.\n'수정의 눈'이 없으면\n아무 것도 안 보인다고 하더라.
MSG_KON_CTY_29	옛날에는 머나먼 동방의\n항구 도시 프라보카에 살았답니다.\n지금은 해적의 아지트가 됐다고 들었지만요.
MSG_KON_CTY_30	우물입니다.\n들어갈 수 있을 것 같아 보이지만\n들어갈 수 없습니다.
MSG_KON_CTY_31	맑은 물에 얼굴을 비춰 보세요.<P>\n어머, 지저분해라!\n어서 이 물로 얼굴을 씻으세요!
MSG_MAP0A01_10	전하께서는\n전설의 빛의 전사를 찾고 계십니다.<P>\n음? 그 크리스탈은…!\n부디 전하를 만나 주십시오!
MSG_KON_INN_01	'장비'에 대해 내가 설명해 주겠네.\n듣고 싶은가?
MSG_KON_INN_02	장비는\n'무기'와 '방어구'로 나뉜다네.<P>\n무기를 장착하면\n공격력을 높일 수 있지.<P>\n방어구는\n'갑옷', '방패', '투구', '팔 보호대'…\n이렇게 네 종류가 있다네.<P>\n팔찌를 포함해서 몸에 걸치는 것은\n갑옷에 해당하지.<P>\n방패는 손에 드는 방어구,\n투구는 머리에 쓰는 방어구라네.<P>\n입수한 무기나 방어구는\n메뉴에서 장착해야 한다는 것을\n잊지 말게.<P>\n메뉴에서 '최강'을 선택하면\n가지고 있는 장비 중에서 가장 강한 것을\n자동으로 선택하여 장착할 수 있다네.
MSG_KON_INN_03	내가 '마법'에 대해 설명해 주지.\n듣겠나?
MSG_KON_INN_04	마법은\n'백마법'과 '흑마법'으로 구분해.<P>\n백마법은 회복과 방어,\n흑마법은 공격 효과가 있는 경우가 많아.<P>\n백마법과 흑마법은\n각 Lv.마다 네 개씩 존재해.<P>\n하지만 그 중 세 개만 익힐 수 있지.<P>\n이미 익힌 마법은\n'잊기' 커맨드로 기억에서 지울 수 있어.<P>\n그렇게 잊은 마법을\n다시 익힐 수도 있지.<P>\n자신의 전투 방식을 고려해서\n어떤 조합이 적합할지\n연구해 보는 게 좋을 게야.
MSG_KON_INN_05	'아이템' 설명은 내게 맡겨 둬!\n이왕 왔으니 듣고 가라.
MSG_KON_INN_06	'포션'이나 '해독제'는\n많이 가지고 다니는 게 좋다.<P>\n항상 넉넉히 사 둬야\n마법도 아낄 수 있지.<P>\n그 다음으로 중요한 건\n'침낭', '텐트', '코티지'이다.<P>\n이 세 가지는 필드에서 사용하면\nHP와 MP를 회복할 수 있는\n유용한 아이템이지.<P>\n그리고 '장비' 중에서도\n아이템으로 쓸 수 있는 게 있다.<P>\n어떤 장비에 그런 효과가 있는지는\n직접 다양하게 시험해 봐라.<P>\n그 외에는 여행 중에 얻을 수 있는\n'귀중품'도 있다.<P>\n귀중품 중에는\n중요한 장소에서 사용하면\n효과를 발휘하는 것도 있지.
MSG_KON_INN_07	앞길을 막아서는\n마물에 대해 듣고 싶나?
MSG_KON_INN_08	다양한 종류의 마물이 존재하고\n각각에게는 약점이 있다네.<P>\n약점을 알아내면\n유리하게 싸울 수 있을 게야.<P>\n예를 들어, 물가의 마물은 번개에 약하지.\n'선더' 마법을 사용하면\n큰 피해를 줄 수 있을 게야.<P>\n'무기' 중에도\n특정한 마물을 상대할 때\n강해지는 것이 있다고 하더군.
MSG_KON_CAS_01	저는 코넬리아의 왕비 제인입니다.\n부디 내 딸을…\n세라를 무사히 구출해 주세요.
MSG_KON_CAS_02	세라를 구해 주셔서 감사합니다.\n이 고마움을 어떻게 표현해야 할지!
MSG_KON_CAS_03	으아앙!\n언니가….
MSG_KON_CAS_04	언니가 돌아왔어!\n당신들 덕분이야!\n고마워!<P>\n쪽!
MSG_KON_CAS_05	전하께서는 전설의 빛의 전사를 찾고 계십니다.<P>\n음? 그 크리스탈은…!
MSG_KON_CAS_06	저는 코넬리아성의 경비라는\n중요한 역할을 맡았습니다!<P>\n…조금 걱정 되긴 합니다만.
MSG_KON_CAS_07	왕비 마마께서는 너무 슬픈 나머지\n방에 틀어박혀 계십니다.\n안타까운 일이지요.
MSG_KON_CAS_08	빛의 전사님!\n세라 공주님을 구해 주셔서\n감사합니다!
MSG_KON_CAS_09	부탁해!\n세라 공주님을 구해 줘!
MSG_KON_CAS_10	당신이… 빛의 전사야?\n루칸의 예언에 나오는?
MSG_KON_CAS_11	갈란드는 한때\n국내 제일가는 나이트였지.<P>\n그러나 힘에 도취한 나머지\n자신이 누구인지 잊고 말았어.
MSG_KON_CAS_12	코넬리아의 공주에게 대대로 전해지는\n아름다운 '류트'에는\n악의 문을 부수는 힘이 있다고 하지.
MSG_KON_CAS_13	우리의 선조는 400년 전에\n이 보물 창고에 무기를 봉인하고\n창고의 열쇠를 엘프 왕자에게 맡겼습니다.<P>\n빛의 전사가 나타나는 그날까지….
MSG_KON_CAS_14	이 보물 창고는 '신비한 열쇠'로\n봉인되어 있습니다.
MSG_KON_CAS_16	때가 왔습니다!\n지금이 바로 그 열쇠로 문을 열 때입니다!<P>\n안에 있는 각종 도구는\n여러분에게 도움이 될 것입니다.
MSG_KON_CAS_17	드디어 빛의 전사들이 나타났군!\n이 순간을 얼마나 기다렸는지 모르겠어.<P>\n갈란드는 완전히 다른 사람이 되었다네.\n부탁일세!\n한시라도 빨리 세라를 구해 주게!
MSG_KON_CAS_18	세라는 언제나 자네들에게\n마음을 쓰고 있다네.
MSG_KON_CAS_20	혹시 이대로 계속 코넬리아에….<P>\n아니, 아무 것도 아니에요.\n여행을 준비하셔야지요.\n크리스탈의 빛을 찾아…!
MSG_KON_CAS_23	공주님을 납치한 갈란드가\n성 북쪽에 있는 카오스 신전으로\n도망쳤다는 첩보가 들어왔습니다.
MSG_KON_CAS_25	마을에 있는 무희는\n다양한 정보를 갖고 있소.<P>\n길을 잃었을 때는\n말을 걸어 보도록 하시오.
MSG_KON_CAS_26	'니트로 화약'을 손에 넣었다.
MSG_EKKEN_01	전하께서는\n전설의 빛의 전사를 찾고 계십니다.<P>\n음? 그 크리스탈은…!\n부디 전하를 만나 주십시오!
MSG_EKKEN_02	여행자여.\n크리스탈을 가지고 있다는 게 사실인가?
MSG_EKKEN_03	일찍이 루칸이 예언했지.\n'세상이 암흑으로 물들 때,\n네 명의 빛의 전사가 나타날지니….'
MSG_EKKEN_04	하오나, 이자들이\n예언에 나오는 빛의 전사라고\n단정할 수는 없습니다.
MSG_EKKEN_05	허나 크리스탈을 지닌 전사가\n지금 눈앞에 있지 않은가.\n우연은 아닐 것이야.<P>\n크리스탈을 지닌 전사여,\n자네들에게 부탁이 있다네.\n공주를 구해 주지 않겠는가?
MSG_EKKEN_06	우리나라의 나이트였던 갈란드가\n세라 공주님을 납치하고는\n코넬리아 국왕의 자리를 요구하고 있소.<P>\n지금은 성 북쪽의 카오스 신전에 있는데,\n우리도 공주님을 구하기 위해\n갖은 수를 써 보았소만….<P>\n그자의 검술은 국내 제일이라서\n웬만한 사람은 맞설 수조차 없지.
MSG_EKKEN_07	그대들은 북쪽 대륙으로 가고자 한다고 들었다네.\n대륙과 연결된 다리가 한참 전에 끊기고\n북쪽으로 가는 길은 막힌 지 오래지.<P>\n세라를 구해 준다면\n답례로 대륙으로 가는 다리를 짓겠네.\n부탁하네, 빛의 전사여!
MSG_HELPSERA_04	공주를 구해 주어 고맙군.\n루칸이 예언했던 빛의 전사는\n자네들이 틀림없어!<P>\n예언의 전문을 알려주도록 하지.<P>\n'세상이 암흑으로 물들 때,\n네 명의 빛의 전사가 나타날지니…'<P>\n'전사들은 빛의 조각을 들고\n어둠의 힘에 휩싸인 네 개의 크리스탈에\n빛을 되찾아 주리라.'<P>\n북쪽 대륙에도 크리스탈이 있다고 들었다네.<P>\n세상에서 마물을 몰아내려면\n크리스탈의 빛을 되찾아야 하네!
MSG_HELPSERA_05	약속한 대로\n북쪽 대륙으로 가는 다리를 놓아 주겠네.<P>\n자네들이 세상에 광명을 되찾아 주기를\n기도하겠네!
MSG_LUTE_01	잠깐만요!
MSG_LUTE_02	이것은 코넬리아의 공주에게\n대대로 전해지는 '류트'입니다.<P>\n갈란드가 저를 납치할 때\n함께 가져갔었지요.<P>\n도움이 될지도 모르니\n이 류트를 가져가세요.
MSG_LUTE_03	'류트'를 손에 넣었다.
MSG_CHS_01	키익 키익….
MSG_CHS_02	네 마리의 카오스에게\n막혀 있던 크리스탈의 빛….<P>\n그 힘은 모두 이 어둠의 크리스탈을 통해\n과거로 보내진 모양입니다.<P>\n아름다운 빛이 검게 뒤틀리는 모습을\n우리는 계속 지켜보고 있었지요.\n악의 근원은 이 앞에 있을 것입니다.
MSG_CHS_03	어둠의 크리스탈이 음산하게 빛나고 있다.\n주변의 공기가 약간 뒤틀린 느낌이 든다.
MSG_CHS_04	잠겨 있다.
MSG_CHS_06	그것은… 우리가 찾아 왔던\n네 개의 빛이로군!\n그것으로 시간의 문을 열 수 있어.<P>\n시간의 문은 2,000년 전의 과거로…\n무한히 반복되는 시간의 굴레의 시작점으로\n데려가 주겠지.
MSG_CHS_08	한가운데에 있는 어둠의 크리스탈을\n네 개의 빛으로 비추어 보세요.<P>\n2,000년 전,\n폐허가 되기 전의 이 신전으로 가는\n시간의 문이 열릴 거예요.
