SPEAKER_01	???
SPEAKER_02	Astos
SPEAKER_03	Unne
SPEAKER_04	Garland
SPEAKER_05	Koppe
SPEAKER_06	Sadda
SPEAKER_07	Jayne
SPEAKER_08	Ferradura
SPEAKER_09	Sarah
SPEAKER_10	Curandeiro
SPEAKER_11	Nerrick
SPEAKER_12	Bahamut
SPEAKER_13	Vampiro
SPEAKER_14	Bikke
SPEAKER_15	Matoya
SPEAKER_16	Lukahn
SPEAKER_17	Watts
SPEAKER_18	Príncipe
SPEAKER_19	Rei
SPEAKER_20	Chanceler
MSG_OP_01	O mundo está mergulhado na escuridão.
MSG_OP_02	Os ventos cessam...
MSG_OP_07	Os mares se revoltam...
MSG_OP_08	A terra se deteriora...
MSG_OP_03	Mas o povo acredita em uma profecia e aguarda pacientemente que ela se torne realidade.
MSG_OP_04	"Quando a escuridão engolir o mundo, quatro Guerreiros da Luz surgirão."
MSG_OP_05	Após uma longa jornada, quatro jovens viajantes finalmente aparecem...
MSG_OP_06	Cada um deles carregando na mão um cristal.
MSG_KON_CTY_01	Esta é Cornélia, a cidade dos sonhos.
MSG_KON_CTY_02	Olá! Sou uma dançarina! Que foi? Querem dançar comigo? Hihi!
MSG_KON_CTY_03	O que ainda estão fazendo aqui?<P>\nNão deveriam cruzar aquela ponte ao norte? Aposto que querem dançar comigo. Hihi!
MSG_KON_CTY_04	Pravoka é uma cidade portuária. Os piratas de lá devem ter um barco.
MSG_KON_CTY_05	Já encontraram a Matoya? Ela tem tido muitos problemas desde que perdeu a visão.<P>\nDizem que ela mora depois da ponte, lá nos cafundós do norte.
MSG_KON_CTY_06	Vocês já foram à Fortaleza Ocidental?<P>\nDizem que a coroa que está na Caverna do Pântano pode restaurar a fortaleza arruinada...
MSG_KON_CTY_07	Ué! Vocês não tinham que levar a coroa para o rei da Fortaleza Ocidental?<P>\nSe bem que, pensando melhor, parece ter alguma coisa estranha por lá...
MSG_KON_CTY_08	O olho de cristal da Matoya foi roubado e ela AINDA não o conseguiu de volta.
MSG_KON_CTY_09	Aposto que vocês poderiam usar o tônico estimulante para acordar o príncipe elfo.
MSG_KON_CTY_10	Dizem que dá pra entrar nos aposentos trancados do Castelo Cornélia se você tiver a chave mística.
MSG_KON_CTY_11	Nerrick, o anão, anda procurando por explosivos poderosos. O que será que ele pretende fazer?
MSG_KON_CTY_12	Não sei mais o que dizer a vocês... Que tal uma dancinha? Se animam?
MSG_KON_CTY_13	Restaurem a glória dos Cristais....
MSG_KON_CTY_14	Por favor... Salvem a princesa.
MSG_KON_CTY_15	Uma bruxa chamada Matoya vive ao norte de Cornélia.
MSG_KON_CTY_16	O sábio Lukahn disse algo sobre encontrar a lua crescente, depois se levantou e saiu da cidade...
MSG_KON_CTY_17	Vocês vão precisar de um navio se quiserem se deslocar com mais liberdade.<P>\nSe tiverem problemas para arranjar um, podem "pegar emprestado" o dos piratas...
MSG_KON_CTY_18	Vocês poderiam atravessar rios se tivessem uma espécie de canoa.<P>\nAcho que ouvi os sábios do Lago Crescente falando sobre isso.
MSG_KON_CTY_19	Aliás, já ouviram falar de uma embarcação capaz de navegar pelos ares?<P>\nA pedraleve, de que falam os sábios elfos, tem algo a ver com isso...
MSG_KON_CTY_20	Só falta uma coisa para que vocês sejam realmente exaltados como Guerreiros da Luz...<P>\nVocê precisam de títulos mais dignos. Já pensaram nisso?<P>\nTem um dragão em Onrac que sabe tudo sobre títulos.
MSG_KON_CTY_21	Quer dizer que vocês já estiveram na Cidadela das Provas, mas ainda não têm o símbolo da coragem?
MSG_KON_CTY_22	Estão carregando uma cauda de rato pra lá e pra cá, é? É, melhor que nada.<P>\nTalvez seja hora de visitar o Rei Dragão.
MSG_KON_CTY_23	Aliás, no fim das contas, o nome "crescente" talvez não tenha nada a ver com a lua.<P>\nPode ser uma referência a uma formação geográfica perto da cidade de Lago Crescente...<P>\nMas, vejam bem, é só um palpite.
MSG_KON_CTY_24	Acho que não tenho mais nada para dizer a vocês no momento.<P>\nRestaurar a luz de um dos Cristais talvez faça algo acontecer... mas quem sabe?
MSG_KON_CTY_25	O rei acredita mesmo na profecia de Lukahn...<P>\nDe que os Guerreiros da Luz virão para salvar a princesa.
MSG_KON_CTY_27	Por favor, resgatem a Lady Sarah!
MSG_KON_CTY_28	Dizem que a Matoya não enxerga direito. Sem o olho de cristal, ela fica cegueta.
MSG_KON_CTY_29	Eu morava a leste daqui, na cidade portuária de Pravoka.<P>\nOuvi falar que ultimamente ela se tornou um covil de piratas.
MSG_KON_CTY_30	É um poço. Parece que dá pra entrar, mas não dá. Sério.
MSG_KON_CTY_31	Vamos dar uma olhada no seu reflexo na água...<P>\nEca! Que imundície! Use isto para se lavar!
MSG_MAP0A01_10	O rei está procurando pelos Guerreiros da Luz da profecia.<P>\nOh! Esses cristais! Apresentem-se ao rei imediatamente!
MSG_KON_INN_01	Será um prazer ensinar tudo que precisam saber sobre equipamentos. Gostariam de ouvir?
MSG_KON_INN_02	Equipamentos dividem-se em duas categorias: armas e armaduras.<P>\nEquipar uma arma aumenta seu poder de ataque.<P>\nHá quatro tipos de armaduras: escudos, elmos, luvas e armaduras corporais.<P>\nQualquer equipamento que você use no corpo, inclusive braceletes, conta como armadura corporal.<P>\nEscudos ocupam uma das mãos, e elmos são usados na cabeça.<P>\nEquipem no menu principal as armas e armaduras encontradas, ou elas serão inúteis.<P>\nSelecione "Otimizar" se quiser equipar automaticamente as melhores armas e armaduras do inventário.
MSG_KON_INN_03	Dizem que eu dou uma excelente aula sobre o uso de magia. Interessados?
MSG_KON_INN_04	Há duas escolas de magia: branca e negra.<P>\nA magia branca é composta de feitiços de cura e defesa, enquanto a magia negra é do tipo ofensiva.<P>\nCada nível de magia branca e negra contém quatro feitiços diferentes.<P>\nPorém, seus personagens só podem aprender três de quatro feitiços de um determinado nível.<P>\nUse o comando "Descartar" se quiser apagar da memória qualquer feitiço que tiver aprendido.<P>\nTambém é possível reaprender uma magia que foi descartada.<P>\nTente escolher uma combinação de feitiços que combine com seu estilo de combate.
MSG_KON_INN_05	Se querem saber sobre itens, estão falando com a pessoa certa! Ouvir não custa nada, certo?
MSG_KON_INN_06	É sempre bom carregar um monte de poções, antídotos e outros itens em suas viagens.<P>\nSe tiver um bom estoque de itens, você poderá conservar sua magia para quando mais precisar.<P>\nAgora vamos falar de sacos de dormir, barracas e cabanas, sim?<P>\nSão itens maravilhosos que permitem restaurar PV e PM, mas só podem ser usados ao ar livre.<P>\nAlém desses itens tradicionais, certos equipamentos também podem ser usados como itens.<P>\nA única forma de saber se um equipamento pode ser usado é tentando, então experimente.<P>\nEm suas viagens, você encontrará itens específicos chamados "itens principais".<P>\nAlguns deles têm um efeito quando usados em um determinado local.
MSG_KON_INN_07	Vocês têm um minutinho para saber mais sobre monstros?
MSG_KON_INN_08	Há vários tipos de monstros, cada um com pontos fracos diferentes.<P>\nDescubra o ponto fraco de um monstro para obter vantagem em combate.<P>\nPor exemplo, monstros aquáticos são vulneráveis a eletricidade.<P>\nInvoque Trovão contra esses monstros para causar um dano bem alto.<P>\nAlgumas armas são mais eficazes contra determinados monstros.
