SPEAKER_01	???
SPEAKER_02	Астос
SPEAKER_03	Унне
SPEAKER_04	Гарланд
SPEAKER_05	Коппе
SPEAKER_06	Садда
SPEAKER_07	Джейн
SPEAKER_08	Смит
SPEAKER_09	Сара
SPEAKER_10	Целитель
SPEAKER_11	Неррик
SPEAKER_12	Бахамут
SPEAKER_13	Вампир
SPEAKER_14	Бикке
SPEAKER_15	Матойя
SPEAKER_16	Лукан
SPEAKER_17	Уоттс
SPEAKER_18	Принц
SPEAKER_19	Король
SPEAKER_20	Советник
MSG_OP_01	Мир окутан тьмой.
MSG_OP_02	Стихли ветра...
MSG_OP_07	Бушуют моря...
MSG_OP_08	Чахнет земля...
MSG_OP_03	Но люди верят в пророчество и смиренно ждут, когда оно исполнится.
MSG_OP_04	«Когда тьма окутает мир, придут четыре Воина Света».
MSG_OP_05	И вот, проделав долгий путь, в город прибыла четверка юных путников...
MSG_OP_06	...и каждый из них сжимал в руке по кристаллу.
MSG_KON_CTY_01	Это Корнелия, город мечты.
MSG_KON_CTY_02	Привет! Я танцовщица! Что? Хотите со мной потанцевать? Хи-хи!
MSG_KON_CTY_03	Почему вы еще здесь?<P>\nВы разве не должны перейти тот мост на севере? Что, так хотите со мной потанцевать? Хи-хи!
MSG_KON_CTY_04	Правока — портовый город. У местных пиратов может быть корабль.
MSG_KON_CTY_05	Вы уже встречали Матойю? С тех пор как она ослепла, ей приходится очень нелегко.<P>\nГоворят, она живет по ту сторону моста, далеко на севере.
MSG_KON_CTY_06	Вы уже были в Западной цитадели?<P>\nГоворят, корона из Пещеры Топи может восстановить разрушенный замок...
MSG_KON_CTY_07	Эй, разве вы не должны отнести корону королю Западной цитадели?<P>\nХотя, если подумать, там и правда творится что-то странное...
MSG_KON_CTY_08	Хрустальное око Матойи украли, и она до сих пор его не вернула.
MSG_KON_CTY_09	С тоником бодрости эльфийский принц живо открыл бы глаза.
MSG_KON_CTY_10	Ходят слухи, что ключ тайн отпирает запертые комнаты замка Корнелия.
MSG_KON_CTY_11	Гном Неррик ищет мощную взрывчатку. Интересно, для чего она ему?
MSG_KON_CTY_12	Не знаю даже, что вам еще сказать... Может, потанцуем?
MSG_KON_CTY_13	Верните кристаллам былую силу...
MSG_KON_CTY_14	Прошу вас... Вы должны спасти принцессу.
MSG_KON_CTY_15	К северу от Корнелии живет ведьма по имени Матойя.
MSG_KON_CTY_16	Мудрец Лукан сказал что-то про поиски полумесяца, а потом ушел из города...
MSG_KON_CTY_17	Если вам нужна свобода передвижения, найдите себе корабль.<P>\nА если вы не можете раздобыть корабль, вы всегда можете... гм... одолжить его у пиратов.
MSG_KON_CTY_18	Через реки можно переправляться с помощью каноэ.<P>\nДа, кажется, мудрецы c Озера Полумесяца говорили что-то в этом духе.
MSG_KON_CTY_19	К слову, вы когда-нибудь слыхали о корабле, который может плавать по воздуху?<P>\nЭто как-то связано с левикамнем, о котором говорили эльфийские мудрецы...
MSG_KON_CTY_20	Чтобы стать по-настоящему величественными Воинами Света, вам не хватает только одного...<P>\nЗвучных титулов. Никогда не думали об этом? В Онраке есть дракон, который очень много знает о титулах.
MSG_KON_CTY_21	Значит, вы побывали в Цитадели Испытаний, но так и не получили знак бесстрашия?
