SPEAKER_01	???
SPEAKER_02	อัสโทส
SPEAKER_03	อูเน่
SPEAKER_04	การ์แลนด์
SPEAKER_05	โคเป้
SPEAKER_06	ซาด้า
SPEAKER_07	เจนย์
SPEAKER_08	สมิท
SPEAKER_09	ซาร่าห์
SPEAKER_10	หมอ
SPEAKER_11	เนอร์ริก
SPEAKER_12	บาฮามุต
SPEAKER_13	แวมไพร์
SPEAKER_14	บิ๊กเก้
SPEAKER_15	มาโตย่า
SPEAKER_16	ลูคาน
SPEAKER_17	วัตส์
SPEAKER_18	เจ้าชาย
SPEAKER_19	พระราชา
SPEAKER_20	ท่านเทศมนตรี
MSG_OP_01	โลกถูกปกคลุมไปด้วยความมืด
MSG_OP_02	สายลมหยุดนิ่ง...
MSG_OP_07	ทะเลบ้าคลั่ง...
MSG_OP_08	ผืนดินเสื่อมสลาย...
MSG_OP_03	แต่เหล่าผู้คนที่เชื่อ\nในคำทำนาย ยังคงเฝ้าคอย\nให้มันกลายเป็นจริง
MSG_OP_04	"เมื่อความมืด\nเข้าครอบงำโลก\nนักรบแห่งแสงทั้งสี่\nจะปรากฏ"
MSG_OP_05	หลังจากการเดินทาง\nอันยาวนาน\nในที่สุดนักเดินทางทั้งสี่\nก็มาถึง...
MSG_OP_06	...และในมือของพวกเขา\nต่างมีผลึกคริสตัล
MSG_KON_CTY_01	ที่นี่คือคอร์เนเลีย\nเมืองแห่งความฝัน
MSG_KON_CTY_02	สวัสดี!\nข้าเป็นนักเต้นรำ! อะไรนะ?\nเจ้าอยากเต้นรำกับข้าเหรอ?\nฮิฮิ!
MSG_KON_CTY_03	ทำไมเจ้ายังอยู่ที่นี่ล่ะ?<P>\nเจ้าควรต้องข้ามสะพาน\nไปทางเหนือแล้วไม่ใช่เหรอ?\nนี่เจ้าอยากเต้นรำกับข้า\nจริงๆสินะ ฮิฮิ!
MSG_KON_CTY_04	ปราโวก้าเป็นเมืองท่า\nพวกโจรสลัดที่นั่น\nคงมีเรือล่ะนะ
MSG_KON_CTY_05	เจ้าได้พบมาโตย่ารึยัง?\nนางลำบากมากตั้งแต่\nสูญเสียการมองเห็น<P>\nว่ากันว่านางอาศัยอยู่\nอีกฝั่งของสะพาน\nไกลออกไปทางเหนือโน่น
MSG_KON_CTY_06	เจ้าเคยไปที่\nปราสาทตะวันตกรึยัง?<P>\nว่ากันว่ามงกุฎจาก\nถ้ำโคลนตมสามารถคืนสภาพ\nปราสาทได้...
MSG_KON_CTY_07	เอ้า!เจ้าต้องเอามงกุฎนั่น\nไปให้พระราชาของ\nปราสาทตะวันตกนี่?<P>\nแต่ดูเหมือนจะมีอะไรแปลก ๆ\nเกิดขึ้นที่นั่นนะ...
MSG_KON_CTY_08	ดวงตาผลึกของมาโตย่า\nถูกขโมยไปและนางยัง\nไม่ได้มันคืน
MSG_KON_CTY_09	ข้าว่าเจ้าสามารถใช้\nยาคืนสติปลุกเจ้าชายเอลฟ์\nได้นะ
MSG_KON_CTY_10	ลือกันว่าถ้ามีกุญแจลับ\nก็สามารถเข้าไปในห้อง\nที่ปิดล็อกในปราสาท\nคอร์เนเลียได้
MSG_KON_CTY_11	คนแคระชื่อเนอร์ริกกำลัง\nตามหาระเบิดอานุภาพสูงอยู่\nสงสัยจังว่าเขาจะเอาไป\nใช้ทำอะไร?
MSG_KON_CTY_12	ข้าไม่รู้จะบอกอะไร\nเจ้าได้อีก...\nมาเต้นรำกันมั้ย? ว่าไง?
MSG_KON_CTY_13	จงนำแสงสว่างกลับมาสู่\nผลึกคริสตัล...
MSG_KON_CTY_14	ได้โปรด...\nช่วยเจ้าหญิงด้วย
MSG_KON_CTY_15	แม่มดที่ชื่อมาโตย่าอาศัย\nอยู่ทางเหนือของคอร์เนเลีย
MSG_KON_CTY_16	ท่านนักปราชญ์ลูคาน\nพูดบางอย่างเกี่ยวกับการ\nตามหาพระจันทร์เสี้ยว\nแล้วก็ออกจากเมืองไป...
MSG_KON_CTY_17	ถ้าอยากเดินทางไกลออกไป\nก็จำเป็นต้องใช้เรือ<P>\nแต่ถ้าหาเรือไม่ได้\nก็ขอ"ยืม"เรือโจรสลัดได้นะ
MSG_KON_CTY_18	ถ้ามีเรือแคนูก็จะสามารถ\nข้ามแม่น้ำไปได้<P>\nใช่ ข้าเคยได้ยินนักปราชญ์\nจากทะเลสาปจันทร์เสี้ยว\nพูดอย่างงั้นนะ
MSG_KON_CTY_19	ว่าแต่เจ้าเคยได้ยินเรื่อง\nเรือที่บินได้รึเปล่า?<P>\nเลวี่สโตนที่นักปราชญ์เอลฟ์\nพูดถึงมีส่วนเกี่ยวข้องด้วยล่ะ...
