SPEAKER_01	？？？
SPEAKER_02	阿斯托斯
SPEAKER_03	乌内
SPEAKER_04	加兰德
SPEAKER_05	可佩
SPEAKER_06	萨达
SPEAKER_07	杰茵
SPEAKER_08	史密斯
SPEAKER_09	莎拉
SPEAKER_10	医生
SPEAKER_11	内里克
SPEAKER_12	巴哈姆特
SPEAKER_13	吸血鬼
SPEAKER_14	比凯
SPEAKER_15	玛托雅
SPEAKER_16	鲁卡恩
SPEAKER_17	沃茨
SPEAKER_18	王子
SPEAKER_19	国王
SPEAKER_20	大臣
MSG_OP_01	整个世界都被黑暗所笼罩
MSG_OP_02	风静止了
MSG_OP_07	海干涸了
MSG_OP_08	大地也正在腐坏
MSG_OP_03	不过……\n人们还坚信着某个预言\n并一直在等待其成为现实
MSG_OP_04	“当世界被黑暗侵染之时\n４位光之战士将会现身于世”
MSG_OP_05	在漫长的冒险之后\n有４名年轻人\n来到了这片土地
MSG_OP_06	他们每个人的手中\n都紧握着一块水晶
MSG_KON_CTY_01	这里是梦之都科内利亚哟。
MSG_KON_CTY_02	我是个舞女！\n哎？你想和我一起跳舞？\n呵呵……
MSG_KON_CTY_03	哎，你还在啊？\n你要过了桥到大陆去吧？\n那么想和我跳舞啊，呵呵……
MSG_KON_CTY_04	普拉博卡是小港口镇哦。\n海盗可能会有“船”吧。
MSG_KON_CTY_05	见到玛托雅了吗？\n听说她眼睛看不到了，正在发愁呢……\n都说她住在过桥后一直向北的一个洞穴里。
MSG_KON_CTY_06	已经去过西城了吗？\n都说只要有了沼泽洞穴里的“王冠”的话，\n就可以再建城堡了。
MSG_KON_CTY_07	哎呀，你不把“王冠”送到西城的\n国王那里是不行的啊。\n不过……总觉得哪儿不太对劲。
MSG_KON_CTY_08	听说玛托雅的“水晶眼”被偷后\n一直都没有找到呢。
MSG_KON_CTY_09	如果使用“苏醒药”的话，\n应该能唤醒精灵王子吧。
MSG_KON_CTY_10	传闻说只要有了“神秘钥匙”\n就能进科内利亚城被锁住的屋子了。
MSG_KON_CTY_11	矮人族的内里克在\n寻找强力火药。\n是要干什么用的呢？
MSG_KON_CTY_12	我啊已经什么都不知道了。\n好啦，来跳舞吧！
MSG_KON_CTY_13	战士们啊，\n愿水晶祝福你们……
MSG_KON_CTY_14	求求你们，\n请救出公主大人吧！
MSG_KON_CTY_15	出了科内利亚向北的地方，\n似乎住着一个叫做玛托雅的魔女。
MSG_KON_CTY_16	预言家鲁卡恩大人他\n说着以新月为目的地\n就离开这个镇了……
MSG_KON_CTY_17	想要扩大行动范围的话，\n“船”是必要而不可少的。<P>\n要是搞不到“船”的话，\n不如从海盗那里借。
MSG_KON_CTY_18	要是有像是“独木舟”之类的东西，\n应该就可以过河了。\n新月湖的预言家们曾这么说过……
MSG_KON_CTY_19	顺便，\n你知道“能在天上飞的船”吗？<P>\n听说和精灵的预言家说的\n浮游石有关系。
MSG_KON_CTY_20	你们光之战士\n现在没什么派头啊……\n去试着获得些称号如何？<P>\n恩拉克镇的龙似乎\n对称号知道的挺多的。
MSG_KON_CTY_21	看来去过试炼城了呐。\n不过看起来还没拿到勇者之证呐。
MSG_KON_CTY_22	咋啦？\n咋拿个“鼠尾巴”……<P>\n呃，比啥也没有要强，\n去见见龙王咋样？
MSG_KON_CTY_23	顺便，\n我想新月不是真的月亮……<P>\n凭直觉来说，\n新月湖是因为湖的形状\n而得名的吧……
MSG_KON_CTY_24	已经没什么可以告诉你了。<P>\n要是水晶重现光辉，\n说不定会发生什么\n新的事情吧……
MSG_KON_CTY_25	国王坚信着光之战士会出现\n将被拐的公主救回来。\n就像预言家鲁卡恩说的那样……
MSG_KON_CTY_27	求求你，\n请救出莎拉大人吧！
MSG_KON_CTY_28	人们说玛托雅眼睛不好。\n要是没“水晶眼”什么都看不见。
MSG_KON_CTY_29	我以前住在遥远的东边\n一个叫普拉博卡的港口镇。\n现在听说变成海盗的黑窝了……
MSG_KON_CTY_30	这是口井。\n看上去能进，实际上却进不去的井。
MSG_KON_CTY_31	看看清水中照出来的脸吧……<P>\n哇！好脏！\n快用水洗洗！洗洗！
MSG_MAP0A01_10	国王一直在寻找着传说中的光之战士。<P>\n唔，那个水晶！\n请去见我们的国王陛下！
MSG_KON_INN_01	老朽教教你关于“装备”的事吧。\n想听吗？
MSG_KON_INN_02	装备分为“武器”和\n“防具”两个种类。<P>\n装备“武器”的话，\n攻击力就会上升。<P>\n而“防具”分为“铠甲”、“盾牌”、\n“头盔”和“护手”４种类。<P>\n身上穿的还有“手镯”\n都算是“铠甲”。<P>\n手持的是“盾牌”，\n头戴的叫“头盔”。<P>\n得到的“武器”以及“防具”\n如果不打开“菜单”去装备的话，\n是没意义的。要注意啊。<P>\n选择“最强装备”时，\n会从你现有的装备中\n自动装备上最强的。
MSG_KON_INN_03	我来给你说明下“魔法”吧。\n想听吗？
MSG_KON_INN_04	魔法分为\n“白魔法”与“黑魔法”。<P>\n“白魔法”是恢复与防御；\n而“黑魔法”中有攻击效果的\n较多。<P>\n“白魔法”与“黑魔法”中\n每个等级都有４种。<P>\n但是其中只能学习三个。<P>\n学习过的魔法如果使用\n“遗忘”指令的话\n也可以忘记。<P>\n被遗忘的“魔法”也能\n重新学习。<P>\n最好是根据自己的战斗方法\n去考虑怎么样使用组合。
MSG_KON_INN_05	“道具”的问题就\n交给我吧！\n毕竟难得，你听一下吧。
MSG_KON_INN_06	身上多带些“恢复药”\n和“解毒药”是没损失的。<P>\n经常多买点的话也可以\n节约魔法的使用。<P>\n下面是“睡袋”、“帐篷”\n和“小屋”！<P>\n这３个都是在大地图上使用后\n就能恢复ＨＰ与ＭＰ的\n好东西。<P>\n并且在“装备”中也有可\n作为道具来使用的物品。<P>\n究竟有没有效果就需要\n你多加尝试了。<P>\n道具中也有一些其他\n你将会在旅途中得到的\n“贵重品”。<P>\n有些“贵重品”在重要的场所\n使用也会产生效果。
MSG_KON_INN_07	要听听关于阻挡你前进的\n魔物的事吗？
MSG_KON_INN_08	魔物有着许多种类\n也有着各自的弱点……<P>\n找到弱点的话\n对战斗是会有利的……<P>\n比如说，水边的魔物会怕雷……\n如果有魔法“闪雷”的话\n就能造成很大的伤害……<P>\n“武器”中也有一些是\n克制特定魔物的。
MSG_KON_CAS_01	我是杰茵王妃。\n请一定要将我的女儿……莎拉\n平安救出来……
MSG_KON_CAS_02	多亏你们救出了莎拉……\n我该如何表达我的谢意呢……
MSG_KON_CAS_03	呜呜……呜呜……\n我要姐姐……
MSG_KON_CAS_04	姐姐回来啦！\n是大哥哥们把姐姐救回来的吧！\n谢谢大哥哥！<P>\n啵！
MSG_KON_CAS_05	国王在寻找传说中的光之战士。<P>\n嗯？那块水晶难道是？
MSG_KON_CAS_06	我是奉命把守\n科内利亚城的守卫！<P>\n说实话……我感到很紧张……
MSG_KON_CAS_07	王妃殿下因为过于悲伤\n一直待在房间里不肯出来……\n真是太可怜了……
MSG_KON_CAS_08	啊、光之战士们！\n真是非常感谢你们\n救出了莎拉殿下！
MSG_KON_CAS_09	求你了！\n请救救莎拉殿下吧！
MSG_KON_CAS_10	你们是……光之战士？\n就是那鲁卡恩预言中提到的战士？
MSG_KON_CAS_11	过去，加兰德曾经是\n全国第一的骑士。<P>\n然而他过于追求力量\n最终迷失了自我……
MSG_KON_CAS_12	这竖琴由科内利亚的公主们\n代代相传，它有着能够打开\n恶魔之门的力量。
MSG_KON_CAS_13	我们的祖先在４００年前\n将武器封印在了这个宝物库里。\n并将开门的钥匙交给了\n精灵一族的王子保管。<P>\n只有光之战士出现之时才会……
MSG_KON_CAS_14	这个宝物库被\n“神秘钥匙”所封印住了。
MSG_KON_CAS_16	使用这把钥匙开启宝物库\n的时刻终于来到了！<P>\n这里保存着的道具一定\n会对你们有所帮助。
MSG_KON_CAS_17	光之战士们终于出现了！\n我一直在等待这一天。<P>\n加兰德已经不是我所认识的那个人了……\n拜托了！\n尽快救出莎拉吧！
MSG_KON_CAS_18	莎拉好像一直\n很关心你。
MSG_KON_CAS_20	可以的话……\n请一直在科内利亚……<P>\n不……没什么。<P>\n快准备上路吧……\n取回水晶的光芒！
MSG_KON_CAS_23	有情报说\n加兰德掳走莎拉殿下\n逃到了城北方向的混沌神殿里……
MSG_KON_CAS_25	镇上的舞女\n知道很多情报。<P>\n没有目标的时候\n可以去打听一些消息。
MSG_KON_CAS_26	得到了“黑火药”。
MSG_EKKEN_01	国王正在寻找传说中的光之战士。<P>\n嗯？那块水晶！\n请马上去见我们的国王！
MSG_EKKEN_02	旅行者啊，据说\n你们身上带着水晶，\n这是真的吗？
MSG_EKKEN_03	鲁卡恩的预言……\n“当世界被黑暗侵染之时\n４位光之战士将会现身于世”
MSG_EKKEN_04	但是，我们还没法\n肯定这些人是否就是\n预言中的光之战士。
MSG_EKKEN_05	不过，持有水晶的战士\n就站在我们面前……\n我不认为这是偶然。<P>\n带有水晶的战士们啊，\n我有一个请求……\n你们能救出我的女儿吗？
MSG_EKKEN_06	原本是我国骑士的加兰德将莎拉公主掳走了，\n并要求国王将科内利亚的王位交给他……<P>\n他现在就潜藏在北方的混沌神殿里。\n虽然我们为了救出公主已经用尽了各种方法……\n但是那家伙是我国剑法第一的骑士……\n没有人是他的对手。
MSG_EKKEN_07	听说你们要前往北方大陆。\n不过通向那边的大桥很久之前就损坏了，\n通向北方的道路也因此中断。　<P>\n如果你们能够救出莎拉的话，\n我可以将桥修好来作为谢礼。\n拜托你们了，光之战士们！
MSG_HELPSERA_04	万分感谢你们救出了我的女儿……\n不会错了，你们一定是\n鲁卡恩预言中所提到的光之战士！<P>\n我来告诉你们预言的全部内容吧……<P>\n“当世界被黑暗侵染之时\n４位光之战士将会现身于世<P>\n战士们带有光之碎片\n并令被黑暗之力所笼罩的\n４颗水晶再度散发出光辉。”<P>\n听闻在北方大陆也有水晶的传说。\n想要将世界上所有的魔物都消灭的话，\n就必须取回水晶的光辉！
MSG_HELPSERA_05	我会按照约定将通往北方大陆的桥修好。\n祝你们能够取回４颗水晶，\n令水晶的光辉再度照耀这个世界！
MSG_LUTE_01	请等一下！
MSG_LUTE_02	这是科内利亚王国的公主\n代代相传的“竖琴”。<P>\n加兰德挟持我的时候，\n也将这把“竖琴”带走了。\n我想它可能会派上什么用场。\n请你们带走吧。
MSG_LUTE_03	得到了“竖琴”。
MSG_CHS_01	吱……吱……
MSG_CHS_02	水晶的光辉被４只混沌所遮断。\n所有的力量都通过黑暗水晶\n被传送到了过去。<P>\n我们看到美丽的光逐渐变黑、扭曲。\n邪恶的源头想必就在这前方吧。
MSG_CHS_03	黑暗水晶\n令人恐惧地闪耀着。\n能感觉到一些空气的扭曲。
MSG_CHS_04	门上着锁。
MSG_CHS_06	那个……\n不正是我们一直在追寻的４种光辉吗！\n那光芒将会打开时间之门！<P>\n大门将回到２０００年前的过去……\n将引导你们前往无限的\n时间轮回的初始！
MSG_CHS_08	４种光辉照耀着中心的黑暗水晶！\n通往２０００年前的……\n崩坏之前的这个神殿的时间之门即将开启！
MSG_CHS_10	我们是天空人……\n为了探寻世界灭亡的原因而来到这个神殿……\n已经是４００年前的事了……
MSG_CHS_12	因为卡奥斯的诅咒，\n我们变成了这个样子，\n也失去了说话的能力……<P>\n因为水晶的光辉\n我们才得以重新开口说话。
MSG_CHS_14	这个大门被“神秘钥匙”\n所封印着……
MSG_FUSION_01	火、土、水、风……\n４颗闪耀的水晶聚集在\n黑暗水晶上……<P>\n时间之流翻涌而来，\n空间开始扭曲！<P>\n好了……向前踏一步\n就会超越时空\n回到２０００年前！
MSG_HELPSERA_01	国王除了用王国来交换\n他的女儿之外别无他法，\n科内利亚就要归我了……
MSG_HELPSERA_02	你们是什么人？<P>\n原来如此……国王的人么……\n但是你们知道我是谁吗？<P>\n我乃是加兰德，骑士之中的骑士，\n你们能胜过我手中的剑吗！
MSG_HELPSERA_03	是你们……\n救了我吧……<P>\n我是科内利亚王国的莎拉公主……\n真不知道如何感谢你们才好。<P>\n我还是第一次看到有人\n能够打败加兰德……<P>\n请一定要让我回报您。\n请和我一起回科内利亚城吧。
MSG_LAST_01	还记得吗？\n被称为科内利亚国\n首席骑士的我……
MSG_LAST_02	我是在２０００年后的未来……\n被你们打倒的加兰德！
MSG_LAST_03	确实那个时候\n我被打倒了……<P>\n但是那时４种力量救了我。\n我进行了时空穿越！
MSG_LAST_04	来到这里之后\n我向未来送去了４只混沌。
MSG_LAST_05	这样，未来的我\n在临死前便会被４种力量所救，\n再次回到这里！
MSG_LAST_06	这２０００年中\n我不会留下任何记忆。
MSG_LAST_07	但是我还会回到这里！\n你们将在这里永久地死去……\n而我将永久地活下去……<P>\n在这个我所创造的……\n无限的轮回之中……
MSG_BRIDGE_01	这是国王的旨意。\n为鲁卡恩的预言而效力！
MSG_BRIDGE_02	这座桥和预言有关系吗？
MSG_BRIDGE_03	４位光之战士出现了！\n就在这里……\n在科内利亚出现了！
MSG_PRL_01	于是……\n探求之旅开始了\n\n４个年轻人虽为光之战士\n\n却也对自己所承受的重大使命\n及即将到来的未知的命运\n感到不知所措\n\n４个年轻人\n所持的不明其深意的\n４颗水晶……\n\n远古时曾\n宿有巨大的光辉\n\n来、踏上旅程\n\n将覆盖世界的黑暗一扫而空\n\n让光辉\n再现世中
MSG_SHIP_01	敢反抗我海盗比凯大人\n你们胆子还真不小啊。\n小的们！干掉他们！
MSG_SHIP_02	是！\n打得他妈都认不出来他！
MSG_SHIP_03	对不起……都是我的错。\n我再也不敢干坏事了！<P>\n我把“船”送给你们！\n请饶过我吧！
MSG_SHIP_04	得到了“船”。
MSG_PBK_01	请帮帮我们！
MSG_PBK_02	阿尔迪海里有很多怪物。\n请一定要小心！
MSG_PBK_03	可恶……\n那群该死的海盗！\n就好像镇子是他们的一样\n把这里闹得天翻地覆的！
MSG_PBK_04	北方地区好像没有港口了。\n“船”无法在没有港口的海岸停靠。
MSG_PBK_05	我已经改头换面了。\n我想要认真工作，\n成为镇上最勤劳的人。<P>\n你……相信我吗？
MSG_PBK_06	多亏了你们，\n我们再也不用担心海盗了。\n实在是太感谢了。
MSG_PBK_07	据说在海的对面，\n是精灵们居住的地方！\n不过呢……他们的王子……\n好像一直沉睡不醒……
MSG_PBK_08	我是从遥远的西方小镇\n梅尔蒙德镇逃到这里来的……<P>\n那里的情况实在是太惨了……\n大地腐坏，夜晚还有怪物出没！<P>\n你们能帮忙做些什么吗？
MSG_PBK_09	你们想干什么？\n难道你们想要反抗\n海盗比凯的人吗？
MSG_ELF_CAS_01	我们的王子被阿斯托斯所诅咒，\n一直在沉睡。<P>\n求求你们！\n能帮帮我们的王子吗？
MSG_ELF_CAS_02	西方的洞窟里好像有恶魔在活动……\n好像大地开始腐坏就是它干的好事。
MSG_ELF_CAS_04	精灵们负责保管钥匙。\n当光之战士来临之时，\n我们会将钥匙交付给他们。
MSG_ELF_CAS_05	我曾经听说过一个魔女的传闻，\n据说她能够制作任何药剂。<P>\n名字呢……\n好像是叫玛托雅吧……
MSG_ELF_CAS_06	那是“苏醒药”！\n用这种药我们的王子就能\n从沉眠中苏醒过来了！
MSG_ELF_CAS_07	黑暗精灵之王阿斯托斯\n突然出现在这座城里，<P>\n施加令王子陷入沉睡的诅咒之后\n带着城里的财宝离开了！
MSG_ELF_CAS_08	王子醒过来了！\n太感谢你们了！
MSG_ELF_CAS_09	阿尔迪海西侧，\n在桥附近的洞窟里，\n有一群矮人在那里生活。\n他们都是些很不错的家伙！
MSG_ELF_CAS_10	这个宝物库\n被“神秘钥匙”所封印着。
MSG_ELF_CAS_11	王子被阿斯托斯所诅咒，\n已经沉睡了５年了……<P>\n不知道在什么地方才能找到\n能够解开诅咒的药……
