SPEAKER_01	？？？
SPEAKER_02	阿斯托斯
SPEAKER_03	烏內
SPEAKER_04	加蘭德
SPEAKER_05	可佩
SPEAKER_06	薩達
SPEAKER_07	傑茵
SPEAKER_08	史密斯
SPEAKER_09	莎拉
SPEAKER_10	醫生
SPEAKER_11	內里克
SPEAKER_12	巴哈姆特
SPEAKER_13	吸血鬼
SPEAKER_14	比凱
SPEAKER_15	瑪托雅
SPEAKER_16	魯卡恩
SPEAKER_17	沃茨
SPEAKER_18	王子
SPEAKER_19	國王
SPEAKER_20	大臣
MSG_OP_01	整個世界都被黑暗所籠罩
MSG_OP_02	風靜止了
MSG_OP_07	海乾涸了
MSG_OP_08	大地也正在腐壞
MSG_OP_03	不過……\n人們還堅信著某個預言\n並一直在等待其成為現實
MSG_OP_04	「當世界被黑暗侵染之時\n４位光之戰士將會現身於世」
MSG_OP_05	在漫長的冒險之後\n有４名年輕人\n來到了這片土地
MSG_OP_06	他們每個人的手中\n都緊握著一塊水晶
MSG_KON_CTY_01	這裡是夢之都科內利亞喲。
MSG_KON_CTY_02	我是个舞女！\n哎？你想和我一起跳舞？\n呵呵……
MSG_KON_CTY_03	哎，你還在啊？\n你要過了橋到大陸去吧？\n那麼想和我跳舞啊，呵呵……
MSG_KON_CTY_04	普拉博卡是小港口鎮哦。\n海盜可能會有「船」吧。
MSG_KON_CTY_05	見到瑪托雅了嗎？\n聽說她眼睛看不到了，正在發愁呢……\n都說她住在過橋後一直向北的一個洞穴裡。
MSG_KON_CTY_06	已經去過西城了嗎？\n都說只要有了沼澤洞穴裡的「王冠」的話，\n就可以再建城堡了。
MSG_KON_CTY_07	哎呀，你不把「王冠」送到西城的\n國王那裡是不行的啊。\n不過……總覺得哪裡不太對勁。
MSG_KON_CTY_08	聽說瑪托雅的「水晶眼」被偷後\n一直都沒有找到呢。
MSG_KON_CTY_09	如果使用「蘇醒藥」的話，\n應該能喚醒精靈王子吧。
MSG_KON_CTY_10	傳聞說只要有了「神秘鑰匙」\n就能進科內利亞城被鎖住的屋子了。
MSG_KON_CTY_11	矮人族的內里克在\n尋找強力火藥。\n是要幹什麼用的呢？
MSG_KON_CTY_12	我啊已經什麼都不知道了。\n好啦，來跳舞吧！
MSG_KON_CTY_13	戰士們啊，\n願水晶祝福你們……
MSG_KON_CTY_14	求求你們，\n請救出公主大人吧！
MSG_KON_CTY_15	出了科內利亞向北的地方，\n似乎住著一個叫做瑪托雅的魔女。
MSG_KON_CTY_16	預言家魯卡恩大人他\n說著以新月為目的地\n就離開這個鎮了……
MSG_KON_CTY_17	想要擴大行動範圍的話，\n「船」是必要而不可少的。<P>\n要是搞不到「船」的話，\n不如從海盜那裡借。
MSG_KON_CTY_18	要是有像是「獨木舟」之類的東西，\n應該就可以過河了。\n新月湖的預言家們曾這麼說過……
MSG_KON_CTY_19	順便，\n你知道「能在天上飛的船」嗎？<P>\n聽說和精靈的預言家說的\n浮游石有關係。
