MSG_JOB_NAME_01	Krieger
MSG_JOB_NAME_02	Dieb
MSG_JOB_NAME_03	Novize
MSG_JOB_NAME_04	Rotmagier
MSG_JOB_NAME_05	Heiler
MSG_JOB_NAME_06	Schwarzmagier
MSG_JOB_NAME_07	Ritter
MSG_JOB_NAME_08	Ninja
MSG_JOB_NAME_09	Adept
MSG_JOB_NAME_10	Rotmagus
MSG_JOB_NAME_11	Priester
MSG_JOB_NAME_12	Schwarzmagus
MSG_JOB_INF_01	Ein erfahrener Kämpfer, der gekonnt mit Schilden und Waffen umgeht.
MSG_JOB_INF_02	Leichtfüßig und flink verwirrt der Dieb jeden Gegner.
MSG_JOB_INF_03	Der waffenlose Kampf ist sein Metier.
MSG_JOB_INF_04	Der Rotmagier beherrscht die schwarze und auch die weiße Magie.
MSG_JOB_INF_05	Mit Weißmagie unterstützt der Heiler seine Gefährten.
MSG_JOB_INF_06	Die Zauber des Schwarzmagiers richten großen Schaden an.
MSG_MAGIC_NAME_01	<IC_WMGC>Vita
MSG_MAGIC_NAME_02	<IC_WMGC>Dialux
MSG_MAGIC_NAME_03	<IC_WMGC>Protes
MSG_MAGIC_NAME_04	<IC_WMGC>Blink
MSG_MAGIC_NAME_05	<IC_WMGC>Licht
MSG_MAGIC_NAME_06	<IC_WMGC>Silentium
MSG_MAGIC_NAME_07	<IC_WMGC>Exblitz
MSG_MAGIC_NAME_08	<IC_WMGC>Invis
MSG_MAGIC_NAME_09	<IC_WMGC>Vitra
MSG_MAGIC_NAME_10	<IC_WMGC>Adia
MSG_MAGIC_NAME_11	<IC_WMGC>Exfeu
MSG_MAGIC_NAME_12	<IC_WMGC>Heilung
MSG_MAGIC_NAME_13	<IC_WMGC>Antidot
MSG_MAGIC_NAME_14	<IC_WMGC>Angst
MSG_MAGIC_NAME_15	<IC_WMGC>Exeis
MSG_MAGIC_NAME_16	<IC_WMGC>Exsilent
MSG_MAGIC_NAME_17	<IC_WMGC>Vitra
MSG_MAGIC_NAME_18	<IC_WMGC>Engel
MSG_MAGIC_NAME_19	<IC_WMGC>Dadia
MSG_MAGIC_NAME_20	<IC_WMGC>Heilra
MSG_MAGIC_NAME_21	<IC_WMGC>Perseus
MSG_MAGIC_NAME_22	<IC_WMGC>Beamo
MSG_MAGIC_NAME_23	<IC_WMGC>Protega
MSG_MAGIC_NAME_24	<IC_WMGC>Invisra
MSG_MAGIC_NAME_25	<IC_WMGC>Vigra
MSG_MAGIC_NAME_26	<IC_WMGC>Gadia
MSG_MAGIC_NAME_27	<IC_WMGC>Extot
MSG_MAGIC_NAME_28	<IC_WMGC>Heilga
MSG_MAGIC_NAME_29	<IC_WMGC>Erzengel
MSG_MAGIC_NAME_30	<IC_WMGC>Sanctus
MSG_MAGIC_NAME_31	<IC_WMGC>Exall
MSG_MAGIC_NAME_32	<IC_WMGC>Anti-Z
MSG_MAGIC_NAME_33	<IC_BMGC>Feuer
MSG_MAGIC_NAME_34	<IC_BMGC>Schlaf
MSG_MAGIC_NAME_35	<IC_BMGC>Fokus
MSG_MAGIC_NAME_36	<IC_BMGC>Blitz
MSG_MAGIC_NAME_37	<IC_BMGC>Eis
MSG_MAGIC_NAME_38	<IC_BMGC>Nacht
MSG_MAGIC_NAME_39	<IC_BMGC>Mumm
MSG_MAGIC_NAME_40	<IC_BMGC>Gemach
MSG_MAGIC_NAME_41	<IC_BMGC>Feura
MSG_MAGIC_NAME_42	<IC_BMGC>Fessel
MSG_MAGIC_NAME_43	<IC_BMGC>Blitzra
MSG_MAGIC_NAME_44	<IC_BMGC>Fokura
MSG_MAGIC_NAME_45	<IC_BMGC>Schlafra
MSG_MAGIC_NAME_46	<IC_BMGC>Hast
MSG_MAGIC_NAME_47	<IC_BMGC>Irrsinn
