MSG_JOB_NAME_01	Guerrero
MSG_JOB_NAME_02	Ladrón
MSG_JOB_NAME_03	Monje
MSG_JOB_NAME_04	Mago rojo
MSG_JOB_NAME_05	Maga blanca
MSG_JOB_NAME_06	Mago negro
MSG_JOB_NAME_07	Caballero
MSG_JOB_NAME_08	Ninja
MSG_JOB_NAME_09	Maestro
MSG_JOB_NAME_10	Brujo rojo
MSG_JOB_NAME_11	Bruja blanca
MSG_JOB_NAME_12	Brujo negro
MSG_JOB_INF_01	Sabe usar una gran variedad de armas y armaduras.
MSG_JOB_INF_02	Desespera al enemigo con su agilidad.
MSG_JOB_INF_03	Especialista en ataques a puño limpio.
MSG_JOB_INF_04	Experto en magia blanca y en magia negra.
MSG_JOB_INF_05	Da apoyo en combate con magia blanca.
MSG_JOB_INF_06	Causa daños al enemigo con magia negra.
MSG_MAGIC_NAME_01	<IC_WMGC>Cura
MSG_MAGIC_NAME_02	<IC_WMGC>Día
MSG_MAGIC_NAME_03	<IC_WMGC>Coraza
MSG_MAGIC_NAME_04	<IC_WMGC>Señuelo
MSG_MAGIC_NAME_05	<IC_WMGC>Luz
MSG_MAGIC_NAME_06	<IC_WMGC>Mutis
MSG_MAGIC_NAME_07	<IC_WMGC>AntiRayo
MSG_MAGIC_NAME_08	<IC_WMGC>Invis
MSG_MAGIC_NAME_09	<IC_WMGC>Cura+
MSG_MAGIC_NAME_10	<IC_WMGC>Día+
MSG_MAGIC_NAME_11	<IC_WMGC>AntiPiro
MSG_MAGIC_NAME_12	<IC_WMGC>Sanación
MSG_MAGIC_NAME_13	<IC_WMGC>Pura
MSG_MAGIC_NAME_14	<IC_WMGC>Miedo
MSG_MAGIC_NAME_15	<IC_WMGC>AntiHielo
MSG_MAGIC_NAME_16	<IC_WMGC>Voz
MSG_MAGIC_NAME_17	<IC_WMGC>Cura++
MSG_MAGIC_NAME_18	<IC_WMGC>Lázaro
MSG_MAGIC_NAME_19	<IC_WMGC>Día++
MSG_MAGIC_NAME_20	<IC_WMGC>Sanación+
MSG_MAGIC_NAME_21	<IC_WMGC>Relax
MSG_MAGIC_NAME_22	<IC_WMGC>Televiaje+
MSG_MAGIC_NAME_23	<IC_WMGC>Coraza+
MSG_MAGIC_NAME_24	<IC_WMGC>Invis+
MSG_MAGIC_NAME_25	<IC_WMGC>Cura+++
MSG_MAGIC_NAME_26	<IC_WMGC>Día+++
MSG_MAGIC_NAME_27	<IC_WMGC>Amparo
MSG_MAGIC_NAME_28	<IC_WMGC>Sanación++
MSG_MAGIC_NAME_29	<IC_WMGC>Lázaro+
MSG_MAGIC_NAME_30	<IC_WMGC>Sanctus
MSG_MAGIC_NAME_31	<IC_WMGC>Antitodo
MSG_MAGIC_NAME_32	<IC_WMGC>Antimagia
MSG_MAGIC_NAME_33	<IC_BMGC>Piro
MSG_MAGIC_NAME_34	<IC_BMGC>Morfeo
MSG_MAGIC_NAME_35	<IC_BMGC>Carnaza
MSG_MAGIC_NAME_36	<IC_BMGC>Electro
MSG_MAGIC_NAME_37	<IC_BMGC>Hielo
MSG_MAGIC_NAME_38	<IC_BMGC>Negror
MSG_MAGIC_NAME_39	<IC_BMGC>Temple
MSG_MAGIC_NAME_40	<IC_BMGC>Freno
MSG_MAGIC_NAME_41	<IC_BMGC>Piro+
MSG_MAGIC_NAME_42	<IC_BMGC>Alto
MSG_MAGIC_NAME_43	<IC_BMGC>Electro+
MSG_MAGIC_NAME_44	<IC_BMGC>Carnaza+
MSG_MAGIC_NAME_45	<IC_BMGC>Morfeo+
MSG_MAGIC_NAME_46	<IC_BMGC>Prisa
MSG_MAGIC_NAME_47	<IC_BMGC>Confu
MSG_MAGIC_NAME_48	<IC_BMGC>Hielo+
MSG_MAGIC_NAME_49	<IC_BMGC>Piro++
MSG_MAGIC_NAME_50	<IC_BMGC>Morbis
MSG_MAGIC_NAME_51	<IC_BMGC>Televiaje
MSG_MAGIC_NAME_52	<IC_BMGC>Freno+
MSG_MAGIC_NAME_53	<IC_BMGC>Electro++
MSG_MAGIC_NAME_54	<IC_BMGC>Muerte
MSG_MAGIC_NAME_55	<IC_BMGC>Seísmo
MSG_MAGIC_NAME_56	<IC_BMGC>Choque
MSG_MAGIC_NAME_57	<IC_BMGC>Hielo++
MSG_MAGIC_NAME_58	<IC_BMGC>Petra
MSG_MAGIC_NAME_59	<IC_BMGC>Refuerzo
MSG_MAGIC_NAME_60	<IC_BMGC>Tiniebla
MSG_MAGIC_NAME_61	<IC_BMGC>Fulgor
MSG_MAGIC_NAME_62	<IC_BMGC>Paro
MSG_MAGIC_NAME_63	<IC_BMGC>Limbo
MSG_MAGIC_NAME_64	<IC_BMGC>Masacre
MSG_MAG_INF_01	Devuelve algo de VIT a un aliado.
MSG_MAG_INF_02	Causa daños a los muertos vivientes.
