MSG_JOB_NAME_01	Guerrier
MSG_JOB_NAME_02	Voleur
MSG_JOB_NAME_03	Moine
MSG_JOB_NAME_04	Mage rouge
MSG_JOB_NAME_05	Mage blanc
MSG_JOB_NAME_06	Mage noir
MSG_JOB_NAME_07	Paladin
MSG_JOB_NAME_08	Ninja
MSG_JOB_NAME_09	Maître
MSG_JOB_NAME_10	Sage rouge
MSG_JOB_NAME_11	Sage blanc
MSG_JOB_NAME_12	Sage noir
MSG_JOB_INF_01	Guerrier très puissant, utilisant tous types d'armes et d'armures.
MSG_JOB_INF_02	Attaquant disposant d'une habileté hors du commun.
MSG_JOB_INF_03	Véritable expert du combat à mains nues.
MSG_JOB_INF_04	Sorcier qui maîtrise à la fois magie noire et magie blanche.
MSG_JOB_INF_05	Soutient son équipe en recourant à la magie blanche.
MSG_JOB_INF_06	Attaque les ennemis avec de puissants sorts de magie noire.
MSG_MAGIC_NAME_01	<IC_WMGC>Soin
MSG_MAGIC_NAME_02	<IC_WMGC>Lumen
MSG_MAGIC_NAME_03	<IC_WMGC>Garde
MSG_MAGIC_NAME_04	<IC_WMGC>Leurre
MSG_MAGIC_NAME_05	<IC_WMGC>Flash
MSG_MAGIC_NAME_06	<IC_WMGC>Silence
MSG_MAGIC_NAME_07	<IC_WMGC>Anti-Foudre
MSG_MAGIC_NAME_08	<IC_WMGC>Invisible
MSG_MAGIC_NAME_09	<IC_WMGC>Soin +
MSG_MAGIC_NAME_10	<IC_WMGC>Lumen +
MSG_MAGIC_NAME_11	<IC_WMGC>Anti-Feu
MSG_MAGIC_NAME_12	<IC_WMGC>Grâce
MSG_MAGIC_NAME_13	<IC_WMGC>Sérum
MSG_MAGIC_NAME_14	<IC_WMGC>Angoisse
MSG_MAGIC_NAME_15	<IC_WMGC>Anti-Glace
MSG_MAGIC_NAME_16	<IC_WMGC>Vocalise
MSG_MAGIC_NAME_17	<IC_WMGC>Soin X
MSG_MAGIC_NAME_18	<IC_WMGC>Vie
MSG_MAGIC_NAME_19	<IC_WMGC>Lumen X
MSG_MAGIC_NAME_20	<IC_WMGC>Grâce +
MSG_MAGIC_NAME_21	<IC_WMGC>Chair
MSG_MAGIC_NAME_22	<IC_WMGC>Téléport
MSG_MAGIC_NAME_23	<IC_WMGC>Garde +
MSG_MAGIC_NAME_24	<IC_WMGC>Invisible +
MSG_MAGIC_NAME_25	<IC_WMGC>Soin Max
MSG_MAGIC_NAME_26	<IC_WMGC>Lumen Max
MSG_MAGIC_NAME_27	<IC_WMGC>Anti-Mort
MSG_MAGIC_NAME_28	<IC_WMGC>Grâce X
MSG_MAGIC_NAME_29	<IC_WMGC>Vie Max
MSG_MAGIC_NAME_30	<IC_WMGC>Sidéral
MSG_MAGIC_NAME_31	<IC_WMGC>Anti-Tout
MSG_MAGIC_NAME_32	<IC_WMGC>Dissipation
MSG_MAGIC_NAME_33	<IC_BMGC>Brasier
MSG_MAGIC_NAME_34	<IC_BMGC>Morphée
MSG_MAGIC_NAME_35	<IC_BMGC>Fièvre
MSG_MAGIC_NAME_36	<IC_BMGC>Foudre
MSG_MAGIC_NAME_37	<IC_BMGC>Glacier
MSG_MAGIC_NAME_38	<IC_BMGC>Brume
MSG_MAGIC_NAME_39	<IC_BMGC>Rage
MSG_MAGIC_NAME_40	<IC_BMGC>Somni
MSG_MAGIC_NAME_41	<IC_BMGC>Brasier +
MSG_MAGIC_NAME_42	<IC_BMGC>Camisole
MSG_MAGIC_NAME_43	<IC_BMGC>Foudre +
MSG_MAGIC_NAME_44	<IC_BMGC>Fièvre +
MSG_MAGIC_NAME_45	<IC_BMGC>Morphée +
MSG_MAGIC_NAME_46	<IC_BMGC>Booster
MSG_MAGIC_NAME_47	<IC_BMGC>Démence
MSG_MAGIC_NAME_48	<IC_BMGC>Glacier +
MSG_MAGIC_NAME_49	<IC_BMGC>Brasier X
MSG_MAGIC_NAME_50	<IC_BMGC>Supplice
MSG_MAGIC_NAME_51	<IC_BMGC>Renvoi
MSG_MAGIC_NAME_52	<IC_BMGC>Somni +
MSG_MAGIC_NAME_53	<IC_BMGC>Foudre X
MSG_MAGIC_NAME_54	<IC_BMGC>Calvaire
MSG_MAGIC_NAME_55	<IC_BMGC>Séisme
MSG_MAGIC_NAME_56	<IC_BMGC>Choc
MSG_MAGIC_NAME_57	<IC_BMGC>Glacier X
MSG_MAGIC_NAME_58	<IC_BMGC>Fossile
MSG_MAGIC_NAME_59	<IC_BMGC>Fureur
MSG_MAGIC_NAME_60	<IC_BMGC>Cécité
MSG_MAGIC_NAME_61	<IC_BMGC>Atomnium
