MSG_JOB_NAME_01	Guerriero
MSG_JOB_NAME_02	Ladro
MSG_JOB_NAME_03	Monaco
MSG_JOB_NAME_04	Mago rosso
MSG_JOB_NAME_05	Mago bianco
MSG_JOB_NAME_06	Mago nero
MSG_JOB_NAME_07	Cavaliere
MSG_JOB_NAME_08	Ninja
MSG_JOB_NAME_09	Maestro
MSG_JOB_NAME_10	Stregone rosso
MSG_JOB_NAME_11	Stregone bianco
MSG_JOB_NAME_12	Stregone nero
MSG_JOB_INF_01	Può equipaggiarsi di un'ampia varietà di armi e armature.
MSG_JOB_INF_02	Sfrutta la sua sorprendente agilità per cogliere alla sprovvista il nemico.
MSG_JOB_INF_03	Specializzato nel combattimento a mani nude.
MSG_JOB_INF_04	Capace di attingere sia alla magia bianca, sia alla nera.
MSG_JOB_INF_05	Sostiene la squadra grazie alla magia bianca.
MSG_JOB_INF_06	Danneggia i nemici grazie alla magia nera.
MSG_MAGIC_NAME_01	<IC_WMGC>Energia
MSG_MAGIC_NAME_02	<IC_WMGC>Dia
MSG_MAGIC_NAME_03	<IC_WMGC>Egida
MSG_MAGIC_NAME_04	<IC_WMGC>Baluginio
MSG_MAGIC_NAME_05	<IC_WMGC>Anticecità
MSG_MAGIC_NAME_06	<IC_WMGC>Silenzio
MSG_MAGIC_NAME_07	<IC_WMGC>Antiscossa
MSG_MAGIC_NAME_08	<IC_WMGC>Invis
MSG_MAGIC_NAME_09	<IC_WMGC>Energira
MSG_MAGIC_NAME_10	<IC_WMGC>Diara
MSG_MAGIC_NAME_11	<IC_WMGC>Antifiamme
MSG_MAGIC_NAME_12	<IC_WMGC>Cura
MSG_MAGIC_NAME_13	<IC_WMGC>Antiveleno
MSG_MAGIC_NAME_14	<IC_WMGC>Terrore
MSG_MAGIC_NAME_15	<IC_WMGC>Antigelo
MSG_MAGIC_NAME_16	<IC_WMGC>Vox
MSG_MAGIC_NAME_17	<IC_WMGC>Energiga
MSG_MAGIC_NAME_18	<IC_WMGC>Reiz
MSG_MAGIC_NAME_19	<IC_WMGC>Diaga
MSG_MAGIC_NAME_20	<IC_WMGC>Curara
MSG_MAGIC_NAME_21	<IC_WMGC>Antipietra
MSG_MAGIC_NAME_22	<IC_WMGC>Ritorno
MSG_MAGIC_NAME_23	<IC_WMGC>Egidara
MSG_MAGIC_NAME_24	<IC_WMGC>Invisira
MSG_MAGIC_NAME_25	<IC_WMGC>Energija
MSG_MAGIC_NAME_26	<IC_WMGC>Diaja
MSG_MAGIC_NAME_27	<IC_WMGC>Antimorte
MSG_MAGIC_NAME_28	<IC_WMGC>Curaga
MSG_MAGIC_NAME_29	<IC_WMGC>Areiz
MSG_MAGIC_NAME_30	<IC_WMGC>Sancta
MSG_MAGIC_NAME_31	<IC_WMGC>Antitutto
MSG_MAGIC_NAME_32	<IC_WMGC>Antimagia
MSG_MAGIC_NAME_33	<IC_BMGC>Fuoco
MSG_MAGIC_NAME_34	<IC_BMGC>Sonno
MSG_MAGIC_NAME_35	<IC_BMGC>Mirino
MSG_MAGIC_NAME_36	<IC_BMGC>Tuono
MSG_MAGIC_NAME_37	<IC_BMGC>Bufera
MSG_MAGIC_NAME_38	<IC_BMGC>Buio
MSG_MAGIC_NAME_39	<IC_BMGC>Tempra
MSG_MAGIC_NAME_40	<IC_BMGC>Adagio
MSG_MAGIC_NAME_41	<IC_BMGC>Fuoca
MSG_MAGIC_NAME_42	<IC_BMGC>Blocco
MSG_MAGIC_NAME_43	<IC_BMGC>Tuona
MSG_MAGIC_NAME_44	<IC_BMGC>Mirinora
MSG_MAGIC_NAME_45	<IC_BMGC>Sonnora
MSG_MAGIC_NAME_46	<IC_BMGC>Andante
MSG_MAGIC_NAME_47	<IC_BMGC>Caos
MSG_MAGIC_NAME_48	<IC_BMGC>Buferara
MSG_MAGIC_NAME_49	<IC_BMGC>Fuocaga
MSG_MAGIC_NAME_50	<IC_BMGC>Flagello
MSG_MAGIC_NAME_51	<IC_BMGC>Telecinesi
MSG_MAGIC_NAME_52	<IC_BMGC>Adagiora
MSG_MAGIC_NAME_53	<IC_BMGC>Tuonaga
MSG_MAGIC_NAME_54	<IC_BMGC>Morte
MSG_MAGIC_NAME_55	<IC_BMGC>Sisma
MSG_MAGIC_NAME_56	<IC_BMGC>Shock
MSG_MAGIC_NAME_57	<IC_BMGC>Buferaga
MSG_MAGIC_NAME_58	<IC_BMGC>Pietra
MSG_MAGIC_NAME_59	<IC_BMGC>Sciabola
MSG_MAGIC_NAME_60	<IC_BMGC>Cecità
MSG_MAGIC_NAME_61	<IC_BMGC>Fusione
MSG_MAGIC_NAME_62	<IC_BMGC>Stop
MSG_MAGIC_NAME_63	<IC_BMGC>Buco nero
MSG_MAGIC_NAME_64	<IC_BMGC>Assassinio
MSG_MAG_INF_01	Ripristina qualche PV di un alleato.
MSG_MAG_INF_02	Danneggia tutti i non morti.
MSG_MAG_INF_03	Aumenta la Difesa di un alleato.
MSG_MAG_INF_04	Aumenta la propria Schivata.
MSG_MAG_INF_05	Cura Cecità.
MSG_MAG_INF_06	Infligge Mutismo a tutti i nemici.
MSG_MAG_INF_07	Dimezza il danno di Tuono subito da tutta la squadra.
MSG_MAG_INF_08	Aumenta la Schivata di un alleato.
MSG_MAG_INF_09	Ripristina i PV di un alleato.
MSG_MAG_INF_10	Danneggia tutti i non morti.
MSG_MAG_INF_11	Dimezza il danno di Fuoco subito da tutta la squadra.
MSG_MAG_INF_12	Ripristina qualche PV di tutta la squadra.
MSG_MAG_INF_13	Cura Veleno.
MSG_MAG_INF_14	Atterrisce e fa fuggire tutti i nemici.
MSG_MAG_INF_15	Dimezza il danno di Ghiaccio subito da tutta la squadra.
MSG_MAG_INF_16	Cura Mutismo.
MSG_MAG_INF_17	Ripristina molti PV di un alleato.
MSG_MAG_INF_18	Rianima un alleato KO.
MSG_MAG_INF_19	Danneggia tutti i non morti.
MSG_MAG_INF_20	Ripristina i PV di tutta la squadra.
MSG_MAG_INF_21	Cura Pietra.
MSG_MAG_INF_22	Riporta la squadra al mappamondo.
MSG_MAG_INF_23	Aumenta la Difesa della squadra.
MSG_MAG_INF_24	Aumenta la Schivata della squadra.
MSG_MAG_INF_25	Ripristina tutti i PV di un alleato e cura alcune alterazioni di stato.
MSG_MAG_INF_26	Danneggia tutti i non morti.
MSG_MAG_INF_27	Protegge la squadra da Morte istantanea.
MSG_MAG_INF_28	Ripristina molti PV di tutta la squadra.
MSG_MAG_INF_29	Rianima e ripristina i PV di un alleato.
MSG_MAG_INF_30	Danneggia tutti i nemici con una luce sacra.
MSG_MAG_INF_31	Dimezza tutto il danno magico subito.
MSG_MAG_INF_32	Annulla le difese magiche di un nemico.
MSG_MAG_INF_33	Infligge danni di Fuoco a un nemico.
MSG_MAG_INF_34	Addormenta tutti i nemici.
MSG_MAG_INF_35	Riduce la Schivata di un nemico.
MSG_MAG_INF_36	Infligge danni di Tuono a un nemico.
MSG_MAG_INF_37	Infligge danni di Ghiaccio a un nemico.
MSG_MAG_INF_38	Acceca tutti i nemici.
MSG_MAG_INF_39	Aumenta l'Attacco di un alleato.
MSG_MAG_INF_40	Riduce la frequenza di attacco di tutti i nemici.
MSG_MAG_INF_41	Infligge danni di Fuoco a tutti i nemici.
MSG_MAG_INF_42	Paralizza un nemico.
MSG_MAG_INF_43	Infligge danni di Tuono a tutti i nemici.
MSG_MAG_INF_44	Riduce la Schivata di tutti i nemici.
MSG_MAG_INF_45	Addormenta un nemico.
MSG_MAG_INF_46	Raddoppia la frequenza di attacco di un alleato.
MSG_MAG_INF_47	Confonde tutti i nemici.
MSG_MAG_INF_48	Infligge danni di Ghiaccio a tutti i nemici.
MSG_MAG_INF_49	Infligge danni di Fuoco a tutti i nemici.
MSG_MAG_INF_50	Uccide istantaneamente tutti i nemici.
MSG_MAG_INF_51	Trasporta la squadra al piano precedente.
MSG_MAG_INF_52	Riduce la frequenza di attacco di un nemico.
MSG_MAG_INF_53	Infligge danni di Tuono a tutti i nemici.
MSG_MAG_INF_54	Uccide istantaneamente un nemico.
MSG_MAG_INF_55	Scatena un terremoto che inghiotte tutti i nemici.
MSG_MAG_INF_56	Paralizza un nemico.
MSG_MAG_INF_57	Infligge danni di Ghiaccio a tutti i nemici.
MSG_MAG_INF_58	Pietrifica un nemico.
MSG_MAG_INF_59	Aumenta i propri parametri di Attacco e Precisione.
MSG_MAG_INF_60	Acceca un nemico.
MSG_MAG_INF_61	Danneggia tutti i nemici con luce e calore.
MSG_MAG_INF_62	Ferma il tempo e paralizza tutti i nemici.
MSG_MAG_INF_63	Relega tutti i nemici in un'altra dimensione.
MSG_MAG_INF_64	Uccide istantaneamente un nemico.
MSG_ITEM_NAME_01	<IC_DRAG>Pozione
MSG_ITEM_NAME_02	<IC_BAG>Antidoto
MSG_ITEM_NAME_03	<IC_BAG>Ago dorato
MSG_ITEM_NAME_04	<IC_TENTO>Sacco a pelo
MSG_ITEM_NAME_05	<IC_TENTO>Tenda
MSG_ITEM_NAME_06	<IC_TENTO>Padiglione
MSG_ITEM_NAME_07	<IC_DRAG>Granpozione
MSG_ITEM_NAME_08	<IC_DRAG>Extrapozione
MSG_ITEM_NAME_09	<IC_DRAG>Etere
MSG_ITEM_NAME_11	<IC_DRAG>Super etere
MSG_ITEM_NAME_12	<IC_DRAG>Elisir
MSG_ITEM_NAME_14	<IC_BAG>Coda di fenice
MSG_ITEM_NAME_15	<IC_BAG>Panacea
MSG_ITEM_NAME_16	<IC_BAG>Collirio
MSG_ITEM_NAME_17	<IC_BAG>Erba dell'eco
MSG_ITEM_NAME_39	<IC_BAG>Infuso di forza
MSG_ITEM_NAME_40	<IC_BAG>Infuso titanico
MSG_ITEM_NAME_42	<IC_BAG>Infuso di difesa
MSG_ITEM_NAME_43	<IC_BAG>Infuso rapido
MSG_ITEM_INF_01	Ripristina 50 PV.
MSG_ITEM_INF_02	Cura Veleno.
MSG_ITEM_INF_03	Cura Pietra.
MSG_ITEM_INF_04	Ripristina parte dei PV della squadra.\nUsabile solo all'aperto.
MSG_ITEM_INF_05	Ripristina parte dei PV e PM della squadra.\nUsabile solo all'aperto.
MSG_ITEM_INF_06	Ripristina tutti i PV e PM della squadra.\nUsabile solo all'aperto.
MSG_ITEM_INF_07	Ripristina 150 PV.
MSG_ITEM_INF_08	Ripristina tutti i PV.
MSG_ITEM_INF_09	Ripristina 1 PM per ogni livello magico.
MSG_ITEM_INF_11	Ripristina 5 PM per ogni livello magico.
MSG_ITEM_INF_12	Ripristina tutti i PV e PM.
MSG_ITEM_INF_14	Rianima un alleato KO.
MSG_ITEM_INF_15	Cura tutti gli stati alterati tranne Pietra e KO.
MSG_ITEM_INF_16	Cura Cecità.
MSG_ITEM_INF_17	Cura Mutismo.
MSG_ITEM_INF_39	Aumenta temporaneamente l'Attacco in battaglia.
MSG_ITEM_INF_40	Aumenta temporaneamente i PV massimi in battaglia.
MSG_ITEM_INF_42	Aumenta temporaneamente la Difesa in battaglia
MSG_ITEM_INF_43	Aumenta temporaneamente l'Agilità in battaglia.
MSG_WEAPON_NAME_01	<IC_NIF>Coltello
MSG_WEAPON_NAME_02	<IC_WND>Asta
MSG_WEAPON_NAME_03	<IC_WND>Asta curativa
MSG_WEAPON_NAME_04	<IC_NIF>Pugnale
MSG_WEAPON_NAME_05	<IC_HMR>Martello
MSG_WEAPON_NAME_06	<IC_SRD>Stocco
MSG_WEAPON_NAME_07	<IC_KTN>Scimitarra
MSG_WEAPON_NAME_08	<IC_NIF>Coltello di mithril
MSG_WEAPON_NAME_09	<IC_NCK>Nunchaku
MSG_WEAPON_NAME_10	<IC_WND>Bastone vigor
MSG_WEAPON_NAME_11	<IC_HMR>Maglio di mithril
MSG_WEAPON_NAME_12	<IC_WND>Asta magica
MSG_WEAPON_NAME_13	<IC_SRD>Sciabola
MSG_WEAPON_NAME_14	<IC_WND>Pastorale
MSG_WEAPON_NAME_15	<IC_KTN>Falcione
MSG_WEAPON_NAME_16	<IC_SRD>Spadone
MSG_WEAPON_NAME_17	<IC_WND>Asta stregona
MSG_WEAPON_NAME_18	<IC_NCK>Nunchaku di ferro
MSG_WEAPON_NAME_19	<IC_AX>Ascia da guerra
MSG_WEAPON_NAME_20	<IC_SRD>Lama runica
MSG_WEAPON_NAME_21	<IC_SRD>Licantropicida
MSG_WEAPON_NAME_22	<IC_HMR>Maglio di Thor
MSG_WEAPON_NAME_23	<IC_SRD>Ammazzadraghi
MSG_WEAPON_NAME_24	<IC_SRD>Spada di corallo
MSG_WEAPON_NAME_25	<IC_SRD>Spada lunga
MSG_WEAPON_NAME_26	<IC_SRD>Bastarda
MSG_WEAPON_NAME_27	<IC_AX>Ascia bipenne
MSG_WEAPON_NAME_28	<IC_SRD>Demolitrice
MSG_WEAPON_NAME_29	<IC_CLW>Artigli felini
MSG_WEAPON_NAME_30	<IC_SRD>Spada di mithril
MSG_WEAPON_NAME_31	<IC_SRD>Lama crescente
MSG_WEAPON_NAME_32	<IC_AX>Ascia di mithril
MSG_WEAPON_NAME_33	<IC_SRD>Spada focum
MSG_WEAPON_NAME_34	<IC_AX>Ascia di luce
MSG_WEAPON_NAME_35	<IC_SRD>Brando gelum
MSG_WEAPON_NAME_36	<IC_SRD>Difensore
MSG_WEAPON_NAME_37	<IC_SRD>Lama solare
MSG_WEAPON_NAME_38	<IC_KTN>Lama di Sasuke
MSG_WEAPON_NAME_39	<IC_SRD>Excalibur
MSG_WEAPON_NAME_40	<IC_KTN>Masamune
MSG_WEAPON_INF_01	Piccolo coltello.
MSG_WEAPON_INF_02	Asta di legno.
MSG_WEAPON_INF_03	Asta che lancia Energia se usata come oggetto in battaglia.
MSG_WEAPON_INF_04	Grosso coltello.
MSG_WEAPON_INF_05	Martello da battaglia.
MSG_WEAPON_INF_06	Spada dalla lama sottile.
MSG_WEAPON_INF_07	Spada dalla lama ricurva.
MSG_WEAPON_INF_08	Coltello forgiato nel mithril.
MSG_WEAPON_INF_09	Nunchaku di legno.
MSG_WEAPON_INF_10	Asta dal potere di attacco elevato.
MSG_WEAPON_INF_11	Maglio forgiato nel mithril.
MSG_WEAPON_INF_12	Asta che lancia Fuoca se usata come oggetto in battaglia.
MSG_WEAPON_INF_13	Spada lunga pensata per colpire in affondo.
MSG_WEAPON_INF_14	Bastone con punta rinforzata in metallo.
MSG_WEAPON_INF_15	Spada la cui lama si allarga verso la punta.
MSG_WEAPON_INF_16	Grossa spada a doppio taglio.
MSG_WEAPON_INF_17	Asta che lancia Caos se usata come oggetto in battaglia.
MSG_WEAPON_INF_18	Nunchaku metallico.
MSG_WEAPON_INF_19	Ascia pensata per il combattimento.
MSG_WEAPON_INF_20	Spada efficace contro i maghi.
MSG_WEAPON_INF_21	Spada efficace contro le belve.
MSG_WEAPON_INF_22	Martello che lancia Tuona se usato come oggetto in battaglia.
MSG_WEAPON_INF_23	Spada efficace contro i draghi.
MSG_WEAPON_INF_24	Spada efficace contro i mostri acquatici.
MSG_WEAPON_INF_25	Pesante spada a doppio taglio.
MSG_WEAPON_INF_26	Spada efficace contro i giganti.
MSG_WEAPON_INF_27	Grossa ascia da guerra.
MSG_WEAPON_INF_28	Sciabola che lancia Flagello se usata come oggetto in battaglia.
MSG_WEAPON_INF_29	Arma affilata come un rasoio.
MSG_WEAPON_INF_30	Spada forgiata nel mithril.
MSG_WEAPON_INF_31	Affilata lama a mezzaluna.
MSG_WEAPON_INF_32	Ascia forgiata nel mithril.
MSG_WEAPON_INF_33	Spada infusa del potere delle fiamme.
MSG_WEAPON_INF_34	Ascia efficace contro i non morti.\nLancia Diara se usata come oggetto in battaglia.
MSG_WEAPON_INF_35	Lama infusa del potere del ghiaccio.
MSG_WEAPON_INF_36	Spada che lancia Baluginio se usata come oggetto in battaglia.
MSG_WEAPON_INF_37	Spada efficace contro i non morti.
MSG_WEAPON_INF_38	Piccola katana da ninja.
MSG_WEAPON_INF_39	Spada di finissima fattura, forgiata con un metallo leggendario. È efficace contro nemici di qualsiasi tipo.
MSG_WEAPON_INF_40	Mitica katana dalla potenza straordinaria.
MSG_ARMOR_NAME_01	<IC_CLTH>Abiti
MSG_ARMOR_NAME_02	<IC_ARMOR>Armatura di cuoio
MSG_ARMOR_NAME_03	<IC_RING>Bracciale di rame
MSG_ARMOR_NAME_04	<IC_ARMOR>Cotta di maglia
MSG_ARMOR_NAME_05	<IC_RING>Bracciale d'argento
MSG_ARMOR_NAME_06	<IC_ARMOR>Cotta di mithril
