MSG_JOB_NAME_01	戦士
MSG_JOB_NAME_02	シーフ
MSG_JOB_NAME_03	モンク
MSG_JOB_NAME_04	赤魔術士
MSG_JOB_NAME_05	白魔術士
MSG_JOB_NAME_06	黒魔術士
MSG_JOB_NAME_07	ナイト
MSG_JOB_NAME_08	忍者
MSG_JOB_NAME_09	スーパーモンク
MSG_JOB_NAME_10	赤魔道士
MSG_JOB_NAME_11	白魔道士
MSG_JOB_NAME_12	黒魔道士
MSG_JOB_INF_01	様々な武器や防具を装備することができるジョブ
MSG_JOB_INF_02	身軽な動きで敵をほんろうすることができるジョブ
MSG_JOB_INF_03	素手の戦闘を得意とする攻撃主体のジョブ
MSG_JOB_INF_04	白黒両方の魔法を覚えることができるジョブ
MSG_JOB_INF_05	白魔法で戦闘のサポートをすることが得意なジョブ
MSG_JOB_INF_06	敵にダメージを与える黒魔法を得意とするジョブ
MSG_MAGIC_NAME_01	<IC_WMGC>ケアル
MSG_MAGIC_NAME_02	<IC_WMGC>ディア
MSG_MAGIC_NAME_03	<IC_WMGC>プロテス
MSG_MAGIC_NAME_04	<IC_WMGC>ブリンク
MSG_MAGIC_NAME_05	<IC_WMGC>ブラナ
MSG_MAGIC_NAME_06	<IC_WMGC>サイレス
MSG_MAGIC_NAME_07	<IC_WMGC>バサンダ
MSG_MAGIC_NAME_08	<IC_WMGC>インビジ
MSG_MAGIC_NAME_09	<IC_WMGC>ケアルア
MSG_MAGIC_NAME_10	<IC_WMGC>アディア
MSG_MAGIC_NAME_11	<IC_WMGC>バファイ
MSG_MAGIC_NAME_12	<IC_WMGC>ヒール
MSG_MAGIC_NAME_13	<IC_WMGC>ポイゾナ
MSG_MAGIC_NAME_14	<IC_WMGC>フィアー
MSG_MAGIC_NAME_15	<IC_WMGC>バコルド
MSG_MAGIC_NAME_16	<IC_WMGC>ボキャル
MSG_MAGIC_NAME_17	<IC_WMGC>ケアルダ
MSG_MAGIC_NAME_18	<IC_WMGC>レイズ
MSG_MAGIC_NAME_19	<IC_WMGC>ダディア
MSG_MAGIC_NAME_20	<IC_WMGC>ヒーラ
MSG_MAGIC_NAME_21	<IC_WMGC>ストナ
MSG_MAGIC_NAME_22	<IC_WMGC>ダテレポ
MSG_MAGIC_NAME_23	<IC_WMGC>プロテア
MSG_MAGIC_NAME_24	<IC_WMGC>インビア
MSG_MAGIC_NAME_25	<IC_WMGC>ケアルガ
MSG_MAGIC_NAME_26	<IC_WMGC>ガディア
MSG_MAGIC_NAME_27	<IC_WMGC>バマジク
MSG_MAGIC_NAME_28	<IC_WMGC>ラヒーラ
MSG_MAGIC_NAME_29	<IC_WMGC>アレイズ
MSG_MAGIC_NAME_30	<IC_WMGC>ホーリー
MSG_MAGIC_NAME_31	<IC_WMGC>バオル
MSG_MAGIC_NAME_32	<IC_WMGC>デスペル
MSG_MAGIC_NAME_33	<IC_BMGC>ファイア
MSG_MAGIC_NAME_34	<IC_BMGC>スリプル
MSG_MAGIC_NAME_35	<IC_BMGC>シェイプ
MSG_MAGIC_NAME_36	<IC_BMGC>サンダー
MSG_MAGIC_NAME_37	<IC_BMGC>ブリザド
MSG_MAGIC_NAME_38	<IC_BMGC>ダクネス
MSG_MAGIC_NAME_39	<IC_BMGC>ストライ
MSG_MAGIC_NAME_40	<IC_BMGC>スロウ
MSG_MAGIC_NAME_41	<IC_BMGC>ファイラ
MSG_MAGIC_NAME_42	<IC_BMGC>ホールド
MSG_MAGIC_NAME_43	<IC_BMGC>サンダラ
MSG_MAGIC_NAME_44	<IC_BMGC>シェイラ
MSG_MAGIC_NAME_45	<IC_BMGC>スリプラ
MSG_MAGIC_NAME_46	<IC_BMGC>ヘイスト
MSG_MAGIC_NAME_47	<IC_BMGC>コンフュ
MSG_MAGIC_NAME_48	<IC_BMGC>ブリザラ
MSG_MAGIC_NAME_49	<IC_BMGC>ファイガ
MSG_MAGIC_NAME_50	<IC_BMGC>クラウダ
MSG_MAGIC_NAME_51	<IC_BMGC>テレポ
MSG_MAGIC_NAME_52	<IC_BMGC>ラスロウ
MSG_MAGIC_NAME_53	<IC_BMGC>サンガー
MSG_MAGIC_NAME_54	<IC_BMGC>デス
MSG_MAGIC_NAME_55	<IC_BMGC>クエイク
MSG_MAGIC_NAME_56	<IC_BMGC>スタン
MSG_MAGIC_NAME_57	<IC_BMGC>ブリザガ
MSG_MAGIC_NAME_58	<IC_BMGC>ブレイク
MSG_MAGIC_NAME_59	<IC_BMGC>セーバー
MSG_MAGIC_NAME_60	<IC_BMGC>ブライン
MSG_MAGIC_NAME_61	<IC_BMGC>フレアー
MSG_MAGIC_NAME_62	<IC_BMGC>ストップ
MSG_MAGIC_NAME_63	<IC_BMGC>デジョン
MSG_MAGIC_NAME_64	<IC_BMGC>キル
MSG_MAG_INF_01	味方１人のＨＰを少し回復する
MSG_MAG_INF_02	アンデッド全体にダメージを与える
MSG_MAG_INF_03	味方１人の防御力を上げる
MSG_MAG_INF_04	自分の回避率を上げる
MSG_MAG_INF_05	味方１人の暗闇状態を治す
MSG_MAG_INF_06	敵全体を沈黙状態にする
MSG_MAG_INF_07	味方全員の雷のダメージを１／２に減らす
MSG_MAG_INF_08	味方１人の回避率を上げる
MSG_MAG_INF_09	味方１人のＨＰを回復する
MSG_MAG_INF_10	アンデッド全体にダメージを与える
MSG_MAG_INF_11	味方全員の炎のダメージを１／２に減らす
MSG_MAG_INF_12	味方全員のＨＰを回復する
MSG_MAG_INF_13	味方１人の毒状態を治す
MSG_MAG_INF_14	敵全体に恐怖心を与え追い払う
MSG_MAG_INF_15	味方全員の冷気のダメージを１／２に減らす
