MSG_JOB_NAME_01	전사
MSG_JOB_NAME_02	도적
MSG_JOB_NAME_03	몽크
MSG_JOB_NAME_04	적마법사
MSG_JOB_NAME_05	백마법사
MSG_JOB_NAME_06	흑마법사
MSG_JOB_NAME_07	나이트
MSG_JOB_NAME_08	닌자
MSG_JOB_NAME_09	슈퍼몽크
MSG_JOB_NAME_10	적마도사
MSG_JOB_NAME_11	백마도사
MSG_JOB_NAME_12	흑마도사
MSG_JOB_INF_01	다양한 무기와 방어구를 장착할 수 있는 직업
MSG_JOB_INF_02	가벼운 몸놀림으로 적을 농락할 수 있는 직업
MSG_JOB_INF_03	맨손 격투가 특기이며 주로 공격을 담당하는 직업
MSG_JOB_INF_04	백마법과 흑마법을 모두 습득할 수 있는 직업
MSG_JOB_INF_05	백마법으로 전투를 보조하는 데 특화된 직업
MSG_JOB_INF_06	적에게 타격을 주는 흑마법에 특화된 직업
MSG_MAGIC_NAME_01	<IC_WMGC>케알
MSG_MAGIC_NAME_02	<IC_WMGC>디아
MSG_MAGIC_NAME_03	<IC_WMGC>프로테스
MSG_MAGIC_NAME_04	<IC_WMGC>블링크
MSG_MAGIC_NAME_05	<IC_WMGC>블라나
MSG_MAGIC_NAME_06	<IC_WMGC>사일레스
MSG_MAGIC_NAME_07	<IC_WMGC>바선더
MSG_MAGIC_NAME_08	<IC_WMGC>인비지
MSG_MAGIC_NAME_09	<IC_WMGC>케알라
MSG_MAGIC_NAME_10	<IC_WMGC>아디아
MSG_MAGIC_NAME_11	<IC_WMGC>바파이
MSG_MAGIC_NAME_12	<IC_WMGC>힐
MSG_MAGIC_NAME_13	<IC_WMGC>포이즈나
MSG_MAGIC_NAME_14	<IC_WMGC>피어
MSG_MAGIC_NAME_15	<IC_WMGC>바콜드
MSG_MAGIC_NAME_16	<IC_WMGC>보카르
MSG_MAGIC_NAME_17	<IC_WMGC>케알다
MSG_MAGIC_NAME_18	<IC_WMGC>레이즈
MSG_MAGIC_NAME_19	<IC_WMGC>다디아
MSG_MAGIC_NAME_20	<IC_WMGC>힐라
MSG_MAGIC_NAME_21	<IC_WMGC>스토나
MSG_MAGIC_NAME_22	<IC_WMGC>다텔레포
MSG_MAGIC_NAME_23	<IC_WMGC>프로테아
MSG_MAGIC_NAME_24	<IC_WMGC>인비아
MSG_MAGIC_NAME_25	<IC_WMGC>케알가
MSG_MAGIC_NAME_26	<IC_WMGC>가디아
MSG_MAGIC_NAME_27	<IC_WMGC>바매직
MSG_MAGIC_NAME_28	<IC_WMGC>라힐라
MSG_MAGIC_NAME_29	<IC_WMGC>아레이즈
MSG_MAGIC_NAME_30	<IC_WMGC>홀리
MSG_MAGIC_NAME_31	<IC_WMGC>바올
MSG_MAGIC_NAME_32	<IC_WMGC>디스펠
MSG_MAGIC_NAME_33	<IC_BMGC>파이어
MSG_MAGIC_NAME_34	<IC_BMGC>슬리플
MSG_MAGIC_NAME_35	<IC_BMGC>셰이프
MSG_MAGIC_NAME_36	<IC_BMGC>선더
MSG_MAGIC_NAME_37	<IC_BMGC>블리자드
MSG_MAGIC_NAME_38	<IC_BMGC>다크니스
MSG_MAGIC_NAME_39	<IC_BMGC>스트라이
MSG_MAGIC_NAME_40	<IC_BMGC>슬로우
MSG_MAGIC_NAME_41	<IC_BMGC>파이라
MSG_MAGIC_NAME_42	<IC_BMGC>홀드
MSG_MAGIC_NAME_43	<IC_BMGC>선더라
MSG_MAGIC_NAME_44	<IC_BMGC>셰이라
MSG_MAGIC_NAME_45	<IC_BMGC>슬리플라
MSG_MAGIC_NAME_46	<IC_BMGC>헤이스트
MSG_MAGIC_NAME_47	<IC_BMGC>컨퓨
MSG_MAGIC_NAME_48	<IC_BMGC>블리자라
MSG_MAGIC_NAME_49	<IC_BMGC>파이가
MSG_MAGIC_NAME_50	<IC_BMGC>클라우다
MSG_MAGIC_NAME_51	<IC_BMGC>텔레포
MSG_MAGIC_NAME_52	<IC_BMGC>라슬로우
MSG_MAGIC_NAME_53	<IC_BMGC>선더가
MSG_MAGIC_NAME_54	<IC_BMGC>데스
MSG_MAGIC_NAME_55	<IC_BMGC>퀘이크
MSG_MAGIC_NAME_56	<IC_BMGC>스턴
MSG_MAGIC_NAME_57	<IC_BMGC>블리자가
