MSG_JOB_NAME_01	Guerreiro
MSG_JOB_NAME_02	Ladino
MSG_JOB_NAME_03	Monge
MSG_JOB_NAME_04	Mago Vermelho
MSG_JOB_NAME_05	Maga Branca
MSG_JOB_NAME_06	Mago Negro
MSG_JOB_NAME_07	Cavaleiro
MSG_JOB_NAME_08	Ninja
MSG_JOB_NAME_09	Mestre
MSG_JOB_NAME_10	Feiticeiro Vermelho
MSG_JOB_NAME_11	Feiticeira Branca
MSG_JOB_NAME_12	Feiticeiro Negro
MSG_JOB_INF_01	Pode usar uma grande variedade de armas e armaduras.
MSG_JOB_INF_02	Corre em círculos rapidamente ao redor dos inimigos.
MSG_JOB_INF_03	É especialista em ataques com os punhos.
MSG_JOB_INF_04	Sabe usar tanto magia branca, quanto magia negra.
MSG_JOB_INF_05	Presta apoio ao grupo com magia branca.
MSG_JOB_INF_06	Causa dano aos inimigos com magia negra.
MSG_MAGIC_NAME_01	<IC_WMGC>Cura
MSG_MAGIC_NAME_02	<IC_WMGC>Dia
MSG_MAGIC_NAME_03	<IC_WMGC>Proteção
MSG_MAGIC_NAME_04	<IC_WMGC>Evasão
MSG_MAGIC_NAME_05	<IC_WMGC>Bálsamo
MSG_MAGIC_NAME_06	<IC_WMGC>Silêncio
MSG_MAGIC_NAME_07	<IC_WMGC>Antichoque
MSG_MAGIC_NAME_08	<IC_WMGC>Invisível
MSG_MAGIC_NAME_09	<IC_WMGC>Cura+
MSG_MAGIC_NAME_10	<IC_WMGC>Dia+
MSG_MAGIC_NAME_11	<IC_WMGC>Antifogo
MSG_MAGIC_NAME_12	<IC_WMGC>Revigorar
MSG_MAGIC_NAME_13	<IC_WMGC>Soro
MSG_MAGIC_NAME_14	<IC_WMGC>Medo
MSG_MAGIC_NAME_15	<IC_WMGC>Antigelo
MSG_MAGIC_NAME_16	<IC_WMGC>Vox
MSG_MAGIC_NAME_17	<IC_WMGC>Cura++
MSG_MAGIC_NAME_18	<IC_WMGC>Vida
MSG_MAGIC_NAME_19	<IC_WMGC>Dia++
MSG_MAGIC_NAME_20	<IC_WMGC>Revigorar+
MSG_MAGIC_NAME_21	<IC_WMGC>Amolecer
MSG_MAGIC_NAME_22	<IC_WMGC>Sair
MSG_MAGIC_NAME_23	<IC_WMGC>Proteção+
MSG_MAGIC_NAME_24	<IC_WMGC>Invisível+
MSG_MAGIC_NAME_25	<IC_WMGC>Cura+++
MSG_MAGIC_NAME_26	<IC_WMGC>Dia+++
MSG_MAGIC_NAME_27	<IC_WMGC>Antimorte
MSG_MAGIC_NAME_28	<IC_WMGC>Revigorar++
MSG_MAGIC_NAME_29	<IC_WMGC>Vida+
MSG_MAGIC_NAME_30	<IC_WMGC>Sagrado
MSG_MAGIC_NAME_31	<IC_WMGC>Antitudo
MSG_MAGIC_NAME_32	<IC_WMGC>Dissipação
MSG_MAGIC_NAME_33	<IC_BMGC>Fogo
MSG_MAGIC_NAME_34	<IC_BMGC>Sono
MSG_MAGIC_NAME_35	<IC_BMGC>Foco
MSG_MAGIC_NAME_36	<IC_BMGC>Trovão
MSG_MAGIC_NAME_37	<IC_BMGC>Nevasca
MSG_MAGIC_NAME_38	<IC_BMGC>Sombrio
MSG_MAGIC_NAME_39	<IC_BMGC>Reforço
MSG_MAGIC_NAME_40	<IC_BMGC>Lentidão
MSG_MAGIC_NAME_41	<IC_BMGC>Fogo+
MSG_MAGIC_NAME_42	<IC_BMGC>Paralisia
MSG_MAGIC_NAME_43	<IC_BMGC>Trovão+
MSG_MAGIC_NAME_44	<IC_BMGC>Foco+
MSG_MAGIC_NAME_45	<IC_BMGC>Sono+
MSG_MAGIC_NAME_46	<IC_BMGC>Impulso
MSG_MAGIC_NAME_47	<IC_BMGC>Confusão
MSG_MAGIC_NAME_48	<IC_BMGC>Nevasca+
MSG_MAGIC_NAME_49	<IC_BMGC>Fogo++
MSG_MAGIC_NAME_50	<IC_BMGC>Maldição
MSG_MAGIC_NAME_51	<IC_BMGC>Teleporte
MSG_MAGIC_NAME_52	<IC_BMGC>Lentidão+
MSG_MAGIC_NAME_53	<IC_BMGC>Trovão++
MSG_MAGIC_NAME_54	<IC_BMGC>Morte
MSG_MAGIC_NAME_55	<IC_BMGC>Terremoto
MSG_MAGIC_NAME_56	<IC_BMGC>Atordoar
MSG_MAGIC_NAME_57	<IC_BMGC>Nevasca++
MSG_MAGIC_NAME_58	<IC_BMGC>Petrificar
MSG_MAGIC_NAME_59	<IC_BMGC>Aguçar
MSG_MAGIC_NAME_60	<IC_BMGC>Cegueira
MSG_MAGIC_NAME_61	<IC_BMGC>Explosão
MSG_MAGIC_NAME_62	<IC_BMGC>Catatonia
MSG_MAGIC_NAME_63	<IC_BMGC>Expurgo
MSG_MAGIC_NAME_64	<IC_BMGC>Execução
MSG_MAG_INF_01	Recupera um pouco de PV de um aliado.
MSG_MAG_INF_02	Causa dano a todos os inimigos mortos-vivos.
MSG_MAG_INF_03	Aumenta a defesa de um aliado.
MSG_MAG_INF_04	Aumenta a evasão de quem invoca a magia.
MSG_MAG_INF_05	Cura cegueira.
MSG_MAG_INF_06	Invoca Silêncio em todos os inimigos.
MSG_MAG_INF_07	Reduz o dano de eletricidade pela metade no grupo todo.
MSG_MAG_INF_08	Aumenta a evasão de um aliado.
MSG_MAG_INF_09	Recupera PV de um aliado.
MSG_MAG_INF_10	Causa dano a todos os inimigos mortos-vivos.
MSG_MAG_INF_11	Reduz o dano de fogo pela metade no grupo todo.
MSG_MAG_INF_12	Recupera um pouco de PV do grupo todo.
MSG_MAG_INF_13	Cura veneno.
MSG_MAG_INF_14	Faz todos os inimigos fugirem aterrorizados.
MSG_MAG_INF_15	Reduz o dano de gelo pela metade no grupo todo.
MSG_MAG_INF_16	Cura silêncio.
MSG_MAG_INF_17	Recupera grande quantidade de PV de um aliado.
MSG_MAG_INF_18	Revive um aliado morto.
MSG_MAG_INF_19	Causa dano a todos os inimigos mortos-vivos.
MSG_MAG_INF_20	Recupera PV do grupo todo.
MSG_MAG_INF_21	Cura petrificação.
MSG_MAG_INF_22	Transporta o grupo para fora de uma área.
MSG_MAG_INF_23	Aumenta a defesa do grupo.
MSG_MAG_INF_24	Aumenta a evasão do grupo.
MSG_MAG_INF_25	Recupera 100% de PV de um aliado e cura alguns efeitos de status.
MSG_MAG_INF_26	Causa dano a todos os inimigos mortos-vivos.
