MSG_JOB_NAME_01	Воин
MSG_JOB_NAME_02	Вор
MSG_JOB_NAME_03	Монах
MSG_JOB_NAME_04	Красный маг
MSG_JOB_NAME_05	Белый маг
MSG_JOB_NAME_06	Черный маг
MSG_JOB_NAME_07	Рыцарь
MSG_JOB_NAME_08	Ниндзя
MSG_JOB_NAME_09	Мастер
MSG_JOB_NAME_10	Красный волшебник
MSG_JOB_NAME_11	Белый волшебник
MSG_JOB_NAME_12	Черный волшебник
MSG_JOB_INF_01	Может использовать самое разное оружие и доспехи.
MSG_JOB_INF_02	Ловко описывает круги вокруг противника.
MSG_JOB_INF_03	Специализируется на рукопашных атаках.
MSG_JOB_INF_04	Владеет как черной, так и белой магией.
MSG_JOB_INF_05	Поддерживает отряд белой магией.
MSG_JOB_INF_06	Атакует врагов черной магией.
MSG_MAGIC_NAME_01	<IC_WMGC>Исцеление
MSG_MAGIC_NAME_02	<IC_WMGC>Диа
MSG_MAGIC_NAME_03	<IC_WMGC>Защита
MSG_MAGIC_NAME_04	<IC_WMGC>Мерцание
MSG_MAGIC_NAME_05	<IC_WMGC>Антислепота
MSG_MAGIC_NAME_06	<IC_WMGC>Немота
MSG_MAGIC_NAME_07	<IC_WMGC>Антишок
MSG_MAGIC_NAME_08	<IC_WMGC>Невидимость
MSG_MAGIC_NAME_09	<IC_WMGC>Исцеление 1
MSG_MAGIC_NAME_10	<IC_WMGC>Диа 1
MSG_MAGIC_NAME_11	<IC_WMGC>Антипламя
MSG_MAGIC_NAME_12	<IC_WMGC>Лечение
MSG_MAGIC_NAME_13	<IC_WMGC>Антияд
MSG_MAGIC_NAME_14	<IC_WMGC>Страх
MSG_MAGIC_NAME_15	<IC_WMGC>Антихолод
MSG_MAGIC_NAME_16	<IC_WMGC>Голос
MSG_MAGIC_NAME_17	<IC_WMGC>Исцеление 2
MSG_MAGIC_NAME_18	<IC_WMGC>Оживление
MSG_MAGIC_NAME_19	<IC_WMGC>Диа 2
MSG_MAGIC_NAME_20	<IC_WMGC>Лечение 1
MSG_MAGIC_NAME_21	<IC_WMGC>Антиокаменение
MSG_MAGIC_NAME_22	<IC_WMGC>Побег
MSG_MAGIC_NAME_23	<IC_WMGC>Защита 1
MSG_MAGIC_NAME_24	<IC_WMGC>Невидимость 1
MSG_MAGIC_NAME_25	<IC_WMGC>Исцеление 3
MSG_MAGIC_NAME_26	<IC_WMGC>Диа 3
MSG_MAGIC_NAME_27	<IC_WMGC>Антисмерть
MSG_MAGIC_NAME_28	<IC_WMGC>Лечение 2
MSG_MAGIC_NAME_29	<IC_WMGC>Воскрешение
MSG_MAGIC_NAME_30	<IC_WMGC>Свет
MSG_MAGIC_NAME_31	<IC_WMGC>Антимагия
MSG_MAGIC_NAME_32	<IC_WMGC>Рассеивание
MSG_MAGIC_NAME_33	<IC_BMGC>Искра
MSG_MAGIC_NAME_34	<IC_BMGC>Сон
MSG_MAGIC_NAME_35	<IC_BMGC>Фокус
MSG_MAGIC_NAME_36	<IC_BMGC>Вспышка
MSG_MAGIC_NAME_37	<IC_BMGC>Метель
MSG_MAGIC_NAME_38	<IC_BMGC>Тьма
MSG_MAGIC_NAME_39	<IC_BMGC>Мощь
MSG_MAGIC_NAME_40	<IC_BMGC>Замедление
MSG_MAGIC_NAME_41	<IC_BMGC>Пламя
MSG_MAGIC_NAME_42	<IC_BMGC>Хватка
MSG_MAGIC_NAME_43	<IC_BMGC>Молния
MSG_MAGIC_NAME_44	<IC_BMGC>Фокус 1
MSG_MAGIC_NAME_45	<IC_BMGC>Сон 1
MSG_MAGIC_NAME_46	<IC_BMGC>Ускорение
MSG_MAGIC_NAME_47	<IC_BMGC>Замешательство
MSG_MAGIC_NAME_48	<IC_BMGC>Буран
MSG_MAGIC_NAME_49	<IC_BMGC>Пожар
MSG_MAGIC_NAME_50	<IC_BMGC>Кара
MSG_MAGIC_NAME_51	<IC_BMGC>Телепорт
MSG_MAGIC_NAME_52	<IC_BMGC>Замедление 1
MSG_MAGIC_NAME_53	<IC_BMGC>Гроза
MSG_MAGIC_NAME_54	<IC_BMGC>Гибель
MSG_MAGIC_NAME_55	<IC_BMGC>Землетрясение
MSG_MAGIC_NAME_56	<IC_BMGC>Оглушение
MSG_MAGIC_NAME_57	<IC_BMGC>Вьюга
MSG_MAGIC_NAME_58	<IC_BMGC>Изваяние
MSG_MAGIC_NAME_59	<IC_BMGC>Сабля
MSG_MAGIC_NAME_60	<IC_BMGC>Слепота
MSG_MAGIC_NAME_61	<IC_BMGC>Всполох
MSG_MAGIC_NAME_62	<IC_BMGC>Остановка
MSG_MAGIC_NAME_63	<IC_BMGC>Перемещение
MSG_MAGIC_NAME_64	<IC_BMGC>Убийство
MSG_MAG_INF_01	Восстанавливает немного здоровья одному союзнику.
MSG_MAG_INF_02	Наносит урон всей нежити.
MSG_MAG_INF_03	Увеличивает защиту одного союзника.
MSG_MAG_INF_04	Увеличивает уклонение заклинателя.
MSG_MAG_INF_05	Разгоняет тьму.
MSG_MAG_INF_06	Накладывает немоту на всех врагов.
MSG_MAG_INF_07	Вдвое снижает получаемый всем отрядом урон от молний.
MSG_MAG_INF_08	Увеличивает уклонение одного союзника.
MSG_MAG_INF_09	Восстанавливает здоровье одному союзнику.
MSG_MAG_INF_10	Наносит урон всей нежити.
MSG_MAG_INF_11	Вдвое снижает получаемый всем отрядом огненный урон.
MSG_MAG_INF_12	Восстанавливает немного здоровья всему отряду.
MSG_MAG_INF_13	Исцеляет отравление.
MSG_MAG_INF_14	Насылает на всех врагов ужас.
MSG_MAG_INF_15	Вдвое снижает получаемый всем отрядом ледяной урон.
MSG_MAG_INF_16	Исцеляет немоту.
MSG_MAG_INF_17	Восстанавливает много здоровья одному союзнику.
MSG_MAG_INF_18	Приводит в чувство одного павшего союзника.
MSG_MAG_INF_19	Наносит урон всей нежити.
MSG_MAG_INF_20	Восстанавливает здоровье всему отряду.
MSG_MAG_INF_21	Исцеляет окаменение.
MSG_MAG_INF_22	Телепортирует отряд из подземелья.
MSG_MAG_INF_23	Увеличивает защиту отряда.
MSG_MAG_INF_24	Увеличивает уклонение отряда.
MSG_MAG_INF_25	Полностью восстанавливает здоровье одному союзнику и избавляет от некоторых негативных эффектов.
MSG_MAG_INF_26	Наносит урон всей нежити.
MSG_MAG_INF_27	Улучшает защиту отряда от мгновенной смерти.
MSG_MAG_INF_28	Восстанавливает много здоровья всему отряду.
MSG_MAG_INF_29	Приводит в чувство союзника и полностью восстанавливает ему здоровье.
MSG_MAG_INF_30	Наносит всем врагам урон божественным светом.
MSG_MAG_INF_31	Вдвое снижает урон от заклинаний.
MSG_MAG_INF_32	Снимает магическую защиту одного врага.
MSG_MAG_INF_33	Наносит огненный урон одному врагу.
MSG_MAG_INF_34	Усыпляет всех врагов.
MSG_MAG_INF_35	Снижает уклонение одного врага.
MSG_MAG_INF_36	Наносит урон молниями одному врагу.
MSG_MAG_INF_37	Наносит ледяной урон одному врагу.
MSG_MAG_INF_38	Погружает всех врагов в непроглядную тьму.
MSG_MAG_INF_39	Увеличивает атаку одного союзника.
MSG_MAG_INF_40	Замедляет всех врагов, снижая число их атак.
MSG_MAG_INF_41	Наносит огненный урон всем врагам.
MSG_MAG_INF_42	Парализует одного врага.
MSG_MAG_INF_43	Наносит урон молниями всем врагам.
MSG_MAG_INF_44	Снижает уклонение всех врагов.
MSG_MAG_INF_45	Погружает в сон одного врага.
MSG_MAG_INF_46	Ускоряет одного союзника, удваивая число его атак.
MSG_MAG_INF_47	Заставляет врагов атаковать друг друга.
MSG_MAG_INF_48	Наносит ледяной урон всем врагам.
MSG_MAG_INF_49	Наносит огненный урон всем врагам.
MSG_MAG_INF_50	Мгновенно убивает всех врагов.
MSG_MAG_INF_51	Переносит отряд на предыдущий этаж.
MSG_MAG_INF_52	Замедляет одного врага, снижая число его атак.
MSG_MAG_INF_53	Наносит урон молниями всем врагам.
MSG_MAG_INF_54	Мгновенно убивает одного врага.
MSG_MAG_INF_55	Вызывает землетрясение, которое поглощает врагов.
MSG_MAG_INF_56	Парализует одного врага.
MSG_MAG_INF_57	Наносит ледяной урон всем врагам.
MSG_MAG_INF_58	Превращает одного врага в камень.
MSG_MAG_INF_59	Увеличивает атаку и точность заклинателя.
