MSG_JOB_NAME_01	นักรบ
MSG_JOB_NAME_02	ขโมย
MSG_JOB_NAME_03	พระ
MSG_JOB_NAME_04	พ่อมดแดง
MSG_JOB_NAME_05	พ่อมดขาว
MSG_JOB_NAME_06	พ่อมดดำ
MSG_JOB_NAME_07	อัศวิน
MSG_JOB_NAME_08	นินจา
MSG_JOB_NAME_09	ปรมาจารย์
MSG_JOB_NAME_10	จอมเวทแดง
MSG_JOB_NAME_11	จอมเวทขาว
MSG_JOB_NAME_12	จอมเวทดำ
MSG_JOB_INF_01	สามารถสวมใส่อาวุธและเกราะได้หลายรูปแบบ
MSG_JOB_INF_02	เข้าจู่โจมศัตรูได้อย่างปราดเปรียวว่องไว
MSG_JOB_INF_03	เชี่ยวชาญการต่อสู้ด้วยมือเปล่า
MSG_JOB_INF_04	เชี่ยวชาญทั้งมนตร์ดำและมนตร์ขาว
MSG_JOB_INF_05	ใช้มนตร์ขาวเพื่อช่วยเหลือทีม
MSG_JOB_INF_06	ใช้มนตร์ดำทำลายศัตรู
MSG_MAGIC_NAME_01	<IC_WMGC>เยียวยา
MSG_MAGIC_NAME_02	<IC_WMGC>เดีย
MSG_MAGIC_NAME_03	<IC_WMGC>โพรเทก
MSG_MAGIC_NAME_04	<IC_WMGC>บลิ๊งค์
MSG_MAGIC_NAME_05	<IC_WMGC>บลายด์น่า
MSG_MAGIC_NAME_06	<IC_WMGC>ใบ้
MSG_MAGIC_NAME_07	<IC_WMGC>นัลช็อก
MSG_MAGIC_NAME_08	<IC_WMGC>อินวิส
MSG_MAGIC_NAME_09	<IC_WMGC>คูร่า
MSG_MAGIC_NAME_10	<IC_WMGC>เดียร่า
MSG_MAGIC_NAME_11	<IC_WMGC>นัลเบลซ
MSG_MAGIC_NAME_12	<IC_WMGC>รักษา
MSG_MAGIC_NAME_13	<IC_WMGC>พอยโซน่า
MSG_MAGIC_NAME_14	<IC_WMGC>เฟียร์
MSG_MAGIC_NAME_15	<IC_WMGC>นัลฟรอสต์
MSG_MAGIC_NAME_16	<IC_WMGC>ว็อกซ์
MSG_MAGIC_NAME_17	<IC_WMGC>คูราก้า
MSG_MAGIC_NAME_18	<IC_WMGC>ไลฟ์
MSG_MAGIC_NAME_19	<IC_WMGC>เดียก้า
MSG_MAGIC_NAME_20	<IC_WMGC>ฮีลาร่า
MSG_MAGIC_NAME_21	<IC_WMGC>สโตน่า
MSG_MAGIC_NAME_22	<IC_WMGC>เอ็กซิต
MSG_MAGIC_NAME_23	<IC_WMGC>โปรเทร่า
MSG_MAGIC_NAME_24	<IC_WMGC>อินวิซิร่า
MSG_MAGIC_NAME_25	<IC_WMGC>คูราจา
MSG_MAGIC_NAME_26	<IC_WMGC>เดียจา
MSG_MAGIC_NAME_27	<IC_WMGC>นัลเดธ
MSG_MAGIC_NAME_28	<IC_WMGC>ฮีลาก้า
MSG_MAGIC_NAME_29	<IC_WMGC>ฟูลไลฟ์
MSG_MAGIC_NAME_30	<IC_WMGC>โฮลี่
MSG_MAGIC_NAME_31	<IC_WMGC>นัลออล
MSG_MAGIC_NAME_32	<IC_WMGC>ดิสเปล
MSG_MAGIC_NAME_33	<IC_BMGC>ไฟ
MSG_MAGIC_NAME_34	<IC_BMGC>สลีป
MSG_MAGIC_NAME_35	<IC_BMGC>โฟกัส
MSG_MAGIC_NAME_36	<IC_BMGC>ธันเดอร์
MSG_MAGIC_NAME_37	<IC_BMGC>บลิซซาร์ด
MSG_MAGIC_NAME_38	<IC_BMGC>ดาร์ก
MSG_MAGIC_NAME_39	<IC_BMGC>เทมเปอร์
MSG_MAGIC_NAME_40	<IC_BMGC>สโลว์
MSG_MAGIC_NAME_41	<IC_BMGC>ไฟร่า
MSG_MAGIC_NAME_42	<IC_BMGC>โฮลด์
MSG_MAGIC_NAME_43	<IC_BMGC>ธันดาร่า
MSG_MAGIC_NAME_44	<IC_BMGC>โฟการ่า
MSG_MAGIC_NAME_45	<IC_BMGC>สลีปร่า
MSG_MAGIC_NAME_46	<IC_BMGC>เฮส
MSG_MAGIC_NAME_47	<IC_BMGC>คอนฟิวส์
MSG_MAGIC_NAME_48	<IC_BMGC>บลิซซาร่า
