MSG_JOB_NAME_01	战士
MSG_JOB_NAME_02	盗贼
MSG_JOB_NAME_03	武僧
MSG_JOB_NAME_04	赤魔法师
MSG_JOB_NAME_05	白魔法师
MSG_JOB_NAME_06	黑魔法师
MSG_JOB_NAME_07	骑士
MSG_JOB_NAME_08	忍者
MSG_JOB_NAME_09	高僧
MSG_JOB_NAME_10	赤魔导师
MSG_JOB_NAME_11	白魔导师
MSG_JOB_NAME_12	黑魔导师
MSG_JOB_INF_01	可以装备各式武器与防具的职业
MSG_JOB_INF_02	用灵巧的动作将敌人玩弄于股掌间的职业
MSG_JOB_INF_03	擅长使用空手战斗的职业
MSG_JOB_INF_04	能够同时学习白魔法与黑魔法的职业
MSG_JOB_INF_05	擅长使用白魔法辅助战斗的职业
MSG_JOB_INF_06	擅长使用黑魔法对敌人造成伤害的职业
MSG_MAGIC_NAME_01	<IC_WMGC>治疗
MSG_MAGIC_NAME_02	<IC_WMGC>天辉
MSG_MAGIC_NAME_03	<IC_WMGC>护盾
MSG_MAGIC_NAME_04	<IC_WMGC>闪躲
MSG_MAGIC_NAME_05	<IC_WMGC>复明
MSG_MAGIC_NAME_06	<IC_WMGC>沉默
MSG_MAGIC_NAME_07	<IC_WMGC>抗雷
MSG_MAGIC_NAME_08	<IC_WMGC>隐身
MSG_MAGIC_NAME_09	<IC_WMGC>救疗
MSG_MAGIC_NAME_10	<IC_WMGC>天烨
MSG_MAGIC_NAME_11	<IC_WMGC>抗火
MSG_MAGIC_NAME_12	<IC_WMGC>群疗
MSG_MAGIC_NAME_13	<IC_WMGC>解毒
MSG_MAGIC_NAME_14	<IC_WMGC>恐吓
MSG_MAGIC_NAME_15	<IC_WMGC>抗寒
MSG_MAGIC_NAME_16	<IC_WMGC>发声
MSG_MAGIC_NAME_17	<IC_WMGC>康疗
MSG_MAGIC_NAME_18	<IC_WMGC>复活
MSG_MAGIC_NAME_19	<IC_WMGC>天炫
MSG_MAGIC_NAME_20	<IC_WMGC>群救
MSG_MAGIC_NAME_21	<IC_WMGC>解石
MSG_MAGIC_NAME_22	<IC_WMGC>脱出
MSG_MAGIC_NAME_23	<IC_WMGC>群护盾
MSG_MAGIC_NAME_24	<IC_WMGC>群隐身
MSG_MAGIC_NAME_25	<IC_WMGC>愈疗
MSG_MAGIC_NAME_26	<IC_WMGC>天焕
MSG_MAGIC_NAME_27	<IC_WMGC>抗死
MSG_MAGIC_NAME_28	<IC_WMGC>群愈
MSG_MAGIC_NAME_29	<IC_WMGC>完全复活
MSG_MAGIC_NAME_30	<IC_WMGC>神圣
MSG_MAGIC_NAME_31	<IC_WMGC>抗魔
MSG_MAGIC_NAME_32	<IC_WMGC>驱魔
MSG_MAGIC_NAME_33	<IC_BMGC>火炎
MSG_MAGIC_NAME_34	<IC_BMGC>催眠
MSG_MAGIC_NAME_35	<IC_BMGC>集中
MSG_MAGIC_NAME_36	<IC_BMGC>闪雷
MSG_MAGIC_NAME_37	<IC_BMGC>冰结
MSG_MAGIC_NAME_38	<IC_BMGC>黑暗
MSG_MAGIC_NAME_39	<IC_BMGC>强打
MSG_MAGIC_NAME_40	<IC_BMGC>减速
MSG_MAGIC_NAME_41	<IC_BMGC>烈炎
MSG_MAGIC_NAME_42	<IC_BMGC>停顿
MSG_MAGIC_NAME_43	<IC_BMGC>震雷
MSG_MAGIC_NAME_44	<IC_BMGC>中集中
MSG_MAGIC_NAME_45	<IC_BMGC>中催眠
MSG_MAGIC_NAME_46	<IC_BMGC>加速
MSG_MAGIC_NAME_47	<IC_BMGC>混乱
MSG_MAGIC_NAME_48	<IC_BMGC>冰冻
MSG_MAGIC_NAME_49	<IC_BMGC>爆炎
MSG_MAGIC_NAME_50	<IC_BMGC>毒雾
MSG_MAGIC_NAME_51	<IC_BMGC>传送
MSG_MAGIC_NAME_52	<IC_BMGC>中减速
MSG_MAGIC_NAME_53	<IC_BMGC>暴雷
MSG_MAGIC_NAME_54	<IC_BMGC>即死
MSG_MAGIC_NAME_55	<IC_BMGC>地震
MSG_MAGIC_NAME_56	<IC_BMGC>眩晕
MSG_MAGIC_NAME_57	<IC_BMGC>冰封
MSG_MAGIC_NAME_58	<IC_BMGC>石化
MSG_MAGIC_NAME_59	<IC_BMGC>勇猛
MSG_MAGIC_NAME_60	<IC_BMGC>失明
MSG_MAGIC_NAME_61	<IC_BMGC>核爆
MSG_MAGIC_NAME_62	<IC_BMGC>停止
MSG_MAGIC_NAME_63	<IC_BMGC>异次元
MSG_MAGIC_NAME_64	<IC_BMGC>诛杀
MSG_MAG_INF_01	恢复我方一名成员的少量ＨＰ
MSG_MAG_INF_02	对全体不死系敌人造成伤害
MSG_MAG_INF_03	提高我方一名成员的防御力
MSG_MAG_INF_04	提高自己的回避率
MSG_MAG_INF_05	令我方一名成员从失明状态中恢复
MSG_MAG_INF_06	令全体敌人变为沉默状态
MSG_MAG_INF_07	使我方全体成员受到的雷属性伤害减半
MSG_MAG_INF_08	提高我方一名成员的回避率
MSG_MAG_INF_09	恢复我方一名成员的ＨＰ
MSG_MAG_INF_10	对全体不死系敌人造成伤害
MSG_MAG_INF_11	使我方全体成员受到的火属性伤害减半
MSG_MAG_INF_12	恢复我方全体成员的ＨＰ
MSG_MAG_INF_13	令我方一名成员从毒状态中恢复
MSG_MAG_INF_14	令全体敌人感到恐惧
MSG_MAG_INF_15	使我方全体成员受到的冰属性伤害减半
MSG_MAG_INF_16	令我方一名成员从沉默状态中恢复
MSG_MAG_INF_17	恢复我方一名成员的ＨＰ
MSG_MAG_INF_18	令我方一名成员从无法战斗状态中恢复
MSG_MAG_INF_19	对全体不死系敌人造成伤害
MSG_MAG_INF_20	恢复我方全体成员的ＨＰ
MSG_MAG_INF_21	令我方一名成员从石化状态中恢复
MSG_MAG_INF_22	在迷宫中时可以瞬间传送到迷宫之外
MSG_MAG_INF_23	提高我方全体成员的防御力
MSG_MAG_INF_24	提高我方全体成员的回避率
MSG_MAG_INF_25	完全恢复我方一名成员的ＨＰ并消除部分异常状态
MSG_MAG_INF_26	对全体不死系敌人造成伤害
MSG_MAG_INF_27	使我方全体成员能够有效回避敌人的即死攻击
MSG_MAG_INF_28	恢复我方全体成员的ＨＰ
MSG_MAG_INF_29	令我方一名成员从无法战斗状态中恢复并完全恢复ＨＰ
MSG_MAG_INF_30	以神圣之光对全体敌人造成伤害
MSG_MAG_INF_31	令我方一名成员受到的所有魔法伤害都减半
MSG_MAG_INF_32	消除单体敌人的魔法防御
MSG_MAG_INF_33	用火焰对单体敌人造成伤害
MSG_MAG_INF_34	令全体敌人变为睡眠状态
MSG_MAG_INF_35	令单体敌人的动作变简单　降低回避率
MSG_MAG_INF_36	用闪电对单体敌人造成伤害
MSG_MAG_INF_37	用冷气对单体敌人造成伤害
MSG_MAG_INF_38	令全体敌人变为失明状态
MSG_MAG_INF_39	提高我方一名成员的攻击力
MSG_MAG_INF_40	降低全体敌人的速度　减少攻击次数
MSG_MAG_INF_41	用火焰对全体敌人造成伤害
MSG_MAG_INF_42	令单体敌人变为麻痹状态
MSG_MAG_INF_43	用闪电对全体敌人造成伤害
MSG_MAG_INF_44	令全体敌人的动作变简单　降低回避率
MSG_MAG_INF_45	令单体敌人变为睡眠状态
MSG_MAG_INF_46	提高我方一名成员的速度　攻击次数变为２倍
MSG_MAG_INF_47	扰乱全体敌人的内心　令其变为混乱状态
MSG_MAG_INF_48	用冷气对全体敌人造成伤害
MSG_MAG_INF_49	用火焰对全体敌人造成伤害
MSG_MAG_INF_50	用毒雾瞬杀全体敌人
MSG_MAG_INF_51	在迷宫中时可以瞬间传送到前一层迷宫
MSG_MAG_INF_52	降低单体敌人的速度　减少攻击次数
MSG_MAG_INF_53	用闪电对全体敌人造成伤害
MSG_MAG_INF_54	令单体敌人即死
MSG_MAG_INF_55	大地分裂吞噬全体敌人
MSG_MAG_INF_56	令单体敌人变为麻痹状态
MSG_MAG_INF_57	用冷气对全体敌人造成伤害
MSG_MAG_INF_58	令单体敌人变为石化状态
MSG_MAG_INF_59	提高自己的攻击力和命中率
MSG_MAG_INF_60	令单体敌人变为失明状态
MSG_MAG_INF_61	用强光和高热对全体敌人造成伤害
MSG_MAG_INF_62	停止全体敌人的时间　令其变为麻痹状态
MSG_MAG_INF_63	将全体敌人投入异次元之中
MSG_MAG_INF_64	令单体敌人即死
MSG_ITEM_NAME_01	<IC_DRAG>恢复药
MSG_ITEM_NAME_02	<IC_BAG>解毒药
MSG_ITEM_NAME_03	<IC_BAG>金针
MSG_ITEM_NAME_04	<IC_TENTO>睡袋
MSG_ITEM_NAME_05	<IC_TENTO>帐篷
MSG_ITEM_NAME_06	<IC_TENTO>小屋
MSG_ITEM_NAME_07	<IC_DRAG>高级恢复药
MSG_ITEM_NAME_08	<IC_DRAG>特级恢复药
MSG_ITEM_NAME_09	<IC_DRAG>以太药
MSG_ITEM_NAME_11	<IC_DRAG>特级以太药
MSG_ITEM_NAME_12	<IC_DRAG>圣灵药
MSG_ITEM_NAME_14	<IC_BAG>不死鸟之尾
MSG_ITEM_NAME_15	<IC_BAG>万能药
MSG_ITEM_NAME_16	<IC_BAG>眼药
MSG_ITEM_NAME_17	<IC_BAG>山彦草
MSG_ITEM_NAME_39	<IC_BAG>力量之药
MSG_ITEM_NAME_40	<IC_BAG>巨人之药
MSG_ITEM_NAME_42	<IC_BAG>守护之饮
MSG_ITEM_NAME_43	<IC_BAG>速度之饮
MSG_ITEM_INF_01	恢复５０ＨＰ
MSG_ITEM_INF_02	治疗毒状态
MSG_ITEM_INF_03	治疗石化状态
MSG_ITEM_INF_04	少量恢复全体人员的ＨＰ\n只能在大地图上使用
MSG_ITEM_INF_05	少量恢复全体人员的ＨＰ和ＭＰ\n只能在大地图上使用
MSG_ITEM_INF_06	完全恢复全体人员的ＨＰ和ＭＰ\n只能在大地图上使用
MSG_ITEM_INF_07	恢复１５０ＨＰ
MSG_ITEM_INF_08	恢复全部ＨＰ
MSG_ITEM_INF_09	ＭＰ随魔法等级恢复，每级恢复１次
MSG_ITEM_INF_11	ＭＰ随魔法等级恢复，每级恢复５次
MSG_ITEM_INF_12	恢复全部ＨＰ和ＭＰ
MSG_ITEM_INF_14	治疗无法战斗状态
MSG_ITEM_INF_15	治疗除无法战斗和石化以外的异常状态
MSG_ITEM_INF_16	治疗失明状态
MSG_ITEM_INF_17	治疗沉默状态
MSG_ITEM_INF_39	战斗中一定时间内提高攻击力
MSG_ITEM_INF_40	战斗中一定时间内提高最大ＨＰ
MSG_ITEM_INF_42	战斗中一定时间内提高防御力
MSG_ITEM_INF_43	战斗中一定时间内提高速度
MSG_WEAPON_NAME_01	<IC_NIF>匕首
MSG_WEAPON_NAME_02	<IC_WND>法杖
MSG_WEAPON_NAME_03	<IC_WND>治愈之杖
MSG_WEAPON_NAME_04	<IC_NIF>短剑
MSG_WEAPON_NAME_05	<IC_HMR>大锤
MSG_WEAPON_NAME_06	<IC_SRD>细剑
MSG_WEAPON_NAME_07	<IC_KTN>弯刀
MSG_WEAPON_NAME_08	<IC_NIF>秘银匕首
MSG_WEAPON_NAME_09	<IC_NCK>双节棍
MSG_WEAPON_NAME_10	<IC_WND>力量之杖
MSG_WEAPON_NAME_11	<IC_HMR>秘银锤
MSG_WEAPON_NAME_12	<IC_WND>魔术之杖
MSG_WEAPON_NAME_13	<IC_SRD>佩剑
MSG_WEAPON_NAME_14	<IC_WND>锡杖
MSG_WEAPON_NAME_15	<IC_KTN>弯刃大刀
MSG_WEAPON_NAME_16	<IC_SRD>宽刃剑
MSG_WEAPON_NAME_17	<IC_WND>魔导师之杖
MSG_WEAPON_NAME_18	<IC_NCK>铁双节棍
