id,script_name
1,sc_ai_006_WinterWolf
2,sc_ai_008_FireLizard
3,sc_ai_009_Basilisk
4,sc_ai_020_Bigeyes
5,sc_ai_021_Deepeyes
6,sc_ai_027_Hellhound
7,sc_ai_030_OgreMage
8,sc_ai_049_SandWorm
9,sc_ai_051_EvilEye
10,sc_ai_052_DeathEye
11,sc_ai_056_Rakshasa
12,sc_ai_061_Vampire
13,sc_ai_062_VampireLord
14,sc_ai_064_HornedDevil
15,sc_ai_067_WhiteDragon
16,sc_ai_068_RedDragon
17,sc_ai_076_Manticore
18,sc_ai_083_Pyrolisk
19,sc_ai_095_FireHydra
20,sc_ai_100_WaterNaga
21,sc_ai_101_SpiritNaga
22,sc_ai_102_Chimera
23,sc_ai_103_Rhyos
24,sc_ai_105_Mindflayer
25,sc_ai_107_GreenDragon
26,sc_ai_108_Blue Dragon
27,sc_ai_109_ClayGolem
28,sc_ai_110_StoneGolem
29,sc_ai_111_IronGolem
30,sc_ai_113_DeathKnight
31,sc_ai_114_Astos
32,sc_ai_115_DarkWizard
33,sc_ai_116_DarkFighter
34,sc_ai_118_Nightmare
35,sc_ai_119_Warmech
36,sc_ai_120_Lich
37,sc_ai_121_Lich
38,sc_ai_122_Marilith
39,sc_ai_123_Marilith
40,sc_ai_124_Kraken
41,sc_ai_125_Kraken
42,sc_ai_126_Tiamat
43,sc_ai_127_Tiamat
44,sc_ai_128_Chaos
45,sc_ai_001_Goblin
46,sc_ai_025_Crawler
47,sc_ai_054_EarthMedusa
48,sc_ai_082_Cockatrice
49,sc_ai_016_Pirate
