id,battle_background_asset_id,battle_bgm_asset_id,appearance_production,script_name,battle_pattern1,battle_pattern2,battle_pattern3,battle_pattern4,battle_pattern5,battle_pattern6,not_escape,battle_flag_group_id,get_value,get_ap,monster1,monster1_x_position,monster1_y_position,monster1_group,monster2,monster2_x_position,monster2_y_position,monster2_group,monster3,monster3_x_position,monster3_y_position,monster3_group,monster4,monster4_x_position,monster4_y_position,monster4_group,monster5,monster5_x_position,monster5_y_position,monster5_group,monster6,monster6_x_position,monster6_y_position,monster6_group,monster7,monster7_x_position,monster7_y_position,monster7_group,monster8,monster8_x_position,monster8_y_position,monster8_group,monster9,monster9_x_position,monster9_y_position,monster9_group
1,1,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,1,25,10,1,1,25,10,1,0,25,10,1,1,25,10,1,1,25,10,1,1,25,10,1
2,1,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,1,25,10,1,0,25,10,1,1,25,10,1,1,25,10,1,1,25,10,1
3,1,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,1,25,10,1,1,25,10,1,1,25,10,1
4,17,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,22,25,10,1,0,25,10,1,22,25,10,1,22,25,10,1,22,25,10,1
5,1,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,22,25,10,1,22,25,10,1,22,25,10,1
6,17,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,22,25,10,1,22,25,10,1,0,25,10,1
7,17,77,1,0,1,0,0,0,1,1,0,0,0,0,1,25,10,1,4,25,10,1,1,25,10,1,3,25,10,1,3,25,10,1,4,25,10,1,2,25,10,1,2,25,10,1,2,25,10,1
8,17,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,1,25,10,1,4,25,10,1,0,25,10,1,2,25,10,1,2,25,10,1,3,25,10,1
9,1,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,2,25,10,1,0,25,10,1
10,1,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,3,25,10,1,3,25,10,1,0,25,10,1
11,1,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,3,25,10,1,0,25,10,1
12,17,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,44,25,10,1,0,25,10,1,44,25,10,1,44,25,10,1,44,25,10,1
13,1,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,44,25,10,1,44,25,10,1,44,25,10,1
14,17,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,44,25,10,1,44,25,10,1,0,25,10,1
15,17,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,74,25,10,1,74,25,10,1,0,25,10,1
16,17,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,74,25,10,1,0,25,10,1
17,1,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,117,25,10,1,0,25,10,1
18,17,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,24,25,10,1,24,25,10,1,0,25,10,1
19,17,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,24,25,10,1,0,25,10,1
20,17,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,45,25,10,1,0,25,10,1
21,1,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,7,25,10,1,0,25,10,1
22,28,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,40,25,10,1,0,25,10,1,40,25,10,1,40,25,10,1,40,25,10,1
23,28,77,1,0,1,0,0,0,1,1,0,0,0,0,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,0,25,10,1,40,25,10,1,40,25,10,1,40,25,10,1
