file,name,id,field,value,comment
weapon.csv,Empty,1,critical_rate,0,
weapon.csv,Knife,2,critical_rate,5,
weapon.csv,Dagger,3,critical_rate,5,
weapon.csv,Mythril Knife,4,critical_rate,5,
weapon.csv,Cat Claws,6,critical_rate,5,
weapon.csv,Rapier,10,critical_rate,10,
weapon.csv,Saber,11,critical_rate,10,
weapon.csv,Broadsword,12,critical_rate,5,
weapon.csv,Werebuster,13,critical_rate,5,
weapon.csv,Rune Blade,14,critical_rate,5,
weapon.csv,Wyrmkiller,15,critical_rate,10,
weapon.csv,Coral Sword,16,critical_rate,10,
weapon.csv,Longsword,17,critical_rate,5,
weapon.csv,Great Sword,18,critical_rate,5,
weapon.csv,Razer,19,critical_rate,10,
weapon.csv,Mythril Sword,20,critical_rate,5,
weapon.csv,Vorpal Sword,21,critical_rate,30,
weapon.csv,Flame Sword,22,critical_rate,5,
weapon.csv,Ice Brand,25,critical_rate,5,
weapon.csv,Defender,26,critical_rate,5,
weapon.csv,Sun Blade,28,critical_rate,5,
weapon.csv,Excalibur,31,critical_rate,5,
weapon.csv,Scimitar,35,critical_rate,5,
weapon.csv,Falchion,36,critical_rate,5,
weapon.csv,Sasuke's Blade,39,critical_rate,30,
weapon.csv,Masamune,42,critical_rate,10,
weapon.csv,Nunchaku,43,critical_rate,10,
weapon.csv,Iron Nunchaku,44,critical_rate,10,
weapon.csv,Battle Axe,45,critical_rate,3,
weapon.csv,Great Axe,46,critical_rate,3,
weapon.csv,Mythril Axe,48,critical_rate,4,
weapon.csv,Light Axe,49,critical_rate,3,
weapon.csv,Hammer,53,critical_rate,1,
weapon.csv,Mythril Hammer,54,critical_rate,1,
weapon.csv,Thor's Hammer,55,critical_rate,1,
weapon.csv,Staff,57,critical_rate,1,
weapon.csv,Healing Staff,58,critical_rate,1,
weapon.csv,Power Staff,59,critical_rate,1,
weapon.csv,Mage's Staff,60,critical_rate,1,
weapon.csv,Crosier,61,critical_rate,1,
weapon.csv,Wizard's Staff,62,critical_rate,1,
