MSG_JOB_NAME_01	Warrior
MSG_JOB_NAME_02	Thief
MSG_JOB_NAME_03	Monk
MSG_JOB_NAME_04	Red Mage
MSG_JOB_NAME_05	White Mage
MSG_JOB_NAME_06	Black Mage
MSG_JOB_NAME_07	Knight
MSG_JOB_NAME_08	Ninja
MSG_JOB_NAME_09	Master
MSG_JOB_NAME_10	Red Wizard
MSG_JOB_NAME_11	White Wizard
MSG_JOB_NAME_12	Black Wizard
MSG_JOB_INF_01	Can use a wide array of weapons and armor.
MSG_JOB_INF_02	Nimbly runs circles around opponents.
MSG_JOB_INF_03	Specializes in bare-knuckled attacks.
MSG_JOB_INF_04	Proficient in both black and white magic.
MSG_JOB_INF_05	Supports the party with white magic.
MSG_JOB_INF_06	Damages opponents with black magic.
MSG_MAGIC_NAME_01	<IC_WMGC>Cure
MSG_MAGIC_NAME_02	<IC_WMGC>Dia
MSG_MAGIC_NAME_03	<IC_WMGC>Protect
MSG_MAGIC_NAME_04	<IC_WMGC>Blink
MSG_MAGIC_NAME_05	<IC_WMGC>Blindna
MSG_MAGIC_NAME_06	<IC_WMGC>Silence
MSG_MAGIC_NAME_07	<IC_WMGC>NulShock
MSG_MAGIC_NAME_08	<IC_WMGC>Invis
MSG_MAGIC_NAME_09	<IC_WMGC>Cura
MSG_MAGIC_NAME_10	<IC_WMGC>Diara
MSG_MAGIC_NAME_11	<IC_WMGC>NulBlaze
MSG_MAGIC_NAME_12	<IC_WMGC>Heal
MSG_MAGIC_NAME_13	<IC_WMGC>Poisona
MSG_MAGIC_NAME_14	<IC_WMGC>Fear
MSG_MAGIC_NAME_15	<IC_WMGC>NulFrost
MSG_MAGIC_NAME_16	<IC_WMGC>Vox
MSG_MAGIC_NAME_17	<IC_WMGC>Curaga
MSG_MAGIC_NAME_18	<IC_WMGC>Life
MSG_MAGIC_NAME_19	<IC_WMGC>Diaga
MSG_MAGIC_NAME_20	<IC_WMGC>Healara
MSG_MAGIC_NAME_21	<IC_WMGC>Stona
MSG_MAGIC_NAME_22	<IC_WMGC>Exit
MSG_MAGIC_NAME_23	<IC_WMGC>Protera
MSG_MAGIC_NAME_24	<IC_WMGC>Invisira
MSG_MAGIC_NAME_25	<IC_WMGC>Curaja
MSG_MAGIC_NAME_26	<IC_WMGC>Diaja
MSG_MAGIC_NAME_27	<IC_WMGC>NulDeath
MSG_MAGIC_NAME_28	<IC_WMGC>Healaga
MSG_MAGIC_NAME_29	<IC_WMGC>Full-Life
MSG_MAGIC_NAME_30	<IC_WMGC>Holy
MSG_MAGIC_NAME_31	<IC_WMGC>NulAll
MSG_MAGIC_NAME_32	<IC_WMGC>Dispel
MSG_MAGIC_NAME_33	<IC_BMGC>Fire
MSG_MAGIC_NAME_34	<IC_BMGC>Sleep
MSG_MAGIC_NAME_35	<IC_BMGC>Focus
MSG_MAGIC_NAME_36	<IC_BMGC>Thunder
MSG_MAGIC_NAME_37	<IC_BMGC>Blizzard
MSG_MAGIC_NAME_38	<IC_BMGC>Dark
MSG_MAGIC_NAME_39	<IC_BMGC>Temper
MSG_MAGIC_NAME_40	<IC_BMGC>Slow
MSG_MAGIC_NAME_41	<IC_BMGC>Fira
MSG_MAGIC_NAME_42	<IC_BMGC>Hold
MSG_MAGIC_NAME_43	<IC_BMGC>Thundara
MSG_MAGIC_NAME_44	<IC_BMGC>Focara
MSG_MAGIC_NAME_45	<IC_BMGC>Sleepra
MSG_MAGIC_NAME_46	<IC_BMGC>Haste
MSG_MAGIC_NAME_47	<IC_BMGC>Confuse
MSG_MAGIC_NAME_48	<IC_BMGC>Blizzara
MSG_MAGIC_NAME_49	<IC_BMGC>Firaga
MSG_MAGIC_NAME_50	<IC_BMGC>Scourge
MSG_MAGIC_NAME_51	<IC_BMGC>Teleport
MSG_MAGIC_NAME_52	<IC_BMGC>Slowra
MSG_MAGIC_NAME_53	<IC_BMGC>Thundaga
MSG_MAGIC_NAME_54	<IC_BMGC>Death
MSG_MAGIC_NAME_55	<IC_BMGC>Quake
MSG_MAGIC_NAME_56	<IC_BMGC>Stun
MSG_MAGIC_NAME_57	<IC_BMGC>Blizzaga
MSG_MAGIC_NAME_58	<IC_BMGC>Break
MSG_MAGIC_NAME_59	<IC_BMGC>Saber
MSG_MAGIC_NAME_60	<IC_BMGC>Blind
MSG_MAGIC_NAME_61	<IC_BMGC>Flare
MSG_MAGIC_NAME_62	<IC_BMGC>Stop
MSG_MAGIC_NAME_63	<IC_BMGC>Warp
MSG_MAGIC_NAME_64	<IC_BMGC>Kill
MSG_MAG_INF_01	Restores a little HP to one ally.
MSG_MAG_INF_02	Deals damage to all undead enemies.
MSG_MAG_INF_03	Raises one ally's defense.
MSG_MAG_INF_04	Raises caster's evasion.
MSG_MAG_INF_05	Cures darkness.
MSG_MAG_INF_06	Casts silence on all enemies.
MSG_MAG_INF_07	Reduces lightning damage by half for the entire party.
MSG_MAG_INF_08	Raises one ally's evasion.
MSG_MAG_INF_09	Restores HP to one ally.
MSG_MAG_INF_10	Deals damage to all undead enemies.
MSG_MAG_INF_11	Reduces fire damage by half for the entire party.
MSG_MAG_INF_12	Restores a little HP to the entire party.
MSG_MAG_INF_13	Cures poison.
MSG_MAG_INF_14	Drives all enemies away in terror.
MSG_MAG_INF_15	Reduces ice damage by half for the entire party.
MSG_MAG_INF_16	Cures silence.
MSG_MAG_INF_17	Restores a lot of HP to one ally.
MSG_MAG_INF_18	Revives one KO'd ally.
MSG_MAG_INF_19	Deals damage to all undead enemies.
MSG_MAG_INF_20	Restores HP to the entire party.
MSG_MAG_INF_21	Cures stone.
MSG_MAG_INF_22	Transports the party out of dungeons.
MSG_MAG_INF_23	Raises the party's defense.
MSG_MAG_INF_24	Raises the party's evasion.
MSG_MAG_INF_25	Fully restores one ally's HP and cures some status effects.
MSG_MAG_INF_26	Deals damage to all undead enemies.
MSG_MAG_INF_27	Enhances the party's defense against instant death.
MSG_MAG_INF_28	Restores a lot of HP to the entire party.
MSG_MAG_INF_29	Revives one ally and fully restores HP.
MSG_MAG_INF_30	Damages all enemies with holy light.
MSG_MAG_INF_31	Reduces damage from spells by half.
MSG_MAG_INF_32	Negates one enemy's magical defenses.
MSG_MAG_INF_33	Deals fire damage to one enemy.
MSG_MAG_INF_34	Puts all enemies to sleep.
MSG_MAG_INF_35	Lowers one enemy's evasion.
MSG_MAG_INF_36	Deals lightning damage to one enemy.
MSG_MAG_INF_37	Deals ice damage to one enemy.
MSG_MAG_INF_38	Blinds all enemies with darkness.
MSG_MAG_INF_39	Raises one ally's attack.
MSG_MAG_INF_40	Reduces all enemies' number of attacks.
MSG_MAG_INF_41	Deals fire damage to all enemies.
MSG_MAG_INF_42	Paralyzes one enemy.
MSG_MAG_INF_43	Deals lightning damage to all enemies.
MSG_MAG_INF_44	Lowers evasion of all enemies.
MSG_MAG_INF_45	Puts one enemy to sleep.
MSG_MAG_INF_46	Doubles one ally's number of attacks.
MSG_MAG_INF_47	Causes enemies to turn on each other.
MSG_MAG_INF_48	Deals ice damage to all enemies.
MSG_MAG_INF_49	Deals fire damage to all enemies.
MSG_MAG_INF_50	Instantly kills all enemies.
MSG_MAG_INF_51	Transports the party to the previous floor.
MSG_MAG_INF_52	Reduces one enemy's number of attacks.
MSG_MAG_INF_53	Deals lightning damage to all enemies.
MSG_MAG_INF_54	Instantly kills one enemy.
MSG_MAG_INF_55	Calls an earthquake to swallow enemies.
MSG_MAG_INF_56	Paralyzes one enemy.
MSG_MAG_INF_57	Deals ice damage to all enemies.
MSG_MAG_INF_58	Petrifies one enemy.
MSG_MAG_INF_59	Raises caster's attack and accuracy.
MSG_MAG_INF_60	Blinds one enemy with darkness.
MSG_MAG_INF_61	Blasts all enemies with light and heat.
MSG_MAG_INF_62	Stops time and paralyzes all enemies.
MSG_MAG_INF_63	Banishes enemies to another dimension.
MSG_MAG_INF_64	Instantly kills one enemy.
MSG_ITEM_NAME_01	<IC_DRAG>Potion
MSG_ITEM_NAME_02	<IC_BAG>Antidote
MSG_ITEM_NAME_03	<IC_BAG>Gold Needle
MSG_ITEM_NAME_04	<IC_TENTO>Sleeping Bag
MSG_ITEM_NAME_05	<IC_TENTO>Tent
MSG_ITEM_NAME_06	<IC_TENTO>Cottage
MSG_ITEM_NAME_07	<IC_DRAG>Hi-Potion
MSG_ITEM_NAME_08	<IC_DRAG>X-Potion
MSG_ITEM_NAME_09	<IC_DRAG>Ether
MSG_ITEM_NAME_11	<IC_DRAG>Dry Ether
MSG_ITEM_NAME_12	<IC_DRAG>Elixir
MSG_ITEM_NAME_14	<IC_BAG>Phoenix Down
MSG_ITEM_NAME_15	<IC_BAG>Remedy
MSG_ITEM_NAME_16	<IC_BAG>Eye Drops
MSG_ITEM_NAME_17	<IC_BAG>Echo Grass
MSG_ITEM_NAME_39	<IC_BAG>Strength Tonic
MSG_ITEM_NAME_40	<IC_BAG>Giant's Tonic
