id,sort_id,ability_lv,ability_group_id,type_id,attribute_id,attribute_group_id,system_id,use_value,standard_value,adding_hit_rate,valid_hit_rate,weak_hit_rate,attack_count,accuracy_rate,Impact_status,use_job_group_id,condition_group_id,renge_id,menu_renge_id,battle_renge_id,content_flag_group_id,invalid_reflection,invalid_boss,resistance_attribute,battle_effect_asset_id,menu_se_asset_id,reaction_type,menu_function_group_id,battle_function_group_id,buy,sell,sales_not_possible,ability_wait,process_prog,data_a,data_b,data_c
1,1,0,0,4,0,0,3,0,0,0,0,0,0,10,0,13,0,3,3,3,0,0,0,0,0,0,1,0,2,0,0,0,0,None,0,0,0
2,2,0,0,5,0,0,2,0,0,0,0,0,0,10,0,13,0,5,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,None,0,0,0
3,3,0,0,6,0,0,2,0,0,0,0,0,0,10,0,13,0,5,5,5,0,0,0,0,0,0,0,0,4,0,0,0,0,None,0,0,0
4,4,0,0,8,0,0,2,0,0,0,0,0,0,10,0,13,0,5,5,5,0,0,0,0,0,0,0,0,7,0,0,0,0,None,0,0,0
5,5,1,1,1,0,0,1,1,16,0,0,0,0,10,0,42,4,1,1,1,0,0,0,0,3,203,0,9,9,50,0,0,0,None,0,0,0
6,6,1,1,1,0,0,2,1,0,0,0,0,0,10,0,42,4,1,1,1,0,0,0,0,12,0,0,0,39,50,0,0,0,None,0,0,0
7,7,1,1,1,9,0,3,1,20,24,0,0,0,10,0,27,4,4,4,4,0,0,0,0,6,0,0,0,10,50,0,0,0,None,0,0,0
8,8,1,1,1,0,0,2,1,0,0,0,0,0,10,0,43,4,5,5,5,0,0,0,0,14,0,0,0,29,50,0,0,0,None,0,0,0
9,9,1,1,2,1,0,3,1,10,24,0,40,0,10,0,44,4,3,3,3,0,0,0,0,30,0,0,0,10,50,0,0,0,None,0,0,0
10,10,1,1,2,0,0,5,1,0,64,0,0,0,10,0,44,4,3,3,3,0,0,0,0,41,0,0,0,48,50,0,0,0,None,0,0,0
11,11,1,1,2,5,0,5,1,0,24,0,40,0,10,0,44,4,4,4,4,0,0,0,0,39,0,0,0,45,50,0,0,0,None,0,0,0
12,12,1,1,2,3,0,3,1,10,24,0,40,0,10,0,44,4,3,3,3,0,0,0,0,33,0,0,0,10,50,0,0,0,None,0,0,0
13,13,2,1,1,0,0,2,1,0,0,0,0,0,10,0,42,4,1,1,1,0,0,0,0,22,0,0,0,30,250,0,0,0,None,0,0,0
14,14,2,1,1,0,0,5,1,0,64,0,40,0,10,0,42,4,4,4,4,0,0,0,0,16,0,0,0,32,250,0,0,0,None,0,0,0
15,15,2,1,1,0,0,1,1,0,0,0,0,0,10,0,42,4,1,1,1,0,0,0,0,15,353,0,0,11,250,0,0,0,None,0,0,0
16,16,2,1,1,0,0,2,1,0,0,0,0,0,10,0,42,4,2,2,2,0,0,0,0,18,0,0,0,36,250,0,0,0,None,0,0,0
17,17,2,1,2,2,0,3,1,20,24,0,40,0,10,0,44,4,3,3,3,0,0,0,0,36,0,0,0,10,250,0,0,0,None,0,0,0
18,18,2,1,2,0,0,2,1,0,0,0,0,0,10,0,44,4,1,1,1,0,0,0,0,43,0,0,0,41,250,0,0,0,None,0,0,0
19,19,2,1,2,5,0,5,1,0,24,0,40,0,10,0,44,4,4,4,4,0,0,0,0,55,0,0,0,6,250,0,0,0,None,0,0,0
20,20,2,1,2,5,0,5,1,0,64,0,40,0,10,0,44,4,4,4,4,0,0,0,0,44,0,0,0,47,250,0,0,0,None,0,0,0
21,21,3,1,1,0,0,1,1,33,0,0,0,0,10,0,42,4,1,1,1,0,0,0,0,145,204,0,65,65,1000,0,0,0,None,0,0,0
22,22,3,1,1,0,0,2,1,0,0,0,0,0,10,0,42,4,2,2,2,0,0,0,0,17,0,0,0,19,1000,0,0,0,None,0,0,0
23,23,3,1,1,9,0,3,1,40,24,0,0,0,10,0,27,4,4,4,4,0,0,0,0,7,0,0,0,10,1000,0,0,0,None,0,0,0
24,24,3,1,1,0,0,1,1,12,0,0,0,0,10,0,27,4,2,2,2,0,0,0,0,3,203,0,9,9,1000,0,0,0,None,0,0,0
25,25,3,1,2,1,0,3,1,30,24,0,40,0,10,0,44,4,4,4,4,0,0,0,0,31,0,0,0,10,1000,0,0,0,None,0,0,0
26,26,3,1,2,3,0,3,1,30,24,0,40,0,10,0,44,4,4,4,4,0,0,0,0,34,0,0,0,10,1000,0,0,0,None,0,0,0
27,27,3,1,2,5,0,5,1,0,64,0,40,0,10,0,44,4,3,3,3,0,0,0,0,46,0,0,0,14,1000,0,0,0,None,0,0,0
28,28,3,1,2,0,0,5,1,0,0,0,0,0,10,0,44,4,4,4,4,0,0,0,0,42,0,0,0,48,1000,0,0,0,None,0,0,0
29,29,4,1,1,0,0,1,1,0,0,0,0,0,10,0,45,4,1,1,1,0,0,0,0,24,212,0,26,26,2500,0,0,0,None,0,0,0
30,30,4,1,1,0,0,2,1,0,0,0,0,0,10,0,45,4,2,2,2,0,0,0,0,19,0,0,0,35,2500,0,0,0,None,0,0,0
31,31,4,1,1,5,0,5,1,0,24,0,40,0,10,0,27,4,4,4,4,0,0,0,0,25,0,0,0,34,2500,0,0,0,None,0,0,0
32,32,4,1,1,0,0,1,1,0,0,0,0,0,10,0,46,4,1,1,1,0,0,0,0,26,361,0,0,27,2500,0,0,0,None,0,0,0
33,33,4,1,2,5,0,5,1,0,64,0,0,0,10,0,44,4,3,3,3,0,0,0,0,40,0,0,0,45,2500,0,0,0,None,0,0,0
34,34,4,1,2,5,0,5,1,0,64,0,40,0,10,0,44,4,4,4,4,0,0,0,0,48,0,0,0,46,2500,0,0,0,None,0,0,0
35,35,4,1,2,0,0,2,1,0,0,0,0,0,10,0,44,4,1,1,1,0,0,0,0,47,0,0,0,42,2500,0,0,0,None,0,0,0
36,36,4,1,2,2,0,3,1,40,24,0,40,0,10,0,44,4,4,4,4,0,0,0,0,37,0,0,0,10,2500,0,0,0,None,0,0,0
37,37,5,1,1,0,0,1,1,66,0,0,0,0,10,0,45,4,1,1,1,0,0,0,0,4,205,0,66,66,4000,0,0,0,None,0,0,0
38,38,5,1,1,9,0,3,1,60,24,0,0,0,10,0,27,4,4,4,4,0,0,0,0,8,0,0,0,10,4000,0,0,0,None,0,0,0
39,39,5,1,1,0,0,1,1,1,0,0,0,0,10,0,46,4,1,1,1,0,0,0,0,10,207,0,12,12,4000,0,0,0,None,0,0,0
40,40,5,1,1,0,0,1,1,24,0,0,0,0,10,0,27,4,2,2,2,0,0,0,0,145,204,0,65,65,4000,0,0,0,None,0,0,0
41,41,5,1,2,1,0,3,1,50,24,0,40,0,10,0,47,4,4,4,4,0,0,0,0,32,0,0,0,10,4000,0,0,0,None,0,0,0
42,42,5,1,2,0,0,4,1,0,0,0,0,0,10,0,48,4,2,2,2,0,0,0,0,50,233,0,63,0,4000,0,0,0,None,0,0,0
43,43,5,1,2,6,0,3,1,0,40,0,40,0,10,0,49,4,4,4,4,0,0,0,0,49,0,0,0,15,4000,0,0,0,None,0,0,0
44,44,5,1,2,0,0,5,1,0,64,0,0,0,10,0,47,4,3,3,3,0,0,0,0,45,0,0,0,68,4000,0,0,0,None,0,0,0
45,45,6,1,1,0,0,1,1,0,0,0,0,0,10,0,27,4,1,1,1,0,0,0,0,27,214,0,28,28,13000,0,0,0,None,0,0,0
